[7.1.2021 | 18:13:29] [Kara Chan]: 'claim 18 
[14.1.2021 | 12:48:5] [VaggieTheUltimateMoth]: Wow 3 

[14.1.2021 | 12:48:11] [VaggieTheUltimateMoth]: A byłam 4 

[14.1.2021 | 12:48:18] [VaggieTheUltimateMoth]: Jeej 

[14.1.2021 | 14:16:20] [Yukizome Chiiiisa]: .work 

[14.1.2021 | 14:16:25] [Yukizome Chiiiisa]: .slut 

[14.1.2021 | 14:16:27] [Yukizome Chiiiisa]: .crime 

[14.1.2021 | 14:16:29] [Yukizome Chiiiisa]: .bal 

[14.1.2021 | 15:32:28] [Mangoludek]: . Work 

[14.1.2021 | 15:32:31] [Mangoludek]: . Crime 

[14.1.2021 | 15:32:34] [Mangoludek]: . Slut 

[14.1.2021 | 23:7:49] [fockus17]: .slut 

[14.1.2021 | 23:7:51] [fockus17]: .crime 

[14.1.2021 | 23:7:53] [fockus17]: .work 

[14.1.2021 | 23:7:55] [fockus17]: .dep all 

[14.1.2021 | 23:27:41] [Mangoludek]: . Crime 

[14.1.2021 | 23:27:44] [Mangoludek]: . Slut 

[14.1.2021 | 23:27:51] [Mangoludek]: . Work 

[14.1.2021 | 23:27:55] [Mangoludek]: . Dep all 

[14.1.2021 | 23:27:58] [Mangoludek]: . Bal 

[15.1.2021 | 0:16:15] [fockus17]: .slut 

[15.1.2021 | 0:16:17] [fockus17]: .crime 

[15.1.2021 | 0:16:20] [fockus17]: .work 

[15.1.2021 | 0:16:23] [fockus17]: .dep all 

[15.1.2021 | 0:16:25] [fockus17]: .bal 

[15.1.2021 | 0:16:29] [fockus17]: .with all 

[15.1.2021 | 0:16:31] [fockus17]: .bj all 

[15.1.2021 | 0:17:35] [fockus17]: Hit 

[15.1.2021 | 13:8:37] [fockus17]: 'claim 72 

[15.1.2021 | 13:8:40] [fockus17]: 'lsut 

[15.1.2021 | 13:8:45] [fockus17]: .slut 

[15.1.2021 | 13:8:47] [fockus17]: .crime 

[15.1.2021 | 13:8:48] [fockus17]: .work 

[15.1.2021 | 13:8:55] [fockus17]: .roulette all red 

[15.1.2021 | 13:11:17] [fockus17]: .bj 500 

[15.1.2021 | 13:11:20] [fockus17]: Stand 

[15.1.2021 | 13:11:26] [fockus17]: .bj 1000 

[15.1.2021 | 13:11:29] [fockus17]: Hit 

[15.1.2021 | 13:11:37] [fockus17]: Stand 

[15.1.2021 | 13:12:3] [fockus17]: .bj 500 

[15.1.2021 | 13:12:9] [fockus17]: .bal 

[15.1.2021 | 13:12:16] [fockus17]: .bj 500 

[15.1.2021 | 13:12:19] [fockus17]: Stand 

[15.1.2021 | 13:12:22] [fockus17]: .dep all 

[15.1.2021 | 13:24:44] [Mangoludek]: .crime 

[15.1.2021 | 13:24:49] [Mangoludek]: . Work 

[15.1.2021 | 13:24:51] [Mangoludek]: . Slut 

[15.1.2021 | 13:24:56] [Mangoludek]: . Dep all 

[15.1.2021 | 13:25:40] [fockus17]: .slut 

[15.1.2021 | 13:25:42] [fockus17]: .crime 

[15.1.2021 | 13:25:44] [fockus17]: .work 

[15.1.2021 | 13:25:46] [fockus17]: .dep all 

[15.1.2021 | 13:25:48] [fockus17]: .bal 

[15.1.2021 | 13:25:53] [fockus17]: .with 500 

[15.1.2021 | 13:25:55] [fockus17]: .bj 500 

[15.1.2021 | 13:26:7] [fockus17]: .bj 750 

[15.1.2021 | 13:26:10] [fockus17]: Hit 

[15.1.2021 | 13:26:19] [fockus17]: Stand 

[15.1.2021 | 13:26:59] [Mangoludek]: .bal 

[15.1.2021 | 13:27:14] [Mangoludek]: .with 25000 

[15.1.2021 | 13:27:21] [Mangoludek]: .roulette all red 

[15.1.2021 | 13:28:2] [Mangoludek]: .with all 

[15.1.2021 | 13:28:7] [Mangoludek]: .bj all 

[15.1.2021 | 13:28:10] [Mangoludek]: Hit 

[15.1.2021 | 13:28:16] [Mangoludek]: .dep all 

[15.1.2021 | 13:29:13] [fockus17]: .bal 

[15.1.2021 | 13:29:19] [fockus17]: .bj 500 

[15.1.2021 | 13:29:33] [fockus17]: Stand 

[15.1.2021 | 13:29:57] [fockus17]: .with all 

[15.1.2021 | 13:30:2] [fockus17]: .roulette all red 

[15.1.2021 | 13:30:48] [fockus17]: .dep all 

[15.1.2021 | 13:30:52] [Mangoludek]: .with 20000 

[15.1.2021 | 13:30:56] [Mangoludek]: .bj all 

[15.1.2021 | 13:31:0] [Mangoludek]: Stand 

[15.1.2021 | 13:31:5] [fockus17]: XD 

[15.1.2021 | 13:31:11] [Mangoludek]: .with all 

[15.1.2021 | 13:31:14] [Mangoludek]: . Bj all 

[15.1.2021 | 13:31:17] [Mangoludek]: Hit 

[15.1.2021 | 13:31:24] [Mangoludek]: Aha 

[15.1.2021 | 13:31:29] [Mangoludek]: Ciekawe to jest 

[15.1.2021 | 13:31:30] [fockus17]: XDDDD 

[15.1.2021 | 13:31:42] [fockus17]: .with 1000 

[15.1.2021 | 13:31:44] [Mangoludek]: A ty się kurwo z czego śmiejesz 

[15.1.2021 | 13:31:45] [fockus17]: .bj 1000 

[15.1.2021 | 13:31:48] [fockus17]: Hit 

[15.1.2021 | 13:31:52] [fockus17]: .dep all 

[15.1.2021 | 13:34:8] [Mangoludek]: .crime 

[15.1.2021 | 13:34:11] [Mangoludek]: .slut 

[15.1.2021 | 13:34:15] [Mangoludek]: . Work 

[15.1.2021 | 13:34:19] [Mangoludek]: .dep all 

[15.1.2021 | 13:45:14] [Ayako Mashine]: .work 

[15.1.2021 | 13:45:16] [Ayako Mashine]: .slut 

[15.1.2021 | 13:45:20] [Ayako Mashine]: .dep all 

[15.1.2021 | 14:48:36] [Thomas160]: .top -cash 

[15.1.2021 | 14:50:36] [Mangoludek]: $work 

[15.1.2021 | 14:50:42] [Mangoludek]: .Work 

[15.1.2021 | 14:50:46] [Mangoludek]: . Crime 

[15.1.2021 | 14:50:49] [Mangoludek]: . Slut 

[15.1.2021 | 14:50:53] [Mangoludek]: . Dep all 

[15.1.2021 | 17:7:12] [fockus17]: .animals shop 

[15.1.2021 | 18:11:57] [fockus17]: .bal 

[15.1.2021 | 18:12:2] [fockus17]: .dep all 

[15.1.2021 | 18:12:4] [fockus17]: .slut 

[15.1.2021 | 18:12:6] [fockus17]: .crime 

[15.1.2021 | 18:12:7] [fockus17]: .work 

[15.1.2021 | 18:12:11] [fockus17]: .dep all 

[15.1.2021 | 18:29:42] [Mangoludek]: . Work 

[15.1.2021 | 18:29:50] [Mangoludek]: . Crime 

[15.1.2021 | 18:29:51] [Mangoludek]: . S 

[15.1.2021 | 18:30:2] [Mangoludek]: . Slut 

[15.1.2021 | 23:6:4] [VaggieTheUltimateMoth]: .work 

[15.1.2021 | 23:6:9] [VaggieTheUltimateMoth]: .slut 

[15.1.2021 | 23:6:14] [VaggieTheUltimateMoth]: .crime 

[15.1.2021 | 23:6:18] [VaggieTheUltimateMoth]: ubal 

[15.1.2021 | 23:6:27] [VaggieTheUltimateMoth]: .bal 

[16.1.2021 | 16:53:37] [VaggieTheUltimateMoth]: .work 

[16.1.2021 | 16:53:42] [VaggieTheUltimateMoth]: .slur 

[16.1.2021 | 16:53:46] [VaggieTheUltimateMoth]: .slut 

[16.1.2021 | 16:54:4] [VaggieTheUltimateMoth]: .bal 

[16.1.2021 | 16:54:8] [VaggieTheUltimateMoth]: .work 

[16.1.2021 | 16:54:15] [VaggieTheUltimateMoth]: . bal 

[16.1.2021 | 16:54:21] [VaggieTheUltimateMoth]: .dep all 

[16.1.2021 | 16:54:26] [VaggieTheUltimateMoth]: .bal 

[16.1.2021 | 17:25:42] [Izumi Midori]: .work 

[16.1.2021 | 17:25:45] [Izumi Midori]: .dep all 

[16.1.2021 | 17:25:47] [Izumi Midori]: .bal 

[16.1.2021 | 17:30:1] [fockus17]: .slut 

[16.1.2021 | 17:30:4] [fockus17]: .crime 

[16.1.2021 | 17:30:6] [fockus17]: .work 

[16.1.2021 | 17:30:10] [fockus17]: .dep all 

[16.1.2021 | 17:30:12] [fockus17]: .bal 

[16.1.2021 | 20:58:7] [fockus17]: .slut 

[16.1.2021 | 20:58:9] [fockus17]: .crime 

[16.1.2021 | 20:58:11] [fockus17]: .work 

[16.1.2021 | 20:58:14] [fockus17]: .dep all 

[17.1.2021 | 13:58:1] [fockus17]: .slut 

[17.1.2021 | 13:58:4] [fockus17]: .crime 

[17.1.2021 | 13:58:5] [fockus17]: .work 

[17.1.2021 | 13:58:10] [fockus17]: .bj all 

[17.1.2021 | 13:58:17] [fockus17]: .roulette all red 

[17.1.2021 | 13:58:51] [fockus17]: .dep all 

[17.1.2021 | 13:58:54] [fockus17]: .top 

[17.1.2021 | 13:59:15] [fockus17]: .top -cash 

[17.1.2021 | 22:20:44] [VaggieTheUltimateMoth]: .work 

[17.1.2021 | 22:20:50] [VaggieTheUltimateMoth]: .slut 

[17.1.2021 | 22:20:53] [VaggieTheUltimateMoth]: .crime 

[17.1.2021 | 22:20:59] [VaggieTheUltimateMoth]: .dep all 

[17.1.2021 | 22:21:7] [VaggieTheUltimateMoth]: Co kurwa śmieciu? 

[17.1.2021 | 22:21:15] [VaggieTheUltimateMoth]: .bal 

[17.1.2021 | 22:21:23] [VaggieTheUltimateMoth]: Pf proste kurwa 

[17.1.2021 | 22:21:28] [VaggieTheUltimateMoth]: .with all 

[17.1.2021 | 22:21:34] [VaggieTheUltimateMoth]: .dep all 

[17.1.2021 | 22:21:40] [VaggieTheUltimateMoth]: I co śmieciu? 

[17.1.2021 | 22:21:50] [VaggieTheUltimateMoth]: .with 4 

[17.1.2021 | 22:21:56] [VaggieTheUltimateMoth]: Hahaha 

[17.1.2021 | 22:22:2] [VaggieTheUltimateMoth]: I co? 

[17.1.2021 | 22:22:8] [VaggieTheUltimateMoth]: Hahahahhahahahahahahahhqh 

[17.1.2021 | 22:26:42] [VaggieTheUltimateMoth]: . Work 

[17.1.2021 | 22:26:52] [VaggieTheUltimateMoth]: .dEp AlL 

[17.1.2021 | 22:38:58] [fockus17]: .alut 

[17.1.2021 | 22:39:0] [fockus17]: .slut 

[17.1.2021 | 22:39:2] [fockus17]: .crime 

[17.1.2021 | 22:39:4] [fockus17]: .work 

[17.1.2021 | 22:39:8] [fockus17]: .with all 

[17.1.2021 | 22:39:12] [fockus17]: .roulette all red 

[17.1.2021 | 22:52:1] [fockus17]: .slut 

[17.1.2021 | 22:52:3] [fockus17]: .crime 

[17.1.2021 | 22:52:4] [fockus17]: .work 

[17.1.2021 | 22:52:9] [fockus17]: .roulette all red 

[17.1.2021 | 22:52:43] [fockus17]: .dep all 

[17.1.2021 | 22:52:47] [fockus17]: .with all 

[17.1.2021 | 22:52:50] [fockus17]: .bj all 

[17.1.2021 | 22:52:53] [fockus17]: Hit 

[17.1.2021 | 22:52:58] [fockus17]: Hit 

[18.1.2021 | 8:44:25] [fockus17]: .slut 

[18.1.2021 | 8:44:27] [fockus17]: .crime 

[18.1.2021 | 8:44:29] [fockus17]: .work 

[18.1.2021 | 8:44:35] [fockus17]: 'claim 73 

[18.1.2021 | 8:44:40] [fockus17]: .bj all 

[18.1.2021 | 8:44:45] [fockus17]: Hit 

[18.1.2021 | 8:44:49] [fockus17]: Hit 

[18.1.2021 | 8:44:56] [fockus17]: Stand 

[18.1.2021 | 8:45:4] [fockus17]: .bj 1000 

[18.1.2021 | 8:45:10] [fockus17]: Hit 

[18.1.2021 | 8:45:13] [fockus17]: .bj all 

[18.1.2021 | 8:45:17] [fockus17]: Stand 

[18.1.2021 | 9:18:47] [fockus17]: .slut 

[18.1.2021 | 9:18:49] [fockus17]: .crime 

[18.1.2021 | 9:18:51] [fockus17]: .work 

[18.1.2021 | 9:19:1] [fockus17]: .roulette all red 

[18.1.2021 | 9:22:18] [fockus17]: .slut 

[18.1.2021 | 9:22:20] [fockus17]: .crime 

[18.1.2021 | 9:22:22] [fockus17]: .work 

[18.1.2021 | 9:22:26] [fockus17]: .dep all 

[18.1.2021 | 17:41:58] [VaggieTheUltimateMoth]: .work 

[18.1.2021 | 17:42:0] [VaggieTheUltimateMoth]: .slut 

[18.1.2021 | 17:42:5] [VaggieTheUltimateMoth]: .crime 

[18.1.2021 | 17:42:9] [VaggieTheUltimateMoth]: .bal 

[18.1.2021 | 17:42:15] [VaggieTheUltimateMoth]: .dep all 

[18.1.2021 | 17:42:19] [VaggieTheUltimateMoth]: .shop 

[18.1.2021 | 17:42:30] [VaggieTheUltimateMoth]: Mhn 

[18.1.2021 | 17:42:32] [VaggieTheUltimateMoth]: Mhm 

[18.1.2021 | 17:42:46] [VaggieTheUltimateMoth]: .inventory 

[18.1.2021 | 17:42:51] [VaggieTheUltimateMoth]: Uh 

[18.1.2021 | 17:43:9] [VaggieTheUltimateMoth]: .use Jakiś przedmiot do sklepu 

[18.1.2021 | 17:43:17] [VaggieTheUltimateMoth]: .czipsy 

[18.1.2021 | 17:43:23] [VaggieTheUltimateMoth]: .use czipsy 

[18.1.2021 | 17:43:33] [VaggieTheUltimateMoth]: .use Niebieski Kolor 

[18.1.2021 | 17:43:37] [VaggieTheUltimateMoth]: Mniam 

[18.1.2021 | 17:53:33] [fockus17]: .inv 

[18.1.2021 | 17:53:38] [fockus17]: .use chrupki 

[18.1.2021 | 17:54:12] [VaggieTheUltimateMoth]: ( ͡° ͜ʖ ͡°) 

[18.1.2021 | 22:40:1] [fockus17]: .slut 

[18.1.2021 | 22:40:3] [fockus17]: .crime 

[18.1.2021 | 22:40:5] [fockus17]: .work 

[18.1.2021 | 22:40:6] [fockus17]: .dep all 

[18.1.2021 | 22:40:8] [fockus17]: .bal 

[18.1.2021 | 22:40:13] [fockus17]: .with all 

[18.1.2021 | 22:40:17] [fockus17]: .roulette all red 

[18.1.2021 | 22:40:33] [fockus17]: <@401431261803184129> 

[18.1.2021 | 22:40:52] [Thomas160]: .work 

[18.1.2021 | 22:40:52] [fockus17]: .slut 

[18.1.2021 | 22:40:54] [fockus17]: .crime 

[18.1.2021 | 22:40:56] [Thomas160]: .crime 

[18.1.2021 | 22:40:56] [fockus17]: .work 

[18.1.2021 | 22:40:59] [fockus17]: .bj all 

[18.1.2021 | 22:41:0] [Thomas160]: .slut 

[18.1.2021 | 22:41:2] [fockus17]: Hit 

[18.1.2021 | 22:41:5] [fockus17]: Hit 

[18.1.2021 | 22:41:11] [Thomas160]: .work 

[18.1.2021 | 22:41:21] [Thomas160]: .work 

[18.1.2021 | 22:41:26] [Thomas160]: .dep all 

[18.1.2021 | 22:41:29] [Thomas160]: .bal 

[18.1.2021 | 22:41:33] [Thomas160]: .work 

[18.1.2021 | 22:52:21] [fockus17]: 'claim 21 

[19.1.2021 | 10:40:36] [-Saki-]: 'claim 58 

[19.1.2021 | 10:58:31] [fockus17]: .slut 

[19.1.2021 | 10:58:34] [fockus17]: .crime 

[19.1.2021 | 10:58:35] [fockus17]: .wrok 

[19.1.2021 | 10:58:37] [fockus17]: .work 

[19.1.2021 | 10:58:40] [fockus17]: .dep all 

[19.1.2021 | 10:58:41] [fockus17]: .bal 

[19.1.2021 | 16:20:55] [fockus17]: .slut 

[19.1.2021 | 16:20:57] [fockus17]: .crime 

[19.1.2021 | 16:20:59] [fockus17]: .work 

[19.1.2021 | 16:21:4] [fockus17]: .with all 

[19.1.2021 | 16:21:14] [fockus17]: .bj 1250 

[19.1.2021 | 16:21:19] [fockus17]: Hit 

[19.1.2021 | 16:21:24] [fockus17]: .bj 500 

[19.1.2021 | 16:21:27] [fockus17]: Hit 

[19.1.2021 | 16:21:32] [fockus17]: .slut 

[19.1.2021 | 16:21:35] [fockus17]: .crime 

[19.1.2021 | 16:21:36] [fockus17]: .work 

[19.1.2021 | 16:21:39] [fockus17]: .dep all 

[19.1.2021 | 16:21:47] [fockus17]: .bj 1250 

[19.1.2021 | 16:21:52] [fockus17]: .with all 

[19.1.2021 | 16:21:55] [fockus17]: .bj 1250 

[19.1.2021 | 16:21:58] [fockus17]: Hit 

[19.1.2021 | 16:22:1] [fockus17]: Stand 

[19.1.2021 | 16:22:6] [fockus17]: .bj 1000 

[19.1.2021 | 16:22:10] [fockus17]: Stand 

[19.1.2021 | 16:22:14] [fockus17]: .bj 1000 

[19.1.2021 | 16:22:20] [fockus17]: .roulette all black 

[20.1.2021 | 10:53:6] [Służąca]: .work 

[20.1.2021 | 10:53:12] [Służąca]: .dep all 

[20.1.2021 | 11:0:42] [Mangoludek]: . Crime 

[20.1.2021 | 11:0:45] [Mangoludek]: . Slut 

[20.1.2021 | 11:0:50] [Mangoludek]: . Work 

[20.1.2021 | 11:53:52] [Mangoludek]: . Crime 

[20.1.2021 | 11:53:56] [Mangoludek]: . Slut 

[20.1.2021 | 11:53:59] [Mangoludek]: . Work 

[20.1.2021 | 11:56:57] [Mangoludek]: . Work 

[20.1.2021 | 11:57:4] [Mangoludek]: . Crime 

[20.1.2021 | 11:57:4] [Mangoludek]: . Slut 

[20.1.2021 | 11:57:9] [Mangoludek]: . Slut 

[20.1.2021 | 11:57:12] [Mangoludek]: . Dep all 

[20.1.2021 | 17:13:10] [VaggieTheUltimateMoth]: . work 

[20.1.2021 | 17:13:12] [VaggieTheUltimateMoth]: . slut 

[20.1.2021 | 17:13:15] [VaggieTheUltimateMoth]: .bal 

[20.1.2021 | 17:13:18] [VaggieTheUltimateMoth]: . crime 

[20.1.2021 | 17:13:23] [VaggieTheUltimateMoth]: .dep all 

[23.1.2021 | 21:30:10] [Mangoludek]: . Slut 

[23.1.2021 | 21:30:12] [Mangoludek]: . W 

[23.1.2021 | 21:30:17] [Mangoludek]: . Work 

[23.1.2021 | 21:30:27] [Mangoludek]: .crime 

[25.1.2021 | 13:5:45] [KiritikaKoizumi]: .work 

[25.1.2021 | 13:5:48] [KiritikaKoizumi]: .slit 

[25.1.2021 | 13:5:51] [KiritikaKoizumi]: .slut 

[25.1.2021 | 13:5:54] [KiritikaKoizumi]: . crime 

[25.1.2021 | 13:5:58] [KiritikaKoizumi]: .bal 

[25.1.2021 | 13:6:1] [KiritikaKoizumi]: .dep all 

[25.1.2021 | 14:38:26] [KiritikaKoizumi]: .work 

[25.1.2021 | 14:38:28] [KiritikaKoizumi]: .slut 

[25.1.2021 | 14:38:34] [KiritikaKoizumi]: .crime 

[25.1.2021 | 14:38:41] [KiritikaKoizumi]: .bal 

[25.1.2021 | 14:38:46] [KiritikaKoizumi]: .dep all 

[25.1.2021 | 19:7:16] [KiritikaKoizumi]: .work 

[25.1.2021 | 19:7:19] [KiritikaKoizumi]: .slut 

[25.1.2021 | 19:7:22] [KiritikaKoizumi]: .crime 

[25.1.2021 | 19:7:26] [KiritikaKoizumi]: .bal 

[25.1.2021 | 19:7:34] [KiritikaKoizumi]: . with all 

[25.1.2021 | 19:7:39] [KiritikaKoizumi]: .dep all 

[26.1.2021 | 14:56:4] [KiritikaKoizumi]: . inventory 

[26.1.2021 | 14:56:14] [KiritikaKoizumi]: .use Fioletowy kolor 

[26.1.2021 | 14:56:23] [KiritikaKoizumi]: .top 

[26.1.2021 | 14:56:36] [KiritikaKoizumi]: .bal 

[26.1.2021 | 14:56:42] [KiritikaKoizumi]: .dep all 

[26.1.2021 | 14:56:57] [KiritikaKoizumi]: . shop 

[26.1.2021 | 14:57:4] [KiritikaKoizumi]: 'claim 38 

[26.1.2021 | 14:57:10] [KiritikaKoizumi]: Dam mi lewa 

[26.1.2021 | 14:57:16] [KiritikaKoizumi]: Lwa 

[26.1.2021 | 14:57:40] [KiritikaKoizumi]: .buy Niebieski kolor 

[26.1.2021 | 14:57:43] [KiritikaKoizumi]: A 

[26.1.2021 | 14:57:53] [KiritikaKoizumi]: *face palm* 

[26.1.2021 | 14:57:59] [KiritikaKoizumi]: Durna jestem 

[26.1.2021 | 14:58:2] [KiritikaKoizumi]: .bal 

[26.1.2021 | 14:58:14] [KiritikaKoizumi]: .with 9,000 

[26.1.2021 | 14:58:22] [KiritikaKoizumi]: .buy Niebieski kolor 

[26.1.2021 | 14:58:25] [KiritikaKoizumi]: .bal 

[26.1.2021 | 14:58:29] [KiritikaKoizumi]: .dep all 

[26.1.2021 | 14:58:39] [KiritikaKoizumi]: . inventory 

[26.1.2021 | 14:58:42] [KiritikaKoizumi]: Mniam 

[26.1.2021 | 14:58:48] [KiritikaKoizumi]: 'claim 45 

[26.1.2021 | 22:13:19] [KiritikaKoizumi]: .work 

[26.1.2021 | 22:13:21] [KiritikaKoizumi]: .slut 

[26.1.2021 | 22:13:24] [KiritikaKoizumi]: .crime 

[26.1.2021 | 22:13:27] [KiritikaKoizumi]: .bal 

[26.1.2021 | 22:13:31] [KiritikaKoizumi]: .dep all 

[26.1.2021 | 22:13:46] [KiritikaKoizumi]: Piwnicę, to ciągle Erę niszczy 

[26.1.2021 | 22:13:59] [KiritikaKoizumi]: Więc nie wiem czy ktokolwiek tam wytrwa 

[26.1.2021 | 22:14:21] [KiritikaKoizumi]: Na szczęście, Levi, Hange i ktoś tam są chętni do sprzątania 

[26.1.2021 | 22:44:0] [KiritikaKoizumi]: .work 

[26.1.2021 | 22:44:5] [KiritikaKoizumi]: 'claim 74 

[26.1.2021 | 22:44:12] [KiritikaKoizumi]: $m 

[26.1.2021 | 22:44:18] [KiritikaKoizumi]: Jezu zła komend 

[26.1.2021 | 22:44:23] [KiritikaKoizumi]: .slut 

[26.1.2021 | 22:44:29] [KiritikaKoizumi]: .bal 

[26.1.2021 | 22:44:35] [KiritikaKoizumi]: .crime 

[26.1.2021 | 22:44:38] [KiritikaKoizumi]: .bal 

[26.1.2021 | 22:44:41] [KiritikaKoizumi]: .dep all 

[27.1.2021 | 22:5:41] [KiritikaKoizumi]: .work 

[27.1.2021 | 22:5:43] [KiritikaKoizumi]: .slut 

[27.1.2021 | 22:5:44] [KiritikaKoizumi]: .crime 

[27.1.2021 | 22:5:49] [KiritikaKoizumi]: .dep all 

[28.1.2021 | 16:28:19] [KiritikaKoizumi]: .work 

[28.1.2021 | 16:28:21] [KiritikaKoizumi]: .slut 

[28.1.2021 | 16:28:24] [KiritikaKoizumi]: .crime 

[28.1.2021 | 16:28:26] [KiritikaKoizumi]: .bal 

[28.1.2021 | 16:28:32] [KiritikaKoizumi]: Kurwa 

