[17.1.2021 | 21:27:47] [`Gremi⭐]: m!help 
[17.1.2021 | 21:49:29] [Thor2137]: m!chop 

[17.1.2021 | 21:50:24] [Thor2137]: m!mine 

[17.1.2021 | 21:50:27] [Thor2137]: m!mine 

[17.1.2021 | 21:50:28] [Thor2137]: m!mine 

[17.1.2021 | 21:50:30] [Thor2137]: m!mine 

[17.1.2021 | 21:50:34] [Thor2137]: m!fight 

[17.1.2021 | 21:50:39] [Thor2137]: m!chop 

[17.1.2021 | 21:50:44] [Thor2137]: m!mine 

[17.1.2021 | 21:50:46] [Thor2137]: m!mine 

[17.1.2021 | 21:50:51] [Thor2137]: m!sell all 

[17.1.2021 | 21:50:54] [Thor2137]: m!mine 

[17.1.2021 | 21:50:56] [Thor2137]: m!mine 

[17.1.2021 | 21:50:57] [Thor2137]: m!mine 

[17.1.2021 | 21:50:58] [Thor2137]: m!mine 

[17.1.2021 | 21:50:59] [Thor2137]: m!mine 

[17.1.2021 | 21:51:1] [Thor2137]: m!minem!minem!mine 

[17.1.2021 | 21:51:2] [Thor2137]: m!mine 

[17.1.2021 | 21:51:3] [Thor2137]: m!mine 

[17.1.2021 | 21:51:3] [Thor2137]: m!mine 

[17.1.2021 | 21:51:4] [Thor2137]: m!mine 

[17.1.2021 | 21:51:5] [Thor2137]: m!mine 

[17.1.2021 | 21:51:7] [Thor2137]: m!mine 

[17.1.2021 | 21:51:7] [Thor2137]: v 

[17.1.2021 | 21:51:7] [Thor2137]: m!mine 

[17.1.2021 | 21:51:8] [Thor2137]: m!mine 

[17.1.2021 | 21:51:10] [Thor2137]: m!mine 

[17.1.2021 | 21:51:17] [Thor2137]: m!fight 

[17.1.2021 | 21:51:22] [Thor2137]: m!chop 

[17.1.2021 | 21:51:25] [Thor2137]: m!mine 

[17.1.2021 | 21:51:25] [Thor2137]: m!mine 

[17.1.2021 | 21:51:26] [Thor2137]: m!mine 

[17.1.2021 | 21:51:29] [Thor2137]: m!mine 

[17.1.2021 | 21:51:30] [Thor2137]: m!mine 

[17.1.2021 | 21:51:31] [Thor2137]: m!mine 

[17.1.2021 | 21:51:36] [Thor2137]: m!mine 

[17.1.2021 | 21:51:39] [Thor2137]: m!mine 

[17.1.2021 | 21:51:42] [Thor2137]: m!mine 

[17.1.2021 | 21:51:44] [Thor2137]: m!mine 

[17.1.2021 | 21:51:46] [Thor2137]: m!mine 

[17.1.2021 | 21:51:48] [Thor2137]: m!mine 

[17.1.2021 | 21:51:52] [Thor2137]: m!chop 

[17.1.2021 | 21:51:57] [Thor2137]: m!fight 

[17.1.2021 | 21:52:2] [Thor2137]: m!fight 

[17.1.2021 | 21:52:3] [Thor2137]: m!mine 

[17.1.2021 | 21:52:4] [Thor2137]: m!mine 

[17.1.2021 | 21:52:5] [Thor2137]: m!mine 

[17.1.2021 | 21:52:5] [Thor2137]: m!mine 

[17.1.2021 | 21:52:6] [Thor2137]: m!mine 

[17.1.2021 | 21:52:6] [Thor2137]: m!mine 

[17.1.2021 | 21:52:7] [Thor2137]: m!mine 

[17.1.2021 | 21:52:7] [Thor2137]: m!mine 

[17.1.2021 | 21:52:8] [Thor2137]: m!mine 

[17.1.2021 | 21:52:8] [Thor2137]: m!mine 

[17.1.2021 | 21:52:14] [Thor2137]: m!mine 

[17.1.2021 | 21:52:15] [Thor2137]: m!mine 

[17.1.2021 | 21:52:36] [Thor2137]: m!mine 

[17.1.2021 | 21:52:43] [Thor2137]: m!chop 

[17.1.2021 | 21:52:49] [Thor2137]: m!fight 

[17.1.2021 | 21:52:54] [Thor2137]: m!chop 

[17.1.2021 | 21:52:57] [Thor2137]: m!mine 

[17.1.2021 | 21:53:3] [Thor2137]: m!sell all 

[17.1.2021 | 21:53:19] [Thor2137]: m!buy stone axe 

[17.1.2021 | 21:53:28] [Thor2137]: m!equip stone axe 

[17.1.2021 | 21:53:30] [Thor2137]: m!mine 

[17.1.2021 | 21:53:35] [Thor2137]: m!fight 

[17.1.2021 | 21:53:40] [Thor2137]: m!chop 

[17.1.2021 | 21:53:42] [Thor2137]: m!mine 

[17.1.2021 | 21:53:43] [Thor2137]: m!mine 

[17.1.2021 | 21:53:45] [Thor2137]: m!mine 

[17.1.2021 | 21:53:47] [Thor2137]: m!mine 

[17.1.2021 | 21:53:50] [Thor2137]: m!mine 

[17.1.2021 | 21:53:51] [Thor2137]: m!mine 

[17.1.2021 | 21:53:52] [Thor2137]: m!mine 

[17.1.2021 | 21:53:52] [Thor2137]: m!mine 

[17.1.2021 | 21:53:53] [Thor2137]: m!mine 

[17.1.2021 | 21:53:53] [Thor2137]: m!mine 

[17.1.2021 | 21:53:54] [Thor2137]: v 

[17.1.2021 | 21:53:54] [Thor2137]: vm!mine 

[17.1.2021 | 21:53:55] [Thor2137]: m!mine 

[17.1.2021 | 21:53:56] [Thor2137]: m!mine 

[17.1.2021 | 21:53:58] [Thor2137]: m!mine 

[17.1.2021 | 21:53:59] [Thor2137]: m!mine 

[17.1.2021 | 21:54:1] [Thor2137]: v 

[17.1.2021 | 21:54:2] [Thor2137]: m!mine 

[17.1.2021 | 21:54:9] [Thor2137]: m!chop 

[17.1.2021 | 21:54:16] [Thor2137]: m!fight 

[17.1.2021 | 21:55:36] [Thor2137]: m!mine 

[17.1.2021 | 21:55:45] [Thor2137]: m!chop 

[17.1.2021 | 21:55:51] [Thor2137]: m!shop 

[17.1.2021 | 21:55:58] [Thor2137]: m!sell all 

[17.1.2021 | 21:56:11] [Thor2137]: m!shop armor 

[17.1.2021 | 21:56:32] [Thor2137]: m!shop pickaxe 

[17.1.2021 | 21:56:41] [Thor2137]: m!mine 

[17.1.2021 | 21:56:43] [Thor2137]: m!mine 

[17.1.2021 | 21:56:49] [Thor2137]: m!chop 

[17.1.2021 | 21:56:55] [Thor2137]: m!fight 

[17.1.2021 | 21:57:7] [Thor2137]: m!verify 16 

[17.1.2021 | 21:57:34] [Thor2137]: m!chop 

[17.1.2021 | 21:57:40] [Thor2137]: m!fight 

[17.1.2021 | 21:57:43] [Thor2137]: m!mine 

[17.1.2021 | 21:57:47] [Thor2137]: m!mine 

[17.1.2021 | 21:57:49] [Thor2137]: m!mine 

[17.1.2021 | 21:57:58] [Thor2137]: m!chop 

[17.1.2021 | 21:58:3] [Thor2137]: m!mine 

[17.1.2021 | 21:58:11] [Thor2137]: m!fight 

[17.1.2021 | 21:58:13] [Thor2137]: m!mine 

[17.1.2021 | 21:58:16] [Thor2137]: m!mine 

[17.1.2021 | 21:58:20] [Thor2137]: m!mine 

[17.1.2021 | 21:58:22] [Thor2137]: m!mine 

[17.1.2021 | 21:58:26] [Thor2137]: m!chest 

[17.1.2021 | 21:58:30] [Thor2137]: m!mine 

[17.1.2021 | 21:58:37] [Thor2137]: m!mine 

[17.1.2021 | 22:2:13] [Thor2137]: m!mine 

[17.1.2021 | 22:2:17] [Thor2137]: m!chop 

[17.1.2021 | 22:2:22] [Thor2137]: m!fight 

[17.1.2021 | 22:2:35] [Thor2137]: m!sell all 

[17.1.2021 | 22:5:22] [Thor2137]: m!mine 

[17.1.2021 | 22:5:28] [Thor2137]: m!fight 

[17.1.2021 | 22:5:40] [Thor2137]: m!chop 

[17.1.2021 | 22:6:33] [Thor2137]: m!mine 

[17.1.2021 | 22:6:49] [Thor2137]: m!chop 

[17.1.2021 | 22:8:26] [Thor2137]: m!fight 

[17.1.2021 | 23:8:16] [RiczBicz]: kop 

[17.1.2021 | 23:8:22] [RiczBicz]: !kop 

[17.1.2021 | 23:16:14] [Ayko]: <@!645740653078380545> <@!403327365264048138> 

[17.1.2021 | 23:16:25] [Podłoga]: O 

[17.1.2021 | 23:16:33] [Podłoga]: Hihuhiahucjie 

[17.1.2021 | 23:16:38] [Ayko]: !kop 

[17.1.2021 | 23:16:39] [Ayko]: !kop 

[17.1.2021 | 23:16:41] [Żam̸bek]: Pizfa 

[17.1.2021 | 23:16:41] [Ayko]: !kop 

[17.1.2021 | 23:16:42] [Ayko]: kilof 

[17.1.2021 | 23:16:44] [Ayko]: przeglenty 

[17.1.2021 | 23:16:50] [Ayko]: https://tenor.com/view/wilbursoot-wilbur-dance-minecraft-mcyt-gif-19724431 

[17.1.2021 | 23:16:50] [Żam̸bek]: !shityourself 

[17.1.2021 | 23:16:51] [Podłoga]: RICZBICZ 

[17.1.2021 | 23:16:53] [Podłoga]: JXJDJDHDHD 

[17.1.2021 | 23:16:54] [Ayko]: https://media.discordapp.net/attachments/789221627342749716/799746267063255071/ezgif-3-bfcc85a5726b.gif 

[17.1.2021 | 23:16:55] [Podłoga]: Jebie 

[17.1.2021 | 23:16:57] [Ayko]: https://media.discordapp.net/attachments/673592120707121158/741385543157547008/ezgif.com-add-text.gif 

[17.1.2021 | 23:17:1] [Ayko]: https://tenor.com/view/you-never-see-a-cum-man-gif-19205591 

[17.1.2021 | 23:17:2] [Ayko]: a 

[17.1.2021 | 23:17:2] [Ayko]: a 

[17.1.2021 | 23:17:3] [Ayko]: a 

[17.1.2021 | 23:17:3] [Ayko]: a 

[17.1.2021 | 23:17:3] [Ayko]: a 

[17.1.2021 | 23:17:4] [Ayko]: a 

[17.1.2021 | 23:17:4] [Ayko]: jestem 

[17.1.2021 | 23:17:6] [Ayko]: j 

[17.1.2021 | 23:17:8] [Ayko]: hslo 

[17.1.2021 | 23:17:27][Podłoga]: undefined [Image Link:https://cdn.discordapp.com/attachments/800461356867780608/800488979542966332/IMG_20210117_231718.jpg] 

[17.1.2021 | 23:17:28][Żam̸bek]: undefined [Image Link:https://cdn.discordapp.com/attachments/800461356867780608/800488985125191690/FB_IMG_1610828800921.jpg] 

[17.1.2021 | 23:17:30] [Podłoga]: Ricz bicz 

[17.1.2021 | 23:17:34] [Podłoga]: XDHJD 

[17.1.2021 | 23:17:34] [Żam̸bek]: XHDHDBDD 

[17.1.2021 | 23:17:38] [Podłoga]: Japoerdole 

[17.1.2021 | 23:17:40] [Podłoga]: Jebie 

[17.1.2021 | 23:17:44] [Żam̸bek]: Sekskekisek 

[17.1.2021 | 23:17:45][Podłoga]: undefined [Image Link:https://cdn.discordapp.com/attachments/800461356867780608/800489056684474378/IMG_20210117_231718.jpg] 

[17.1.2021 | 23:17:46] [Żam̸bek]: Nigger 

[17.1.2021 | 23:17:49] [Podłoga]: Seks 

[17.1.2021 | 23:17:54] [Ayko]: EHIELKWHIDSJOL; 

[17.1.2021 | 23:17:55] [Podłoga]: https://c.tenor.com/jobRAVRWizMAAAAM/fucking-hilarious-bro-big-kiss-bro.gif 

[17.1.2021 | 23:17:55] [Ayko]: RACIST 

[17.1.2021 | 23:17:58] [Ayko]: BE 

[17.1.2021 | 23:17:58] [Ayko]: LIKE 

[17.1.2021 | 23:18:3] [Ayko]: BRUH 

[18.1.2021 | 9:4:17] [Thor2137]: m!mine 

[18.1.2021 | 9:4:22] [Thor2137]: m!fight 

[18.1.2021 | 9:4:27] [Thor2137]: m!chop 

[18.1.2021 | 9:4:28] [Thor2137]: m!mine 

[18.1.2021 | 9:4:32] [Thor2137]: m!mine 

[18.1.2021 | 9:4:36] [Thor2137]: m!mine 

[18.1.2021 | 9:4:42] [Thor2137]: m!sell all 

[18.1.2021 | 9:4:51] [Thor2137]: m!inventory 

[18.1.2021 | 9:4:59] [Thor2137]: m!mine 

[18.1.2021 | 9:5:8] [Thor2137]: m!mine 

[18.1.2021 | 9:5:17] [Thor2137]: m!mine 

[18.1.2021 | 9:5:23] [Thor2137]: m!mine 

[18.1.2021 | 9:5:29] [Thor2137]: m!mine 

[18.1.2021 | 9:5:39] [Thor2137]: m!mine 

[18.1.2021 | 9:5:47] [Thor2137]: m!mine 

[18.1.2021 | 9:6:1] [Thor2137]: m!mine 

[18.1.2021 | 9:6:9] [Thor2137]: m!chop 

[18.1.2021 | 9:6:18] [Thor2137]: m!fight 

[18.1.2021 | 9:6:20] [Thor2137]: m!mine 

[18.1.2021 | 9:6:29] [Thor2137]: m!mine 

[18.1.2021 | 9:6:35] [Thor2137]: m!sell all 

[18.1.2021 | 9:6:40] [Thor2137]: m!mine 

[18.1.2021 | 9:6:45] [Thor2137]: m!mine 

[18.1.2021 | 9:6:54] [Thor2137]: m!mine 

[18.1.2021 | 9:6:58] [Thor2137]: m!mine 

[18.1.2021 | 9:7:2] [Thor2137]: m!mine 

[18.1.2021 | 9:7:7] [Thor2137]: m!fight 

[18.1.2021 | 9:7:10] [Thor2137]: m!mine 

[18.1.2021 | 9:7:15] [Thor2137]: m!mine 

[18.1.2021 | 9:7:19] [Thor2137]: m!mine 

[18.1.2021 | 9:7:23] [Thor2137]: m!mine 

[18.1.2021 | 9:7:30] [Thor2137]: m!fight 

[18.1.2021 | 9:7:32] [Thor2137]: m!mine 

[18.1.2021 | 9:7:33] [Thor2137]: m!mine 

[18.1.2021 | 9:7:34] [Thor2137]: m!mine 

[18.1.2021 | 9:7:35] [Thor2137]: m!mine 

[18.1.2021 | 9:7:38] [Thor2137]: m!mine 

[18.1.2021 | 9:8:11] [Thor2137]: m!mine 

[18.1.2021 | 9:8:15] [Thor2137]: m!enderchest 

[18.1.2021 | 9:8:21] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:8:23] [Thor2137]: m!vote 

[18.1.2021 | 9:8:26] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:8:30] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:8:33] [Thor2137]: m!mine 

[18.1.2021 | 9:8:37] [Thor2137]: m!mine 

[18.1.2021 | 9:8:40] [Thor2137]: m!mine 

[18.1.2021 | 9:8:48] [Thor2137]: m!mine 

[18.1.2021 | 9:8:51] [Thor2137]: m!mine 

[18.1.2021 | 9:8:53] [Thor2137]: m!mine 

[18.1.2021 | 9:9:23] [Thor2137]: m!mine 

[18.1.2021 | 9:9:28] [Thor2137]: m!fight 

[18.1.2021 | 9:9:38] [Thor2137]: m!chop 

[18.1.2021 | 9:9:44] [Thor2137]: m!sell all 

[18.1.2021 | 9:9:52] [Thor2137]: m!inventory 

[18.1.2021 | 9:10:0] [Thor2137]: m!mine 

[18.1.2021 | 9:10:11] [Thor2137]: m!mine 

[18.1.2021 | 9:10:14] [Thor2137]: m!mine 

[18.1.2021 | 9:10:17] [Thor2137]: m!mine 

[18.1.2021 | 9:11:13] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:11:15] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:11:18] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:11:20] [`Gremi⭐]: m!chop 

[18.1.2021 | 9:11:23] [`Gremi⭐]: m!fight 

[18.1.2021 | 9:11:28] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:11:32] [`Gremi⭐]: m!sell all 

[18.1.2021 | 9:11:40] [`Gremi⭐]: m
!inventory 

[18.1.2021 | 9:11:43] [`Gremi⭐]: m!inventory 

[18.1.2021 | 9:11:54] [`Gremi⭐]: m!shop sword stone sword 

[18.1.2021 | 9:12:13] [`Gremi⭐]: m!but stone sword 

[18.1.2021 | 9:12:18] [`Gremi⭐]: m!buy swone sword 

[18.1.2021 | 9:12:29] [`Gremi⭐]: m!fight 

[18.1.2021 | 9:12:39] [Thor2137]: m!mine 

[18.1.2021 | 9:12:45] [`Gremi⭐]: m!buy stone sword 

[18.1.2021 | 9:12:49] [Thor2137]: m!fight 

[18.1.2021 | 9:12:52] [Thor2137]: m!mine 

[18.1.2021 | 9:12:52] [`Gremi⭐]: m!equip stone sword 

[18.1.2021 | 9:12:58] [`Gremi⭐]: m!fight 

[18.1.2021 | 9:12:58] [Thor2137]: m!chop 

[18.1.2021 | 9:13:0] [Thor2137]: m!mine 

[18.1.2021 | 9:13:3] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:13:5] [Thor2137]: m!mine 

[18.1.2021 | 9:13:8] [Thor2137]: m!mine 

[18.1.2021 | 9:13:8] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:13:10] [`Gremi⭐]: m!fight 

[18.1.2021 | 9:13:10] [Thor2137]: m!mine 

[18.1.2021 | 9:13:17] [Thor2137]: m!mine 

[18.1.2021 | 9:13:22] [Thor2137]: m!sell all 

[18.1.2021 | 9:13:39] [Thor2137]: m!buy iron pickaxe 

[18.1.2021 | 9:13:50] [Thor2137]: m!equip iron pickaxe 

[18.1.2021 | 9:13:53] [Thor2137]: m!mine 

[18.1.2021 | 9:13:59] [Thor2137]: m!fight 

[18.1.2021 | 9:14:2] [Thor2137]: m!mine 

[18.1.2021 | 9:14:4] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:6] [Thor2137]: m!mine 

[18.1.2021 | 9:14:7] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:8] [Thor2137]: m!mine 

[18.1.2021 | 9:14:9] [`Gremi⭐]: m!chop 

[18.1.2021 | 9:14:11] [Thor2137]: m!mine 

[18.1.2021 | 9:14:12] [Thor2137]: m!mine 

[18.1.2021 | 9:14:14] [Thor2137]: m!mine 

[18.1.2021 | 9:14:15] [Thor2137]: m!mine 

[18.1.2021 | 9:14:16] [`Gremi⭐]: m!inventory 

[18.1.2021 | 9:14:23] [Thor2137]: m!mine 

[18.1.2021 | 9:14:25] [Thor2137]: m!mine 

[18.1.2021 | 9:14:27] [Thor2137]: m!mine 

[18.1.2021 | 9:14:29] [Thor2137]: m!mine 

[18.1.2021 | 9:14:30] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:34] [Thor2137]: m!chop 

[18.1.2021 | 9:14:35] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:37] [Thor2137]: m!mine 

[18.1.2021 | 9:14:38] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:40] [`Gremi⭐]: m!fight 

[18.1.2021 | 9:14:40] [Thor2137]: m!mine 

[18.1.2021 | 9:14:42] [Thor2137]: v 

[18.1.2021 | 9:14:43] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:46] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:14:48] [Thor2137]: m!mine 

[18.1.2021 | 9:14:50] [`Gremi⭐]: m!sell all 

[18.1.2021 | 9:14:54] [Thor2137]: m!fight 

[18.1.2021 | 9:15:0] [Thor2137]: m!sell all 

[18.1.2021 | 9:15:3] [`Gremi⭐]: o ty 

[18.1.2021 | 9:15:7] [`Gremi⭐]: m!inventory 

[18.1.2021 | 9:15:7] [Thor2137]: ez 

[18.1.2021 | 9:15:12] [Thor2137]: m!mine 

[18.1.2021 | 9:15:15] [`Gremi⭐]: m!enchantments 

[18.1.2021 | 9:15:27] [`Gremi⭐]: m!help 

[18.1.2021 | 9:15:28] [Thor2137]: m!mine 

[18.1.2021 | 9:15:33] [Thor2137]: m!mine 

[18.1.2021 | 9:15:44] [Thor2137]: m!mine 

[18.1.2021 | 9:15:44] [`Gremi⭐]: m!level 

[18.1.2021 | 9:15:52] [Thor2137]: m!level 

[18.1.2021 | 9:15:59] [Thor2137]: m!mine 

[18.1.2021 | 9:16:1] [Thor2137]: m!mine 

[18.1.2021 | 9:16:4] [Thor2137]: m!mine 

[18.1.2021 | 9:16:6] [Thor2137]: m!mine 

[18.1.2021 | 9:16:7] [Thor2137]: m!mine 

[18.1.2021 | 9:16:8] [Thor2137]: m!mine 

[18.1.2021 | 9:16:10] [Thor2137]: m!mine 

[18.1.2021 | 9:16:14] [Thor2137]: m!fight 

[18.1.2021 | 9:16:17] [Thor2137]: m!mine 

[18.1.2021 | 9:16:20] [`Gremi⭐]: m!buy fortune 

[18.1.2021 | 9:16:24] [Thor2137]: m!chop 

[18.1.2021 | 9:16:33] [`Gremi⭐]: m!inventory 

[18.1.2021 | 9:16:35] [Thor2137]: lipa 

[18.1.2021 | 9:16:38] [`Gremi⭐]: skad 

[18.1.2021 | 9:16:39] [Thor2137]: m!mine 

[18.1.2021 | 9:16:39] [`Gremi⭐]: lapis 

[18.1.2021 | 9:16:47] [Thor2137]: nie wiem jeszcze 

[18.1.2021 | 9:16:55] [Thor2137]: pewnie za lepszy kilof 

[18.1.2021 | 9:16:58] [Thor2137]: m!mine 

[18.1.2021 | 9:17:1] [Thor2137]: m!mine 

[18.1.2021 | 9:17:2] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:17:2] [Thor2137]: m!mine 

[18.1.2021 | 9:17:4] [Thor2137]: m!mine 

[18.1.2021 | 9:17:9] [Thor2137]: m!fight 

[18.1.2021 | 9:17:9] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:17:15] [Thor2137]: m!chop 

[18.1.2021 | 9:17:17] [Thor2137]: m!mine 

[18.1.2021 | 9:17:18] [Thor2137]: m!mine 

[18.1.2021 | 9:17:20] [Thor2137]: m!mine 

[18.1.2021 | 9:17:22] [Thor2137]: m!mine 

[18.1.2021 | 9:17:26] [Thor2137]: m!chop 

[18.1.2021 | 9:17:31] [Thor2137]: m!sell all 

[18.1.2021 | 9:17:35] [Thor2137]: kurwa 

[18.1.2021 | 9:17:56] [Thor2137]: 10 dolarów więcej i by było cudnie 

[18.1.2021 | 9:18:9] [Thor2137]: m!shop pickaxe 

[18.1.2021 | 9:18:15] [Thor2137]: m!mine 

[18.1.2021 | 9:18:16] [Thor2137]: m!mine 

[18.1.2021 | 9:18:22] [Thor2137]: m!inventory 

[18.1.2021 | 9:18:30] [Thor2137]: m!mine 

[18.1.2021 | 9:18:47] [Thor2137]: m!mine 

[18.1.2021 | 9:18:52] [Thor2137]: m!mine 

[18.1.2021 | 9:18:57] [Thor2137]: m!fight 

[18.1.2021 | 9:18:59] [Thor2137]: m!mine 

[18.1.2021 | 9:19:1] [Thor2137]: m!mine 

[18.1.2021 | 9:19:3] [Thor2137]: m!mine 

[18.1.2021 | 9:19:4] [Thor2137]: m!mine 

[18.1.2021 | 9:19:6] [Thor2137]: m!mine 

[18.1.2021 | 9:19:7] [Thor2137]: m!mine 

[18.1.2021 | 9:19:9] [Thor2137]: m!mine 

[18.1.2021 | 9:19:15] [Thor2137]: m!chop 

[18.1.2021 | 9:19:20] [Thor2137]: m!mine 

[18.1.2021 | 9:19:30] [Thor2137]: m!inventory 

[18.1.2021 | 9:19:49] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:19:51] [Thor2137]: m!mine 

[18.1.2021 | 9:20:25] [Thor2137]: m!mine 

[18.1.2021 | 9:20:33] [Thor2137]: m!fight 

[18.1.2021 | 9:20:37] [Thor2137]: m!mine 

[18.1.2021 | 9:20:43] [Thor2137]: m!chop 

[18.1.2021 | 9:20:56] [Thor2137]: m!mine 

[18.1.2021 | 9:21:3] [Thor2137]: m!sell all 

[18.1.2021 | 9:21:18] [Thor2137]: m!inventory 

[18.1.2021 | 9:21:33] [Thor2137]: m!mine 

[18.1.2021 | 9:21:38] [Thor2137]: m!mine 

[18.1.2021 | 9:21:41] [Thor2137]: m!mine 

[18.1.2021 | 9:21:45] [Thor2137]: m!fight 

[18.1.2021 | 9:21:48] [Thor2137]: m!mine 

[18.1.2021 | 9:21:51] [Thor2137]: m!mine 

[18.1.2021 | 9:21:55] [Thor2137]: m!chop 

[18.1.2021 | 9:21:57] [Thor2137]: m!mine 

[18.1.2021 | 9:23:52] [Thor2137]: m!sell all 

[18.1.2021 | 9:24:11] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:32] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:39] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:43] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:46] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:50] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:52] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:54] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:25:57] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:0] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:3] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:7] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:13] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:18] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:21] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:24] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:32] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:37] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:42] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:46] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:26:48] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:29:26] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:29:32] [`Gremi⭐]: m!mine 

[18.1.2021 | 9:29:36] [`Gremi⭐]: m!inventory 

[18.1.2021 | 9:29:44] [`Gremi⭐]: m!sell all 

[18.1.2021 | 9:29:56] [`Gremi⭐]: m!inventory 

[18.1.2021 | 9:30:43] [`Gremi⭐]: m!vote 

[18.1.2021 | 10:4:8] [`Gremi⭐]: m!mine 

[18.1.2021 | 10:4:16] [`Gremi⭐]: m!mine 

[18.1.2021 | 11:27:10] [Thor2137]: m!mine 

[18.1.2021 | 11:31:50] [`Gremi⭐]: c 

[18.1.2021 | 11:31:54] [`Gremi⭐]: m!mine 

[18.1.2021 | 11:31:55] [`Gremi⭐]: m!mine 

[18.1.2021 | 11:31:59] [`Gremi⭐]: m!mine 

[18.1.2021 | 11:49:53] [`Gremi⭐]: m!sell all 

[18.1.2021 | 11:49:58] [`Gremi⭐]: m!inventory 

[18.1.2021 | 18:17:39] [`Gremi⭐]: m!mine 

[18.1.2021 | 18:17:43] [`Gremi⭐]: m!mine 

[18.1.2021 | 18:17:45] [`Gremi⭐]: m!mine 

[18.1.2021 | 18:17:50] [`Gremi⭐]: m!sell all 

[18.1.2021 | 18:17:56] [`Gremi⭐]: m!chop 

[18.1.2021 | 18:17:58] [`Gremi⭐]: m!fight 

[18.1.2021 | 18:18:11] [Domii ;3]: m!mine 

[18.1.2021 | 18:18:16] [Domii ;3]: m!start 

[18.1.2021 | 18:18:25] [Domii ;3]: m!mine 

[18.1.2021 | 18:18:37] [Domii ;3]: m!chop 

