[7.1.2021 | 16:56:15] [Eωil]: JEbać <@!674351923607896110> 

[20.1.2021 | 22:27:35] [Sverige AKA Damian.]: Niż wódke i wszystko tym podobne 

[20.1.2021 | 22:27:35] [Damian z Czarnego Kręgu]: Nie smakuje mi 

[20.1.2021 | 22:27:42] [Sverige AKA Damian.]: Osz ty 

[20.1.2021 | 22:27:52] [Sverige AKA Damian.]: Xs jaki nick 

[20.1.2021 | 22:27:59] [NoOne]: Czy powinienem się wypowiadać na temat trunków będąc niepełnoletni? 

[20.1.2021 | 22:28:1] [Damian z Czarnego Kręgu]: Lubię jak coś mocnego  leci mi przez gardło 

[20.1.2021 | 22:28:5] [Invejosa]: Co tam, koledzy? 

[20.1.2021 | 22:28:6] [Pikczel]: Może lepiej zmienić temat? 

[20.1.2021 | 22:28:7] [Sverige AKA Damian.]: Damian z cznego kręgu 

[20.1.2021 | 22:28:9] [NoOne]: Polecam zadać sobie to pytanie 

[20.1.2021 | 22:28:19] [Damian z Czarnego Kręgu]: Nie martw się 

[20.1.2021 | 22:28:25] [Sverige AKA Damian.]: Dobrze koleżanko:) 

[20.1.2021 | 22:28:28] [Damian z Czarnego Kręgu]: Ja też nie powinienem 

[20.1.2021 | 22:28:29] [Invejosa]: (: 

[20.1.2021 | 22:28:34] [Damian z Czarnego Kręgu]: ;-; 

[20.1.2021 | 22:28:45] [Sverige AKA Damian.]: <:What:754801496587108453> 

[20.1.2021 | 22:28:49] [Invejosa]: 🤣 

[20.1.2021 | 22:28:58] [Pikczel]: Bruh 

[20.1.2021 | 22:28:59] [NoOne]: <a:3003_QuestionMarkGuy:752081530284933192> 

[20.1.2021 | 22:28:59] [Sverige AKA Damian.]: ???
😕 

[20.1.2021 | 22:29:8] [Sverige AKA Damian.]: ??? 

[20.1.2021 | 22:29:11] [Sverige AKA Damian.]: 😕 

[20.1.2021 | 22:29:19] [Damian z Czarnego Kręgu]: Pamiętajcie 

[20.1.2021 | 22:29:26] [Sverige AKA Damian.]: Co? 

[20.1.2021 | 22:29:30] [Sverige AKA Damian.]: Mamy pamiętać 

[20.1.2021 | 22:29:30] [Pikczel]: Hmm? 

[20.1.2021 | 22:29:48] [Invejosa]: Pamiętajcie, że jesteście super 

[20.1.2021 | 22:29:50] [Sverige AKA Damian.]: I już nam invejosa uciekła 

[20.1.2021 | 22:30:3] [Sverige AKA Damian.]: Ooo jakie to miłe😋 

[20.1.2021 | 22:30:10] [Damian z Czarnego Kręgu]: Jeśli ktoś nazwie was alkoholikiem to powiedzcie że nie jesteście  alkoholikami tylko miłośnikami alkoholu 

[20.1.2021 | 22:30:14] [Sverige AKA Damian.]: Jednak wróciła 

[20.1.2021 | 22:30:28] [Sverige AKA Damian.]: +1 

[20.1.2021 | 22:30:41] [Sverige AKA Damian.]: Oj tak tak byqu +1 +1 

[20.1.2021 | 22:30:54] [Pikczel]: Brak mi słów? I guess 

[20.1.2021 | 22:31:11] [NoOne]: Dokładnie... 

[20.1.2021 | 22:31:17] [Sverige AKA Damian.]: Chciałbym używac emotek z mojej grupy ale nie mogę:( 

[20.1.2021 | 22:31:28] [Damian z Czarnego Kręgu]: XD 

[20.1.2021 | 22:31:40] [NoOne]: Pijcie wodę, najlepsze co możecie pić 

[20.1.2021 | 22:31:44] [Sverige AKA Damian.]: A wogle grupa nie jest aktywna ponieważ wolę siedzieć tutaj i tu pilnowac wszystkiego 

[20.1.2021 | 22:31:45] [Invejosa]: Niee, ja wam? 

[20.1.2021 | 22:32:4] [Damian z Czarnego Kręgu]: Oj te nastolatki by piły ciągle te piwo 

[20.1.2021 | 22:32:10] [Mr.BibleThump]: El samu ma rację 

[20.1.2021 | 22:32:14] [Invejosa]: Niestety tak, racja 

[20.1.2021 | 22:32:17] [Sverige AKA Damian.]: Niee, ty nigdy nie uciekasz to my ci zawsze uciekamy tak? 

[20.1.2021 | 22:32:37] [Invejosa]: Ja piję tylko wodę i herabatę, gdy mi zimno 

[20.1.2021 | 22:32:44] [Damian z Czarnego Kręgu]: ;-;
Ja tam nie kolegów i nie pije z nimi piwa 

[20.1.2021 | 22:32:53] [Sverige AKA Damian.]: Nie bo ja z kuzynem ostatnio wódke żlopaliśmy 

[20.1.2021 | 22:33:3] [Invejosa]: Tak, tak 

[20.1.2021 | 22:33:6] [Pikczel]: Uhh 

[20.1.2021 | 22:33:8] [Sverige AKA Damian.]: Nom 

[20.1.2021 | 22:33:30] [Invejosa]: Alkoholicy moi 💓 

[20.1.2021 | 22:33:36] [Sverige AKA Damian.]: Osz ty 

[20.1.2021 | 22:33:47] [Pikczel]: Wolę się wypowiadać na ten temat 

[20.1.2021 | 22:33:51] [Sverige AKA Damian.]: Boże jeden ześlij nam siłe 

[20.1.2021 | 22:33:56] [Mr.BibleThump]: Picie alkoholu w młodym wieku to jest powód do chwalenia się? 

[20.1.2021 | 22:34:7] [Sverige AKA Damian.]: Nie tylko mówię 

[20.1.2021 | 22:34:29] [Invejosa]: Nie, to okropna rzecz 

[20.1.2021 | 22:34:29] [Pikczel]: Oczywiście że nie 

[20.1.2021 | 22:34:34] [Sverige AKA Damian.]: A tak wogle się troche pogóbiłem 

[20.1.2021 | 22:34:37] [Damian z Czarnego Kręgu]: <@519532239995011073> Ja się przynajmniej nie chwalę się na fb typu zobaczcie jaki ja dorosły xD 

[20.1.2021 | 22:34:39] [Sverige AKA Damian.]: <:What:754801496587108453> 

[20.1.2021 | 22:34:45] [Pikczel]: Co 

[20.1.2021 | 22:34:50] [Damian z Czarnego Kręgu]: <:What:754801496587108453> 

[20.1.2021 | 22:34:53] [Pikczel]: Hold up 

[20.1.2021 | 22:34:59] [Sverige AKA Damian.]: Wait stip 

[20.1.2021 | 22:35:2] [Sverige AKA Damian.]: Stop 

[20.1.2021 | 22:35:4] [Sverige AKA Damian.]: All stop 

[20.1.2021 | 22:35:10] [Sverige AKA Damian.]: Zmieniamy temat 

[20.1.2021 | 22:35:13] [Sverige AKA Damian.]: Raus 

[20.1.2021 | 22:35:18] [NoOne]: A kawę ze mną? 

[20.1.2021 | 22:35:21] [Sverige AKA Damian.]: xD raus 

[20.1.2021 | 22:35:25] [Damian z Czarnego Kręgu]: Mniam 

[20.1.2021 | 22:35:34] [Damian z Czarnego Kręgu]: Jak ja nie lubię swojej klasy 

[20.1.2021 | 22:35:36] [Sverige AKA Damian.]: Ty uzależnieńcu od kawy 

[20.1.2021 | 22:35:51] [Sverige AKA Damian.]: Wczoraj byłem w krakowie ale cię nie znalazłem 

[20.1.2021 | 22:35:58] [NoOne]: Nie widzę problemu w kawie, lepsze to niż alkohol 

[20.1.2021 | 22:36:4] [Mr.BibleThump]: Herbatka lepsze od kawy zmień mój umysł 

[20.1.2021 | 22:36:5] [NoOne]: To dobrze :) 

[20.1.2021 | 22:36:22] [Sverige AKA Damian.]: Byłem w sredniej szkole w krakowie ale tam cię niby nikt nie znał 

[20.1.2021 | 22:36:41] [NoOne]: Jest to Twoje zdanie, nie będę go zmieniał... bo po co? Jest to kwestia gustu, uznania 

[20.1.2021 | 22:36:46] [Invejosa]: Kawę z Tobą zawsze 

[20.1.2021 | 22:36:52] [NoOne]: <a:aPandaHYPE:777696673719255093> 

[20.1.2021 | 22:36:54] [Invejosa]: https://tenor.com/view/milk-mocha-milk-and-mocha-bears-morning-mornin-gif-13418523 

[20.1.2021 | 22:37:4] [NoOne]: <:panda:791580465969496084> 

[20.1.2021 | 22:37:4] [Sverige AKA Damian.]: JAJA se robię że byłem w krakowie xD 😂 🤣 😂 🤣 😂 🤣 

[20.1.2021 | 22:37:19] [Invejosa]: Nie flooduj 

[20.1.2021 | 22:37:24] [NoOne]: Nawet jeśli, to dobrze, że mnie nie znalazłeś 

[20.1.2021 | 22:37:31] [Sverige AKA Damian.]: Piszcie ze sobą i pijcie kawe 

[20.1.2021 | 22:37:53] [Mr.BibleThump]: Herbatke też 

[20.1.2021 | 22:37:58] [Sverige AKA Damian.]: Dobrze tylko nie bij🥴 

[20.1.2021 | 22:37:58] [NoOne]: Dokładnie 

[20.1.2021 | 22:38:12] [Sverige AKA Damian.]: Racja herbata najlepsza 

[20.1.2021 | 22:38:19] [Sverige AKA Damian.]: Kawa może być 

[20.1.2021 | 22:38:20] [Invejosa]: Herbatkę wypije z Tobą (: 

[20.1.2021 | 22:38:25] [Sverige AKA Damian.]: Ja też 

[20.1.2021 | 22:38:28] [Sverige AKA Damian.]: :) 

[20.1.2021 | 22:38:37] [Mr.BibleThump]: Tak a zwłaszcza zielona :) 

[20.1.2021 | 22:38:51] [Invejosa]: Z Cichym wypije wodę, z El-Samu kawę, a z Sverige wypiję sok 

[20.1.2021 | 22:38:52] [NoOne]: Oznaczajcie jeśli coś, muszę coś zrobić 

[20.1.2021 | 22:39:6] [Mr.BibleThump]: Ok 

[20.1.2021 | 22:39:9] [Sverige AKA Damian.]: Ja sok tak średnio lubię 

[20.1.2021 | 22:39:20] [Invejosa]: Nie możesz kawy, kofeiny ma za dużo 

[20.1.2021 | 22:39:24] [Sverige AKA Damian.]: Wypić wypije 

[20.1.2021 | 22:39:29] [Invejosa]: Troszcze się o Ciebie 

[20.1.2021 | 22:39:36] [Sverige AKA Damian.]: xD? 

[20.1.2021 | 22:39:42] [Pikczel]: Cóż zostały mi 122 mb więc 

[20.1.2021 | 22:39:50] [NoOne]: Jest taki temat, a nie ma jednej osoby 

[20.1.2021 | 22:39:52] [Sverige AKA Damian.]: To miłe ale nie musisz :) 

[20.1.2021 | 22:39:53] [NoOne]: :( 

[20.1.2021 | 22:39:58] [Mr.BibleThump]: Invejosa normalnie jak matka o niego się troszczysz 

[20.1.2021 | 22:40:4] [Sverige AKA Damian.]: Wiem kogo 

[20.1.2021 | 22:40:12] [Sverige AKA Damian.]: <@598536600493752320> 

[20.1.2021 | 22:40:13] [Sverige AKA Damian.]: ? 

[20.1.2021 | 22:40:16] [NoOne]: Nie 

[20.1.2021 | 22:40:18] [Sverige AKA Damian.]: Czy cichy 

[20.1.2021 | 22:40:22] [NoOne]: <@751411028041924631> 

[20.1.2021 | 22:40:23] [Pikczel]: Było miło Ale muszę już was żegnać 

[20.1.2021 | 22:40:27] [Sverige AKA Damian.]: A no tak 

[20.1.2021 | 22:40:29] [Sverige AKA Damian.]: Szopek 

[20.1.2021 | 22:40:31] [Mr.BibleThump]: Narka 

[20.1.2021 | 22:40:36] [Mr.BibleThump]: Pikczel 

[20.1.2021 | 22:40:40] [Sverige AKA Damian.]: On już spać poszedł do norki 

[20.1.2021 | 22:40:44] [Pikczel]: Bywajcie I miłego wieczoru 

[20.1.2021 | 22:40:48] [NoOne]: To On, ten jedyny szop, zawsze mówił o herbacie, kawie, kawiarniach 

[20.1.2021 | 22:40:50] [Szop Pracz]: Co 

[20.1.2021 | 22:40:53] [Sverige AKA Damian.]: Pa 

[20.1.2021 | 22:40:55] [Sverige AKA Damian.]: Ooo9 

[20.1.2021 | 22:40:57] [Sverige AKA Damian.]: Szopek 

[20.1.2021 | 22:41:3] [Invejosa]: Tak 

[20.1.2021 | 22:41:6] [Invejosa]: Ja wasza matka 

[20.1.2021 | 22:41:7] [Pikczel]: Zostały mi 122mb więc 

[20.1.2021 | 22:41:7] [Sverige AKA Damian.]: Wybudził się na twoje wezwanie 

[20.1.2021 | 22:41:8] [NoOne]: Wzajemnie 

[20.1.2021 | 22:41:10] [Szop Pracz]: Szop wstał jal fenix z popiołu 

[20.1.2021 | 22:41:18] [Pikczel]: Bywajcie 

[20.1.2021 | 22:41:21] [NoOne]: Cieszy mnie ta informacja 

[20.1.2021 | 22:41:28] [Szop Pracz]: Ło co chodzi dzieci moje? 

[20.1.2021 | 22:41:30] [Sverige AKA Damian.]: 😋 

[20.1.2021 | 22:41:50] [Sverige AKA Damian.]: Rozmawiamy o kawce wodzie soku herbacie 

[20.1.2021 | 22:41:51] [Sverige AKA Damian.]: Itp 

[20.1.2021 | 22:41:55] [NoOne]: Rozmawiamy sobie, kawa, herbata itd 

[20.1.2021 | 22:42:2] [Invejosa]: Trochę alkoholu 

[20.1.2021 | 22:42:9] [Szop Pracz]: Życze powodzenia 

[20.1.2021 | 22:42:17] [Sverige AKA Damian.]: A ty nie gadasz 

[20.1.2021 | 22:42:19] [Sverige AKA Damian.]: :( 

[20.1.2021 | 22:42:26] [Szop Pracz]: Wiesz co lubie najbardziej 

[20.1.2021 | 22:42:36] [Sverige AKA Damian.]: Nie 

[20.1.2021 | 22:42:39] [Sverige AKA Damian.]: ... 

[20.1.2021 | 22:42:55] [Szop Pracz]: Powstanowszy o wielki szop zaczoł gadać 

[20.1.2021 | 22:42:56] [Sverige AKA Damian.]: Ej szopek 

[20.1.2021 | 22:42:59] [Invejosa]: Ty herbatkę, mój Szopie (: 

[20.1.2021 | 22:43:0] [Sverige AKA Damian.]: Jej 

[20.1.2021 | 22:43:5] [Szop Pracz]: Jaką lubixie kawke? 

[20.1.2021 | 22:43:15] [Sverige AKA Damian.]: Late maciato 

[20.1.2021 | 22:43:15] [NoOne]: Mocną :) 

[20.1.2021 | 22:43:21] [Mr.BibleThump]: Nie piję kawy 

[20.1.2021 | 22:43:23] [Sverige AKA Damian.]: :) 

[20.1.2021 | 22:43:38] [Sverige AKA Damian.]: Szopek 

[20.1.2021 | 22:43:44] [Sverige AKA Damian.]: Lubisz szneg? 

[20.1.2021 | 22:43:47] [Sverige AKA Damian.]: Śnieg 

[20.1.2021 | 22:43:51] [Szop Pracz]: Ja cappucino z karmlelkiem i śmietanką 

[20.1.2021 | 22:43:54] [Sverige AKA Damian.]: Bo kilka osóba nie lubi 

[20.1.2021 | 22:44:9] [Szop Pracz]: Szop lubi śnieg 

[20.1.2021 | 22:44:13] [Sverige AKA Damian.]: Invejo... el... 

[20.1.2021 | 22:44:19] [Sverige AKA Damian.]: To patrz teraz 

[20.1.2021 | 22:44:19] [NoOne]: <:AK_Triggered_Nani:752082354868060231> 

[20.1.2021 | 22:44:25][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/801567837113155594/IMG-20210120-WA0000.jpg] 

[20.1.2021 | 22:44:31] [Szop Pracz]: Troszczysz sie o moje zdrówko , oook ;) 

[20.1.2021 | 22:44:41] [Sverige AKA Damian.]: Mój pies kocha snieg to całe jego życie 

[20.1.2021 | 22:44:50] [Szop Pracz]: Szanuje 

[20.1.2021 | 22:44:55] [Sverige AKA Damian.]: On jak się w śniegu tarza to szok 

[20.1.2021 | 22:45:4] [Szop Pracz]: Niech szop będzie z tobą brachu psie 

[20.1.2021 | 22:45:10] [Sverige AKA Damian.]: Normalnie nie da się tego opisać 

[20.1.2021 | 22:45:24] [Szop Pracz]: "bogosławia psa * 

[20.1.2021 | 22:45:29] [Sverige AKA Damian.]: On lubi inne zwierzontka 

[20.1.2021 | 22:46:9] [Szop Pracz]: Ogłaszam że czas pora , jak na takiego głodomora , by spać można 

[20.1.2021 | 22:46:16] [Szop Pracz]: Dzięki o dzięki 

[20.1.2021 | 22:46:21] [Invejosa]: Co robicie? 

[20.1.2021 | 22:46:23] [Szop Pracz]: Dobre duszycznki 

[20.1.2021 | 22:46:25][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/801568336621338644/20201017_215316.jpg] 

[20.1.2021 | 22:46:26] [Sverige AKA Damian.]: Kiedyś był taki 

[20.1.2021 | 22:46:26] [Sverige AKA Damian.]: Mały 

[20.1.2021 | 22:46:29] [Szop Pracz]: Ale czas na szopa 

[20.1.2021 | 22:46:33] [Szop Pracz]: Aaameeen 

[20.1.2021 | 22:46:37] [Sverige AKA Damian.]: Naszych znajomych 

[20.1.2021 | 22:46:42] [Sverige AKA Damian.]: Nawet mniejszy był 

[20.1.2021 | 22:46:48] [Sverige AKA Damian.]: Nie 

[20.1.2021 | 22:46:49] [Szop Pracz]: Dowidzenia w innym świexie (do jutra) 

[20.1.2021 | 22:46:50] [Sverige AKA Damian.]: Szopku 

[20.1.2021 | 22:46:52] [Mr.BibleThump]: Narka szopku niech szop będzie z Tobą 

[20.1.2021 | 22:46:58] [Szop Pracz]: Na mnie pora 

[20.1.2021 | 22:47:19] [Sverige AKA Damian.]: Szopku masz troche chlebka i ić spać *daję chleb * 

[20.1.2021 | 22:47:24] [Szop Pracz]: * zamienia sie w skałe by zasnąć spokojnje * 

[20.1.2021 | 22:47:54] [Szop Pracz]: Równiesz tego ci życze synie 

[20.1.2021 | 22:48:17] [Mr.BibleThump]: Invejosa to co wcześniej słucham muzyki leżę i pisze z wami 

[20.1.2021 | 22:48:34] [Szop Pracz]: Pora na odpoczynek * zmienił sie w skałe w całości* 

[20.1.2021 | 22:48:36][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/801568888122507354/20201204_191309.jpg] 

[20.1.2021 | 22:48:38] [Sverige AKA Damian.]: O to jedzonko dla ciebie ode mnie 

[20.1.2021 | 22:48:52] [Sverige AKA Damian.]: Szopie 

[20.1.2021 | 22:49:5] [NoOne]: A więc, niech tak się stanie 

[20.1.2021 | 22:49:6] [Mr.BibleThump]: Mmmmm bagieta czosnkowa 

[20.1.2021 | 22:49:17] [Sverige AKA Damian.]: Jajko z boczkiem 

[20.1.2021 | 22:49:24] [Szop Pracz]: * odkamienja sie * 

[20.1.2021 | 22:49:33] [Szop Pracz]: Bagietka czosnkowa?! 

[20.1.2021 | 22:49:33] [Sverige AKA Damian.]: Troche przypraw 

[20.1.2021 | 22:49:36] [Sverige AKA Damian.]: Tak 

[20.1.2021 | 22:49:49] [Szop Pracz]: Pozwoli pan że skonsumuje 

[20.1.2021 | 22:49:50] [Invejosa]: Mmm, też lubie te bagietki czosnkowe 

[20.1.2021 | 22:49:56] [Sverige AKA Damian.]: Tak 

[20.1.2021 | 22:50:1] [Szop Pracz]: * mnom mnoom* 

[20.1.2021 | 22:50:4] [Szop Pracz]: C; 

[20.1.2021 | 22:50:11] [Szop Pracz]: Pycha 

[20.1.2021 | 22:50:11] [Invejosa]: <@!562341280726908930>, kupisz mi bagietkę czosnkową? 

[20.1.2021 | 22:50:12] [Sverige AKA Damian.]: Umiem robić nawet sam 

[20.1.2021 | 22:50:17] [Sverige AKA Damian.]: Swoje własne 

[20.1.2021 | 22:50:30] [NoOne]: Dlaczego nie 😋 

[20.1.2021 | 22:50:33] [Sverige AKA Damian.]: Ja ci zrobię i wyslę 

[20.1.2021 | 22:50:34] [Szop Pracz]: Jak to mówił słynny szop 

[20.1.2021 | 22:50:40] [Szop Pracz]: Pog 

[20.1.2021 | 22:50:53] [Sverige AKA Damian.]: <:What:754801496587108453> 

[20.1.2021 | 22:50:58] [NoOne]: <@751411028041924631> musimy porozmawiać ;) 

[20.1.2021 | 22:51:16] [Szop Pracz]: Zamieniam sie w słuch synje 

[20.1.2021 | 22:51:16] [Sverige AKA Damian.]: Dawajcie jutro na głosowy 

[20.1.2021 | 22:51:26] [NoOne]: Prywatnie 

[20.1.2021 | 22:51:28] [Szop Pracz]: Nie mam mikrofonu 

[20.1.2021 | 22:51:37] [Sverige AKA Damian.]: A tel 

[20.1.2021 | 22:51:39] [Szop Pracz]: Słuch miało być 

[20.1.2021 | 22:51:40] [Sverige AKA Damian.]: Ja na tel 

[20.1.2021 | 22:51:41] [NoOne]: Dlaczego, po co? 

[20.1.2021 | 22:51:43] [Szop Pracz]: A nje 

[20.1.2021 | 22:51:49] [Sverige AKA Damian.]: Pogadać 

[20.1.2021 | 22:51:58] [Szop Pracz]: Nie chce ujawniac głosu szopa 

[20.1.2021 | 22:52:4] [Sverige AKA Damian.]: Ja też nie mam mikra za niedługo zamiawiam 

[20.1.2021 | 22:52:9] [Sverige AKA Damian.]: Dobzrs 

[20.1.2021 | 22:52:20] [Szop Pracz]: Tylko szopscy mohą zobaczyć mój glos 

[20.1.2021 | 22:52:23] [NoOne]: Mam dziecinny głos, choć wiele osób twierdzi, że jest dojrzały i uspokaja 

[20.1.2021 | 22:52:25] [Sverige AKA Damian.]: Wyśle wam skrina jakie zamawiam 

[20.1.2021 | 22:52:29] [Mr.BibleThump]: Ja raczej nie bo mam ułomny głos 

[20.1.2021 | 22:52:34] [Szop Pracz]: Ci którrzy wierzą w szopa jedynego 

[20.1.2021 | 22:53:8] [Sverige AKA Damian.]: Ja mam ciemny głos ale jak gadam przez tel albo coś nagrywam to brzmie jak 5 letnie dziecko nwm dlaczego 

[20.1.2021 | 22:53:36] [Invejosa]: Ciemny głos? 

[20.1.2021 | 22:53:51] [Mr.BibleThump]: Ponieważ my słyszymy swój głos inaczej niż słyszą go inni 

[20.1.2021 | 22:53:58] [NoOne]: Dokładnie 

[20.1.2021 | 22:54:5] [Damian z Czarnego Kręgu]: Ja brzmieć jak ćpun 

[20.1.2021 | 22:54:20] [Szop Pracz]: Dokładnie tak o curko 

[20.1.2021 | 22:54:30][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/801570375875952640/Screenshot_20210120-225513_Chrome.jpg] 

[20.1.2021 | 22:54:32] [Sverige AKA Damian.]: To bendę zamawiał 

[20.1.2021 | 22:54:45] [Sverige AKA Damian.]: Zaraz wrqcam ide do kibelka 

[20.1.2021 | 22:54:54] [Invejosa]: Novox chyba jest lepszy 

[20.1.2021 | 22:55:32] [NoOne]: Ja rozmawiam z ludźmi przez słuchawki i podobno jest ok 

[20.1.2021 | 22:55:51] [Mr.BibleThump]: Ja też 

[20.1.2021 | 22:56:28] [NoOne]: Pewnie przez ten mikrofon mówią, że umiem śpiewać 😂 

[20.1.2021 | 22:56:57] [Damian z Czarnego Kręgu]: Ktoś jest w moim pokoju 

[20.1.2021 | 22:57:0] [Sverige AKA Damian.]: Już jestem 

[20.1.2021 | 22:57:7] [Damian z Czarnego Kręgu]: ;-; 

[20.1.2021 | 22:57:7] [Sverige AKA Damian.]: O kurde... 

[20.1.2021 | 22:57:11] [Szop Pracz]: To ty 

[20.1.2021 | 22:57:14] [Sverige AKA Damian.]: Dzwonię po policje 

[20.1.2021 | 22:57:40] [Sverige AKA Damian.]: xD 

[20.1.2021 | 22:57:41] [Damian z Czarnego Kręgu]: Ten ktoś stoi w kącie 

[20.1.2021 | 22:57:49] [Sverige AKA Damian.]: To misiek 

[20.1.2021 | 22:57:51] [Sverige AKA Damian.]: Twoj 

[20.1.2021 | 22:57:53] [Sverige AKA Damian.]: Brat 

[20.1.2021 | 22:57:55] [Sverige AKA Damian.]: Siostra 

[20.1.2021 | 22:57:57] [Sverige AKA Damian.]: Pies 

[20.1.2021 | 22:58:3] [Sverige AKA Damian.]: Zwierzak domowy 

[20.1.2021 | 22:58:13] [Damian z Czarnego Kręgu]: Aaaa to mój manekin z głową kobiety:3 

[20.1.2021 | 22:58:23] [Sverige AKA Damian.]: Serio 

[20.1.2021 | 22:58:27] [Sverige AKA Damian.]: Jaaa 

[20.1.2021 | 22:58:34] [Sverige AKA Damian.]: Po co ci jakiś manekin 

[20.1.2021 | 22:58:39] [Mr.BibleThump]: Że lalka dla dorosłych ta? XDDD 

[20.1.2021 | 22:58:47] [Damian z Czarnego Kręgu]: Co nie 

[20.1.2021 | 22:58:59] [Damian z Czarnego Kręgu]: Manekin jak manekin tylko z głową kobiety 

[20.1.2021 | 22:59:7] [Sverige AKA Damian.]: Po pierwsze a ty wogle masz kont w pokoju dam dam dam 

[20.1.2021 | 22:59:25] [Damian z Czarnego Kręgu]: Dobre pytanie 

[20.1.2021 | 22:59:37] [Sverige AKA Damian.]: O to pytanie za  milion punktów 

[20.1.2021 | 22:59:48] [Sverige AKA Damian.]: Macie na to minute 

[20.1.2021 | 23:0:9] [Damian z Czarnego Kręgu]: Dobrze idę bawić się w Narnie 

[20.1.2021 | 23:0:18] [Sverige AKA Damian.]: Co!!!! 

[20.1.2021 | 23:0:23] [Sverige AKA Damian.]: Jakim cudem 

[20.1.2021 | 23:0:32] [Sverige AKA Damian.]: To pa 

[20.1.2021 | 23:0:41] [NoOne]: Ja poczekam <:AK_Triggered_Nani:752082354868060231> 

[20.1.2021 | 23:0:41] [Szop Pracz]: Month 

[20.1.2021 | 23:0:43] [Sverige AKA Damian.]: Co jest 

[20.1.2021 | 23:0:45] [Szop Pracz]: Miesiąc 

[20.1.2021 | 23:0:47] [Damian z Czarnego Kręgu]: <@748061664447823963> fajny masz pokój 

[20.1.2021 | 23:0:54] [Sverige AKA Damian.]: Kto ja? 

[20.1.2021 | 23:1:0] [NoOne]: Ja widzę jakieś 10 lat 

[20.1.2021 | 23:1:2] [Sverige AKA Damian.]: Skąd ty to wiesz 

[20.1.2021 | 23:1:9] [Sverige AKA Damian.]: Ale jak 

[20.1.2021 | 23:1:10] [Damian z Czarnego Kręgu]: Narnia 

[20.1.2021 | 23:1:13] [NoOne]: Więcej... 

[20.1.2021 | 23:1:15] [Sverige AKA Damian.]: Wmisałem 1m 

[20.1.2021 | 23:1:19] [Sverige AKA Damian.]: Czyli minuta 

[20.1.2021 | 23:1:23] [Damian z Czarnego Kręgu]: Wiesz jak to jest 

[20.1.2021 | 23:1:31] [Invejosa]: Bo ma być odstęp, czego wy nie rozumiecie... 

[20.1.2021 | 23:1:38] [Mr.BibleThump]: Min to są minuty xD 

[20.1.2021 | 23:1:43] [Invejosa]: Ma być odstęp 

[20.1.2021 | 23:1:44] [Damian z Czarnego Kręgu]: Raz wchodzisz do swojej szafy wychodzisz z innej 

[20.1.2021 | 23:1:44] [Sverige AKA Damian.]: Aaa 

[20.1.2021 | 23:1:47] [Sverige AKA Damian.]: Kk 

[20.1.2021 | 23:1:59] [Sverige AKA Damian.]: Dewot ze mnie 

[20.1.2021 | 23:2:9] [Szop Pracz]: Damian wyślij pokój 

[20.1.2021 | 23:2:14] [Sverige AKA Damian.]: Naucze was szybkiego kodowania słów 

[20.1.2021 | 23:2:14] [Szop Pracz]: Do mnjw 

[20.1.2021 | 23:2:23] [Sverige AKA Damian.]: Ja czy ten drugi 

[20.1.2021 | 23:2:26] [Szop Pracz]: ~~pocztą~~ 

[20.1.2021 | 23:2:31] [Sverige AKA Damian.]: Xd 

[20.1.2021 | 23:2:31] [Szop Pracz]: Oba 

[20.1.2021 | 23:2:40] [Szop Pracz]: Oba ma 

[20.1.2021 | 23:2:42] [Szop Pracz]: Obama 

[20.1.2021 | 23:2:43] [Sverige AKA Damian.]: To jutro ci wyśle 

[20.1.2021 | 23:2:46] [Szop Pracz]: :0 

[20.1.2021 | 23:2:51] [Damian z Czarnego Kręgu]: <@751411028041924631> masz szafę? 

[20.1.2021 | 23:3:3] [Szop Pracz]: Z dziesięć 

[20.1.2021 | 23:3:11] [Damian z Czarnego Kręgu]: Zaraz będę 

[20.1.2021 | 23:3:35] [Sverige AKA Damian.]: Zadzwonię po ekipę budowlaną wyciągnął mój pokój z domu i ci wyślę pocztą i napisze wielkimi literami DLA SZOPKA 

[20.1.2021 | 23:3:50] [Szop Pracz]: xD 

[20.1.2021 | 23:4:2] [Sverige AKA Damian.]: Iks de 

[20.1.2021 | 23:4:31] [Szop Pracz]: Dostane w kopercie czy liści e? 

[20.1.2021 | 23:4:39] [NoOne]: Mailem 

