[16.1.2021 | 16:31:38] [Cichy]: Test. 
[19.1.2021 | 14:2:59] [👑 _PRYMEK_ 👑]: Aleve <@692081730508685312> 

[19.1.2021 | 14:3:5] [👑 _PRYMEK_ 👑]: Alevel <@692081730508685312> 

[19.1.2021 | 14:3:48] [Boberełełe]: ;w; 

[19.1.2021 | 14:3:55] [👑 _PRYMEK_ 👑]: Nie jest źle 

[19.1.2021 | 14:4:4] [Boberełełe]: bywało gorzej 

[19.1.2021 | 14:4:16] [👑 _PRYMEK_ 👑]: Idź np. na liczenie lub n ostatnia litera 

[19.1.2021 | 14:4:21] [👑 _PRYMEK_ 👑]: Bo ja lubię ostatnia 

[19.1.2021 | 14:4:24] [👑 _PRYMEK_ 👑]: Idę chyba sobie 

[19.1.2021 | 14:4:38] [Boberełełe]: ok 

[19.1.2021 | 14:5:44] [👑 _PRYMEK_ 👑]: <#800411299523330048> 

[20.1.2021 | 12:23:32] [Rekin]: aha 

[20.1.2021 | 12:23:34] [Rekin]: ok 

[20.1.2021 | 12:23:37] [Rekin]: rozumiem 

[20.1.2021 | 12:23:38] [Rekin]: .... 

[20.1.2021 | 12:23:47] [👑 _PRYMEK_ 👑]: Co 

[20.1.2021 | 12:23:48] [Rekin]: nie chcecie mnie to sobie ide nara 

[20.1.2021 | 12:23:48] [👑 _PRYMEK_ 👑]: ? 

[20.1.2021 | 12:23:56] [👑 _PRYMEK_ 👑]: Eeee 

[20.1.2021 | 12:23:59] [👑 _PRYMEK_ 👑]: Kto cię nie chce 

[20.1.2021 | 12:24:4] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[20.1.2021 | 12:24:7] [👑 _PRYMEK_ 👑]: ? 

[20.1.2021 | 12:24:30] [Rekin]: ... 

[20.1.2021 | 12:24:40] [👑 _PRYMEK_ 👑]: No to jak tak masz mówić 

[20.1.2021 | 12:24:43] [👑 _PRYMEK_ 👑]: To nwm oco chodzi 

[20.1.2021 | 12:27:42] [Rekin]: na skargi zobacz nie chca mnie 

[20.1.2021 | 12:29:32] [👑 _PRYMEK_ 👑]: Nwm 

[20.1.2021 | 12:29:35] [👑 _PRYMEK_ 👑]: Pytaj się ich 

[20.1.2021 | 12:30:43] [Rekin]: I tak btw 

[20.1.2021 | 12:30:48][Rekin]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/801413416262303774/Screenshot_20210120-123001.png] 

[20.1.2021 | 12:30:52] [Rekin]: To ban dla tego pana 

[20.1.2021 | 12:39:48] [Rekin]: <@!689129555549618269> 

[20.1.2021 | 12:42:41] [dokładnie tak]: Witajcie 

[20.1.2021 | 12:52:6] [👑 _PRYMEK_ 👑]: Witaj 

[20.1.2021 | 15:14:33] [! _kierownicaa]: siema 

[20.1.2021 | 15:14:45] [! _kierownicaa]: nie za duzo tych pingów? 

[20.1.2021 | 15:14:45] [🥵Lidzia❤]: Heja 

[20.1.2021 | 15:14:49] [🥵Lidzia❤]: Nie 

[20.1.2021 | 15:14:55] [! _kierownicaa]: tylko 11 

[20.1.2021 | 16:56:50] [🥵Lidzia❤]: Wstajemy kochani 

[20.1.2021 | 16:57:42] [👑 _PRYMEK_ 👑]: Joł 

[20.1.2021 | 16:57:48] [👑 _PRYMEK_ 👑]: I 20.15 

[20.1.2021 | 16:57:55] [👑 _PRYMEK_ 👑]: PLKD nagrywa mecz z 

[20.1.2021 | 16:58:5] [👑 _PRYMEK_ 👑]: Legia Warszawa w fifie 

[20.1.2021 | 16:58:9] [👑 _PRYMEK_ 👑]: 21 

[20.1.2021 | 17:9:15] [🥵Lidzia❤]: Ok 

[20.1.2021 | 17:45:8] [👑 _PRYMEK_ 👑]: <@&711987627032707204> 

[20.1.2021 | 17:45:12] [👑 _PRYMEK_ 👑]: Kąpiel <@695590947630743635> 

[20.1.2021 | 17:45:14] [👑 _PRYMEK_ 👑]: ? 

[20.1.2021 | 17:45:29] [👑 _PRYMEK_ 👑]: Kurna telefon tak mi zmienia wyrazy 

[20.1.2021 | 17:45:36] [🥵Lidzia❤]: Tak 

[20.1.2021 | 17:45:37] [👑 _PRYMEK_ 👑]: Że już mnie to wkurza 

[20.1.2021 | 17:45:44] [🥵Lidzia❤]: Wiem 

[20.1.2021 | 17:45:54] [👑 _PRYMEK_ 👑]: Ej a jest funkacja 

[20.1.2021 | 17:45:58] [👑 _PRYMEK_ 👑]: Wyłącz 

[20.1.2021 | 17:46:0] [👑 _PRYMEK_ 👑]: To 

[20.1.2021 | 17:46:5] [🥵Lidzia❤]: Jest 

[20.1.2021 | 17:46:12] [👑 _PRYMEK_ 👑]: W sensie te zmienianie wyzrazów 

[20.1.2021 | 17:46:19] [👑 _PRYMEK_ 👑]: Bo czasami poprawi błąd 

[20.1.2021 | 17:46:27] [👑 _PRYMEK_ 👑]: Ale czasami tak zmieni zdanie że 

[20.1.2021 | 17:46:31] [👑 _PRYMEK_ 👑]: Cholera jasna 

[20.1.2021 | 17:47:50] [🥵Lidzia❤]: Da się 

[20.1.2021 | 18:23:38] [Stasiek]: tak jak cos to zrobiłem dzisiaj 5 PARTNERSTW 2 z +200 os 1 z +300 os 1 z +900 os oraz 1 z +2000 os 

[20.1.2021 | 18:27:49] [Kokichi✔]: gratki <@!695590947630743635> 

[20.1.2021 | 18:28:30] [🥵Lidzia❤]: Dziękuje <@581373577404874752> 

[20.1.2021 | 18:29:14] [Stasiek]: mi tam wystarczy realizator 

[20.1.2021 | 18:29:43] [Stasiek]: i tak to wole zamiast admina 

[20.1.2021 | 18:30:2] [Stasiek]: lub pomocnika 

[20.1.2021 | 18:31:11] [Kokichi✔]: ja nie dostanę awansu już bo miałem włama na konto : ( 

[20.1.2021 | 18:32:53] [🥵Lidzia❤]: Dostaniesz spokojnie 

[20.1.2021 | 18:37:28] [Kokichi✔]: nie, prymek powiedział że nie bo miałem włama 

[20.1.2021 | 18:42:20] [👑 _PRYMEK_ 👑]: Dostaniesz ale trochę później <@581373577404874752> 

[20.1.2021 | 18:42:42] [👑 _PRYMEK_ 👑]: I nigdy nie powiedziałem że nie dostaniesz 

[20.1.2021 | 18:43:0] [🥵Lidzia❤]: No właśnie 

[20.1.2021 | 18:44:57] [👑 _PRYMEK_ 👑]: Ej i tak btw czm nie mogę ci zmienić pseudo <@581373577404874752> 

[20.1.2021 | 18:45:17] [👑 _PRYMEK_ 👑]: Bo chciałem ci zrobić jak wcześniej |P| 

[20.1.2021 | 18:45:39] [Kokichi✔]: jest p 

[20.1.2021 | 18:46:6] [👑 _PRYMEK_ 👑]: Aha 

[20.1.2021 | 18:46:8] [👑 _PRYMEK_ 👑]: XD 

[20.1.2021 | 18:46:9] [👑 _PRYMEK_ 👑]: To git 

[20.1.2021 | 18:48:39] [Kokichi✔]: nie mamy ulepszenia już 

[20.1.2021 | 18:48:51] [Kokichi✔]: <@!689129555549618269> 

[20.1.2021 | 18:49:3] [👑 _PRYMEK_ 👑]: 4 

[20.1.2021 | 18:49:5] [👑 _PRYMEK_ 👑]: Boosty mamy 

[20.1.2021 | 18:49:29] [👑 _PRYMEK_ 👑]: To mamy bo od 2 boostów jest lvl 

[20.1.2021 | 22:34:17] [Jakub2009Jakub]: ☜☆☞ᏰυՀՀ☜☆☞ 

[20.1.2021 | 22:34:26][Jakub2009Jakub]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/801565325887930428/nieznane.png] 

[20.1.2021 | 22:34:39][Jakub2009Jakub]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/801565379461513277/nieznane.png] 

[20.1.2021 | 22:34:58][Jakub2009Jakub]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/801565458926141470/nieznane.jpeg] 

[21.1.2021 | 9:29:18] [Stasiek]: a i sorry za pingi na współpracach ale jakoś robię partnerstwa z wysokimi serwami:D 

[21.1.2021 | 9:57:51] [Stasiek]: EJ <@!689129555549618269>  #clear-bot się zepsuł 

[21.1.2021 | 10:17:56] [👑 _PRYMEK_ 👑]: Bo to oni go zrobili off 

[21.1.2021 | 10:18:0] [👑 _PRYMEK_ 👑]: Później będzie 

[21.1.2021 | 10:18:1] [👑 _PRYMEK_ 👑]: Pewnie 

[21.1.2021 | 10:18:41] [Stasiek]: no w sensie odpowiada po jakiejś minucie 

[21.1.2021 | 10:18:52] [👑 _PRYMEK_ 👑]: A to nwm 

[21.1.2021 | 10:18:54] [👑 _PRYMEK_ 👑]: XD 

[21.1.2021 | 10:26:26] [Gloryjka]: serio na chuj tyle pingu 

[21.1.2021 | 10:47:23] [Stasiek]: ja to muszę robić:? 

[21.1.2021 | 11:32:33] [👑 _PRYMEK_ 👑]: Hej <@763675745951678474> 

[21.1.2021 | 11:32:35] [👑 _PRYMEK_ 👑]: Jesteś 

[21.1.2021 | 11:32:36] [👑 _PRYMEK_ 👑]: ! 

[21.1.2021 | 11:32:48] [👑 _PRYMEK_ 👑]: Bo tak mało aktywny jesteś 

[21.1.2021 | 12:37:55] [SHURIKEN123]: Witam jestem nowy 

[21.1.2021 | 12:38:58] [Stasiek]: siema 

[21.1.2021 | 12:55:39] [Rekin]: <@!689129555549618269> jestem 

[21.1.2021 | 13:20:50] [👑 _PRYMEK_ 👑]: Siema ct? 

[21.1.2021 | 13:29:51] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[21.1.2021 | 13:29:53] [👑 _PRYMEK_ 👑]: Grasz? 

[21.1.2021 | 13:29:56] [👑 _PRYMEK_ 👑]: Dawaj 

[21.1.2021 | 14:32:17] [SOKOLEK]: Zapraszam na #ciekawostki 

[22.1.2021 | 9:38:54] [👑 _PRYMEK_ 👑]: Ej a macie może 

[22.1.2021 | 9:38:56] [👑 _PRYMEK_ 👑]: Tą grę 

[22.1.2021 | 9:39:7] [👑 _PRYMEK_ 👑]: Napisałem nazwę na czacie gry 

[22.1.2021 | 9:39:12] [👑 _PRYMEK_ 👑]: Ma ktoś taka gre 

[22.1.2021 | 9:39:15] [👑 _PRYMEK_ 👑]: Bo jak tak 

[22.1.2021 | 9:39:23] [👑 _PRYMEK_ 👑]: To bym się cieszył 

[22.1.2021 | 9:39:33] [👑 _PRYMEK_ 👑]: Bo byśmy założyli nowy sojusz 

[22.1.2021 | 9:39:41] [👑 _PRYMEK_ 👑]: Ja już mniej więcej ogarniam tą grę 

[22.1.2021 | 9:40:4] [👑 _PRYMEK_ 👑]: A jak ktoś by nie ogarniał to mu pomogę lub sam się nauczy bo się sam nauczyłem 

[22.1.2021 | 9:41:18] [👑 _PRYMEK_ 👑]: Także ma ktoś tą grę to piszcie bo z chęcią bym zagrał z wami 

[22.1.2021 | 10:11:6] [Stasiek]: oki a na co jest 

[22.1.2021 | 10:11:25] [👑 _PRYMEK_ 👑]: Wpisz sobie na yt 

[22.1.2021 | 10:11:25] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[22.1.2021 | 10:11:36] [Stasiek]: co? 

[22.1.2021 | 10:11:50] [Stasiek]: mam wpisać 

[22.1.2021 | 10:11:52] [Stasiek]: <@!689129555549618269> 

[22.1.2021 | 10:19:46] [👑 _PRYMEK_ 👑]: Na czat gra masz 

[22.1.2021 | 10:22:17] [Stasiek]: ok 

[22.1.2021 | 11:44:24] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Siema 

[22.1.2021 | 11:46:27] [👑 _PRYMEK_ 👑]: Elo 

[22.1.2021 | 11:52:29] [Stasiek]: co kurw to ten włam czy prawdziwy 

[22.1.2021 | 11:52:42] [Stasiek]: <@!689129555549618269> 

[22.1.2021 | 11:54:2] [👑 _PRYMEK_ 👑]: Prawdziwy 

[22.1.2021 | 11:54:7] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[22.1.2021 | 12:14:21] [Stasiek]: fajnie 

[22.1.2021 | 12:17:20] [Kokichi✔]: !w <@!712974785793097799> obraża serwer 

[22.1.2021 | 12:18:13] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Kurwa chlopie 6mln na debecie nie wkurwił byś się ? 

[22.1.2021 | 12:18:31] [Rekin]: Że co ? 

[22.1.2021 | 12:18:39] [👑 _PRYMEK_ 👑]: Co się stało 

[22.1.2021 | 12:18:40] [👑 _PRYMEK_ 👑]: ? 

[22.1.2021 | 12:19:8] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: No kurw 6mln kredytu w waszej ekonomi 

[22.1.2021 | 12:19:10] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Patrzcie to 

[22.1.2021 | 12:19:12] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: !bal 

[22.1.2021 | 12:19:24] [Rekin]: Xd 

[22.1.2021 | 12:19:25] [Rekin]: !bal 

[22.1.2021 | 12:19:33] [Rekin]: Ez 

[22.1.2021 | 12:19:42] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: I jeszcze Kochi dal mi bana 

[22.1.2021 | 12:19:42] [👑 _PRYMEK_ 👑]: Ej 

[22.1.2021 | 12:19:48] [👑 _PRYMEK_ 👑]: Xd 

[22.1.2021 | 12:19:51] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[22.1.2021 | 12:19:55] [👑 _PRYMEK_ 👑]: Nie dał ci bana 

[22.1.2021 | 12:19:59] [👑 _PRYMEK_ 👑]: Tylko Warna 

[22.1.2021 | 12:20:14] [👑 _PRYMEK_ 👑]: I czm używasz komendy do ekonomii tutaj 

[22.1.2021 | 12:20:17] [👑 _PRYMEK_ 👑]: Nie można tutaj 

[22.1.2021 | 12:20:19] [👑 _PRYMEK_ 👑]: Jakby co 

[22.1.2021 | 12:20:27] [Kokichi✔]: dać mu warna? 

[22.1.2021 | 12:20:31] [Kokichi✔]: znowu lol? 

[22.1.2021 | 12:20:32] [👑 _PRYMEK_ 👑]: Nwm 

[22.1.2021 | 12:20:35] [👑 _PRYMEK_ 👑]: Chyba nie 

[22.1.2021 | 12:20:41] [👑 _PRYMEK_ 👑]: Bo zrobiła tylko raz 

[22.1.2021 | 12:20:53] [👑 _PRYMEK_ 👑]: I może zrozumiał 

[22.1.2021 | 12:21:19] [Kokichi✔]: usuniesz <@!607951368413773824> 100k bo oszukuje w  losach 

[22.1.2021 | 12:21:47] [👑 _PRYMEK_ 👑]: Kto 

[22.1.2021 | 12:21:50] [👑 _PRYMEK_ 👑]: Oszukuje 

[22.1.2021 | 12:22:50] [Kokichi✔]: !w <@!607951368413773824> oszukuje w losach 

[22.1.2021 | 12:23:9] [Kokichi✔]: nie 1 raz oszukał 

[22.1.2021 | 12:23:32] [SOKOLEK]: Nie oszukałem 

[22.1.2021 | 12:23:40] [SOKOLEK]: chłopie ja kupiłem co 1 

[22.1.2021 | 12:23:53] [Kokichi✔]: kupiłeś 2 losy 

[22.1.2021 | 12:23:58] [Kokichi✔]: użyłeś... 

[22.1.2021 | 12:24:22] [Kokichi✔]: 8 

[22.1.2021 | 12:25:36] [Kokichi✔]: znaczy 6 

[22.1.2021 | 12:25:54] [Kokichi✔]: 2 były puste 

[22.1.2021 | 12:28:20] [SOKOLEK]: Jezu 

[22.1.2021 | 12:28:27] [SOKOLEK]: zaraz blocka chcesz? 

[22.1.2021 | 12:28:32] [SOKOLEK]: Dobra masz bloka elo 

[22.1.2021 | 12:28:42] [Kokichi✔]: !w <@!763675745951678474> obraża maluszka i mnie 

[22.1.2021 | 12:28:54] [Kokichi✔]: kurde 

[22.1.2021 | 12:29:2] [Rekin]: XD 

[22.1.2021 | 12:29:6] [Rekin]: <a:aXD:798681769297707028> 

[22.1.2021 | 12:29:7] [SOKOLEK]: XDD 

[22.1.2021 | 12:29:52] [Rekin]: Dobra spierdalam bay 

[22.1.2021 | 12:29:56] [Rekin]: Nie chce 

[22.1.2021 | 12:30:1] [Rekin]: Być na takim 

[22.1.2021 | 12:30:6] [Rekin]: Servie 

[22.1.2021 | 12:30:9] [👑 _PRYMEK_ 👑]: Ale to ty wyzywasz 

[22.1.2021 | 12:30:10] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:30:12] [Rekin]: Co 

[22.1.2021 | 12:30:21] [👑 _PRYMEK_ 👑]: Każdy cie chce lubić ale ich wyzywasz 

[22.1.2021 | 12:30:23] [👑 _PRYMEK_ 👑]: To jak? 

[22.1.2021 | 12:30:29] [Rekin]: Bay 

[22.1.2021 | 12:30:43] [❤_Nezuko Kamado_❤]: <@!763675745951678474> jakbyś nie wyzywał nic by nie było 

[22.1.2021 | 12:30:59] [SOKOLEK]: +1 

[22.1.2021 | 12:31:28] [👑 _PRYMEK_ 👑]: Wyszedł 😭 

[22.1.2021 | 12:31:32] [SOKOLEK]: Szkoda 

[22.1.2021 | 12:31:48] [SOKOLEK]: bo on się wkurzył na <@!581373577404874752> 

[22.1.2021 | 12:31:52] [❤_Nezuko Kamado_❤]: Wyszedł No szkoda ale kurde nie pozwalam się obrażać 

[22.1.2021 | 12:32:3] [SOKOLEK]: Spokojnie 

[22.1.2021 | 12:32:17] [👑 _PRYMEK_ 👑]: Ale poczesci psuł serwer 

[22.1.2021 | 12:32:17] [Kokichi✔]: ja się cieszę że wyszedł 

[22.1.2021 | 12:32:24] [SOKOLEK]: Może dam mu zapro i niech wraca 

[22.1.2021 | 12:32:29] [Kokichi✔]: będzie bez niego lepiej 

[22.1.2021 | 12:32:33] [Kokichi✔]: nie! 

[22.1.2021 | 12:32:37] [SOKOLEK]: Ogar 

[22.1.2021 | 12:32:44] [Kokichi✔]: : ) 

[22.1.2021 | 12:32:46] [👑 _PRYMEK_ 👑]: Smutno mi 

[22.1.2021 | 12:32:58] [👑 _PRYMEK_ 👑]: <:Sadge:796633202453250049> 

[22.1.2021 | 12:33:0] [SOKOLEK]: WIDZISZ? Prymkowi smutno! 

[22.1.2021 | 12:33:15] [Kokichi✔]: będzie bez niego lepiej <@!689129555549618269> 

[22.1.2021 | 12:33:18] [SOKOLEK]: DAM mu zapro i tyle 

[22.1.2021 | 12:33:23] [❤_Nezuko Kamado_❤]: Mi też ale ja się np obrażać nie dam 

[22.1.2021 | 12:33:37] [SOKOLEK]: Spokojnie maluszek i prymek 

[22.1.2021 | 12:33:38] [👑 _PRYMEK_ 👑]: No i bardzo dobrze 

[22.1.2021 | 12:33:46] [👑 _PRYMEK_ 👑]: Ale i tak mi smutno <:Sadge:800767864226316358> 

[22.1.2021 | 12:33:52] [👑 _PRYMEK_ 👑]: Bo sobie z nim grałem 

[22.1.2021 | 12:34:0] [👑 _PRYMEK_ 👑]: Ogólnie dodawał emotki 

[22.1.2021 | 12:34:2] [👑 _PRYMEK_ 👑]: Itp 

[22.1.2021 | 12:34:7] [SOKOLEK]: może go zaprosze sprowotem <:emoji_26:796691745021755432> 

[22.1.2021 | 12:34:10] [bart.bruk]: i to tyle lol 

[22.1.2021 | 12:34:15] [bart.bruk]: emotki dodawał tylko 

[22.1.2021 | 12:34:16] [SOKOLEK]: lol 

[22.1.2021 | 12:34:34] [❤_Nezuko Kamado_❤]: Jakby smutno bo opuścił ale kurczę nie było miłe jak mnie zaczął obrażać 

[22.1.2021 | 12:34:34] [👑 _PRYMEK_ 👑]: No wn 

[22.1.2021 | 12:34:52] [SOKOLEK]: Nie zostań tu 

[22.1.2021 | 12:34:59] [❤_Nezuko Kamado_❤]: Ja zostaje 

[22.1.2021 | 12:35:1] [👑 _PRYMEK_ 👑]: Ale żeby dodawać emotki trzeba mieć nitro 

[22.1.2021 | 12:35:4] [SOKOLEK]: No ja też 

[22.1.2021 | 12:35:7] [👑 _PRYMEK_ 👑]: Botem 

[22.1.2021 | 12:35:9] [👑 _PRYMEK_ 👑]: Oczywiście 

[22.1.2021 | 12:35:12] [Kokichi✔]: ja zostaję 

[22.1.2021 | 12:35:15] [SOKOLEK]: czekajcie rekin pisze do mnie na pv 

[22.1.2021 | 12:35:18] [👑 _PRYMEK_ 👑]: Maluszek zostaje 

[22.1.2021 | 12:35:30] [❤_Nezuko Kamado_❤]: Nie po to się starałam żeby ten serwer opuszczać 

[22.1.2021 | 12:35:47] [👑 _PRYMEK_ 👑]: Ale ja go nie rozumiem 

[22.1.2021 | 12:35:50] [👑 _PRYMEK_ 👑]: Że mówię mu 

[22.1.2021 | 12:35:53] [👑 _PRYMEK_ 👑]: Nie wyzywaj 

[22.1.2021 | 12:35:57] [👑 _PRYMEK_ 👑]: A on wyzywa 

[22.1.2021 | 12:36:12] [Kokichi✔]: zaproś go ale nie będzie miał pomocnika. pomocnik nie może być agresive 

[22.1.2021 | 12:36:12] [👑 _PRYMEK_ 👑]: A później po cholere wyzywales a on mi mówię że nie wyzywał 

[22.1.2021 | 12:36:16] [👑 _PRYMEK_ 👑]: I gadaj z nim 

[22.1.2021 | 12:36:17] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:36:32] [❤_Nezuko Kamado_❤]: Mega mocno się staram żeby piąć się w górę a nie żeby wychodzić 

[22.1.2021 | 12:36:35][SOKOLEK]: Zgapieniec [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/802139649476001832/unknown.png] 

[22.1.2021 | 12:36:35] [SOKOLEK]: XD 

[22.1.2021 | 12:36:47] [SOKOLEK]: Patrzcie na to XD 

[22.1.2021 | 12:36:53] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:37:5] [👑 _PRYMEK_ 👑]: W dupie z tym regulaminem 

[22.1.2021 | 12:37:11] [👑 _PRYMEK_ 👑]: <@607951368413773824> 

[22.1.2021 | 12:37:11] [SOKOLEK]: Dupa 

[22.1.2021 | 12:37:11] [Kokichi✔]: ja też 

[22.1.2021 | 12:37:18] [👑 _PRYMEK_ 👑]: Idziesz na głosowy 

[22.1.2021 | 12:37:19] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[22.1.2021 | 12:37:24] [👑 _PRYMEK_ 👑]: MSZ dzisiaj awans 

[22.1.2021 | 12:37:30] [👑 _PRYMEK_ 👑]: Ale nie powiem o której 

[22.1.2021 | 12:37:39] [SOKOLEK]: Ja poczekam na pogadalnie 

[22.1.2021 | 12:37:42] [Kokichi✔]: mam lekcję 

[22.1.2021 | 12:37:48] [Kokichi✔]: zaraz się kończy 

[22.1.2021 | 12:38:18] [👑 _PRYMEK_ 👑]: Najs 

[22.1.2021 | 12:38:23] [Kokichi✔]: o 20:00? 

[22.1.2021 | 12:38:24] [Kokichi✔]: lo 

[22.1.2021 | 12:38:26] [Kokichi✔]: l 

[22.1.2021 | 12:38:27] [👑 _PRYMEK_ 👑]: Nwm 

[22.1.2021 | 12:38:41] [👑 _PRYMEK_ 👑]: Ale trudno 

[22.1.2021 | 12:38:45] [👑 _PRYMEK_ 👑]: Jak ma psuć serwer 

[22.1.2021 | 12:38:50] [👑 _PRYMEK_ 👑]: To trudno 

[22.1.2021 | 12:39:22] [👑 _PRYMEK_ 👑]: Co 

[22.1.2021 | 12:39:23] [👑 _PRYMEK_ 👑]: ? 

[22.1.2021 | 12:39:24] [👑 _PRYMEK_ 👑]: Jaki bot 

[22.1.2021 | 12:39:34] [Kokichi✔]: boost rerwera 

[22.1.2021 | 12:39:40] [Kokichi✔]: serwera* 

[22.1.2021 | 12:39:59] [Rekin]: Ok to oa 

[22.1.2021 | 12:40:0] [Rekin]: Pa 

[22.1.2021 | 12:40:7] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:40:8] [👑 _PRYMEK_ 👑]: Siema 

[22.1.2021 | 12:40:9] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[22.1.2021 | 12:40:12] [👑 _PRYMEK_ 👑]: Ale nie wyzywaj 

[22.1.2021 | 12:40:14] [👑 _PRYMEK_ 👑]: Pla 

[22.1.2021 | 12:40:32] [👑 _PRYMEK_ 👑]: On i tak dawno zabrał boosta 

[22.1.2021 | 12:40:39] [👑 _PRYMEK_ 👑]: Także w booscie nic się nie zmieni 

[22.1.2021 | 12:40:41] [Rekin]: Skończył się 

[22.1.2021 | 12:40:48] [👑 _PRYMEK_ 👑]: A no 

[22.1.2021 | 12:40:48] [Rekin]: Na tym servie 

[22.1.2021 | 12:40:49] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:41:0] [👑 _PRYMEK_ 👑]: Wiem przecież od 2 tygodni 

[22.1.2021 | 12:41:3] [👑 _PRYMEK_ 👑]: Xd 

[22.1.2021 | 12:41:33] [Rekin]: No właśnie 

[22.1.2021 | 12:41:42] [👑 _PRYMEK_ 👑]: Nom 

[22.1.2021 | 12:41:44] [Kokichi✔]: hehe 

[22.1.2021 | 12:41:48] [👑 _PRYMEK_ 👑]: Dlatego mówię 

[22.1.2021 | 12:42:18] [Kokichi✔]: lekcja się skończyła : ) 

[22.1.2021 | 12:42:22] [👑 _PRYMEK_ 👑]: I teraz tak myślę jaka rangę dać rekinowi 

[22.1.2021 | 12:42:49] [Rekin]: Nie dawaj mi żadnej 

[22.1.2021 | 12:43:35] [👑 _PRYMEK_ 👑]: Na czy pomocnika już nie dostaniesz 

[22.1.2021 | 12:43:36] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[22.1.2021 | 12:43:40] [Kokichi✔]: ja na banerach od walk mam stare twoje profilowe lol <@!763675745951678474> 

[22.1.2021 | 12:43:52] [Rekin]: Ale jakie ? 

[22.1.2021 | 12:43:59] [Kokichi✔]: to z rekinem 

[22.1.2021 | 12:44:1] [Kokichi✔]: xD 

[22.1.2021 | 12:44:10] [Rekin]: Aha pff 

[22.1.2021 | 12:44:11] [Rekin]: Pa 

[22.1.2021 | 12:44:14] [Rekin]: Idę 

[22.1.2021 | 12:44:31] [Kokichi✔]: s serwera? 

[22.1.2021 | 12:44:37] [Kokichi✔]: z * 

[22.1.2021 | 12:44:44] [Kokichi✔]: ZErwera* 

[22.1.2021 | 12:44:47] [Kokichi✔]: serwera* 

[22.1.2021 | 12:45:0] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:46:6] [👑 _PRYMEK_ 👑]: Bo jak tak ma wchodzić u wychodzić to tak nie można xD 

[22.1.2021 | 12:46:7] [Rekin]: Tak 

[22.1.2021 | 12:46:32] [👑 _PRYMEK_ 👑]: To po co włazisz i wyłazisz? 

[22.1.2021 | 12:46:42] [👑 _PRYMEK_ 👑]: I po co chcesz wyjść 

[22.1.2021 | 12:46:44] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[22.1.2021 | 12:46:46] [👑 _PRYMEK_ 👑]: ? 

[22.1.2021 | 12:46:50] [👑 _PRYMEK_ 👑]: !user <@763675745951678474> 

[22.1.2021 | 12:59:30] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 12:59:42] [👑 _PRYMEK_ 👑]: To jest taka dziwna sytuacja 

[22.1.2021 | 12:59:44] [👑 _PRYMEK_ 👑]: Co nie? 

[22.1.2021 | 12:59:46] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 13:29:4] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: Ale pojebany ten dac 

