[10.1.2021 | 20:54:51][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797916380107767878/1.png] 
[25.1.2021 | 23:41:10] [Szop Pracz]: To też warto coś dać od siebie 

[26.1.2021 | 9:6:24][🐬 Bluenade_]: <@748061664447823963> [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803536307406110760/20210126_090555.jpg] 

[26.1.2021 | 9:6:24] [🐬 Bluenade_]: tapeta.exe 

[26.1.2021 | 9:6:55] [Sverige AKA Damian.]: A ro moja xd 

[26.1.2021 | 9:11:16] [Sverige AKA Damian.]: <@802644548999708683> 

[26.1.2021 | 9:11:51] [Sverige AKA Damian.]: Wiesz że bez zgody drugiej osoby nie możesz udostępniać rozmowy pryvatnej 

[26.1.2021 | 9:12:6] [Sverige AKA Damian.]: O zedge 

[26.1.2021 | 9:12:11] [Sverige AKA Damian.]: <@559073575340998668> 

[26.1.2021 | 9:12:19] [Sverige AKA Damian.]: Pięknie te ubranka 

[26.1.2021 | 9:12:41] [Sverige AKA Damian.]: Odpisze potem papa 

[26.1.2021 | 9:13:47][🐬 Bluenade_]: a tak serio to mam tego typu tapety [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803538155386961961/ban_x_elaine-f6ea0652-5d45-4a06-8df3-05215c433339.jpg] 

[26.1.2021 | 9:14:1] [NoOne]: Dostał zgodę, jeśli chodzi o zrzuty ekranu wysłane wyżej 

[26.1.2021 | 9:15:4] [Sverige AKA Damian.]: A ok 

[26.1.2021 | 9:15:14] [Sverige AKA Damian.]: Właśnie tak troche też pytałem 

[26.1.2021 | 9:15:29] [Sverige AKA Damian.]: Anime 

[26.1.2021 | 9:15:34] [Sverige AKA Damian.]: Według mnie be 

[26.1.2021 | 9:16:24] [🐬 Bluenade_]: wrrrr 

[26.1.2021 | 9:16:24][😞 Pan Fox 😞]: my piękny telefon 9JEST JESZCZE GOŻEJ TERA tylko nie mam zdjęcia [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803538821466816552/Moj_telefon.jpg] 

[26.1.2021 | 15:49:41][😔 Fox 😔]: Moje pierwsze profilowe :D [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803637793321910312/Bez_nazwy.jpg] 

[26.1.2021 | 16:54:54] [Szop Pracz]: znaczy fajne 

[26.1.2021 | 16:55:8] [Szop Pracz]: ale można jedno dodać 

[26.1.2021 | 16:55:56] [Szop Pracz]: tak jak po prawo jest jaśniej na gradiencie to na napisie możne w lewo by było ciemniej 

[26.1.2021 | 19:30:32] [😔 Fox 😔]: czaję 

[26.1.2021 | 19:55:56] [🐬 Bluenade_]: fox 

[26.1.2021 | 19:56:1] [🐬 Bluenade_]: przyjacielu 

[26.1.2021 | 19:56:3] [🐬 Bluenade_]: mój 

[26.1.2021 | 19:56:5] [🐬 Bluenade_]: kochany 

[26.1.2021 | 19:56:42] [Chmielewski002]: Fox przyjacielu mój kochany 

[26.1.2021 | 19:57:6] [NoOne]: <:AK_PandaWTF:760434077324017684> 

[27.1.2021 | 11:39:16][sirvel_wolf]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803937161657188362/2Q.png] 

[27.1.2021 | 11:39:24][sirvel_wolf]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803937196046024734/UJW5ZSbh.png] 

[27.1.2021 | 11:47:38] [🐬 Bluenade_]: fajne uzi-a4 

[27.1.2021 | 11:47:40] [🐬 Bluenade_]: i uzi90 

[27.1.2021 | 12:9:42] [Pikczel]: cursed 

[27.1.2021 | 15:27:6] [😔 Fox 😔]: ? co tam 

[27.1.2021 | 18:38:51][..nath]: To jest z większych prac [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804042751888719912/20210127_183720.jpg] 

[27.1.2021 | 18:39:24][..nath]: Tutaj jakieś portrety [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804042878237409311/20210127_183644.jpg] 

[27.1.2021 | 18:40:4][..nath]: Tutaj sama nie wiem co to ;-; [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804043051080351864/20210127_183615.jpg] 

[27.1.2021 | 18:40:12][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804043093066252339/20210127_183452.jpg] 

[27.1.2021 | 18:40:37] [🐬 Bluenade_]: ładne 

[27.1.2021 | 18:40:55][..nath]: To są jakieś z pinteresta [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804043265434189874/20210127_183549.jpg] 

[27.1.2021 | 18:41:7] [Invejosa]: Piękne 

[27.1.2021 | 18:41:15][..nath]: Tutaj jakieś coś z głowy [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804043350931406908/20210127_183529.jpg] 

[27.1.2021 | 18:41:28][..nath]: I ala zaburzenia [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804043401954983966/20210127_183508.jpg] 

[27.1.2021 | 18:41:34] [NoOne]: To serce najlepsze 

[27.1.2021 | 18:41:39] [..nath]: Dziękuję ❤️ 

[27.1.2021 | 18:41:46] [..nath]: Dziękuję ❤️ 

[27.1.2021 | 18:41:56] [..nath]: A dziękuję ❤️ 

[27.1.2021 | 18:42:4] [Invejosa]: Też tak uważam 

[27.1.2021 | 18:42:14] [🐬 Bluenade_]: ale ta w tym lustrze ma dupe wielką 

[27.1.2021 | 18:42:21] [🐬 Bluenade_]: xD 

[27.1.2021 | 18:42:39] [..nath]: No a jak D 

[27.1.2021 | 18:43:3] [Invejosa]: To __wszystko__ to Ty malowałaś? 

[27.1.2021 | 18:43:11] [..nath]: Tak ;-; 

[27.1.2021 | 18:43:17] [Invejosa]: Piękne 

[27.1.2021 | 18:43:23] [..nath]: Dziękuję ❤️ ❤️ 

[27.1.2021 | 18:44:44][🐬 Bluenade_]: a tu moje oczqo [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804044213029044285/20210125_161949.jpg] 

[27.1.2021 | 18:46:53][🐬 Bluenade_]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804044772930486298/IMG_20201028_212556.jpg] 

[27.1.2021 | 18:47:36] [Chmielewski002]: Piękne oczko 

[27.1.2021 | 18:48:33] [..nath]: Oooo 

[27.1.2021 | 18:48:38] [..nath]: Pęknie 

[27.1.2021 | 18:48:52] [..nath]: Masz telaent :43 

[27.1.2021 | 18:49:19] [🐬 Bluenade_]: nje mam 

[27.1.2021 | 18:49:23] [🐬 Bluenade_]: kłamczuchu 

[27.1.2021 | 18:51:9] [Chmielewski002]: Masz talent 

[27.1.2021 | 18:52:30] [Invejosa]: Mi się Twoje rysunki podobają Bluenade 

[27.1.2021 | 18:55:15] [..nath]: Masz słodziaku <33 

[27.1.2021 | 18:55:48] [🐬 Bluenade_]: >.< 

[27.1.2021 | 18:59:3] [..nath]: <33 

[27.1.2021 | 18:59:53] [🐬 Bluenade_]: <3 

[27.1.2021 | 19:4:24] [Invejosa]: ❤️ 

[28.1.2021 | 9:53:0] [😔 Fox 😔]: ładnie rysujesz  <@!559073575340998668> i <@!598536600493752320> 

[28.1.2021 | 9:53:9][😔 Fox 😔]: nowe prof [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/804272849955061770/profile.png] 

[28.1.2021 | 9:53:24] [🐬 Bluenade_]: nie pinguj >:c 

[28.1.2021 | 9:53:33] [..nath]: Danke ❤️ 

[28.1.2021 | 9:53:44] [😔 Fox 😔]: ok :c 

