[9.1.2021 | 20:2:19] [Kishunia]: Pora na tabletki. 

[13.1.2021 | 0:11:50] [piołun]: Tak 

[13.1.2021 | 0:13:24] [FiczetoX]: Piołun -_- 

[13.1.2021 | 0:15:28] [cheeto pizzerini]: OGÓLnie to 

[13.1.2021 | 0:15:32] [cheeto pizzerini]: mam ważne pytanie 

[13.1.2021 | 0:15:37] [FiczetoX]: No? 

[13.1.2021 | 0:15:38] [cheeto pizzerini]: gram se w gre teraz 

[13.1.2021 | 0:15:42] [cheeto pizzerini]: i mam do wyboru 

[13.1.2021 | 0:16:25] [cheeto pizzerini]: powiedziec mojemu przyszłemu chłopakowi że nie chcę pluszaka i on mi go nie kupi i póldziemy dalej (ta opcja bardziej pasuje do mojej postaci i jej charakteru) 

[13.1.2021 | 0:16:27] [cheeto pizzerini]: albo mogę 

[13.1.2021 | 0:16:46] [cheeto pizzerini]: powiedzieć że nie musi mi kupować a on mi kupi i tak 

[13.1.2021 | 0:16:49] [piołun]: Onie romanse ;; 

[13.1.2021 | 0:16:52] [cheeto pizzerini]: i nie wiem co wybrac gHh 

[13.1.2021 | 0:16:56] [tsuki]: Weź pluszaka 

[13.1.2021 | 0:16:57] [tsuki]: Zawsze 

[13.1.2021 | 0:16:59] [piołun]: Bierz pluszaka 

[13.1.2021 | 0:17:3] [tsuki]: Jaka to gra? 

[13.1.2021 | 0:17:3] [cheeto pizzerini]: gejowe wiec sie nie martw 

[13.1.2021 | 0:17:4] [piołun]: Za dsrmo 

[13.1.2021 | 0:17:15] [tsuki]: Tym bardziej, jaka? 

[13.1.2021 | 0:17:18] [piołun]: Jak sie nazyea xd 

[13.1.2021 | 0:17:52] [cheeto pizzerini]: znaczy jest gejowa zależnie jakie sie zaimki wybieze 

[13.1.2021 | 0:17:54][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/798692262045024276/unknown.png] 

[13.1.2021 | 0:17:59] [cheeto pizzerini]: ale ja mam meskie wiec gejowa jest 

[13.1.2021 | 0:18:6] [cheeto pizzerini]: za friko 

[13.1.2021 | 0:18:9] [piołun]: Ooo 

[13.1.2021 | 0:18:19] [piołun]: Dzieki 

[13.1.2021 | 0:18:22] [cheeto pizzerini]: spk 

[13.1.2021 | 0:19:20] [cheeto pizzerini]: kurde stresuje sie 

[13.1.2021 | 0:19:26] [cheeto pizzerini]: mam wrażenie że mnie nie lubi 

[13.1.2021 | 0:19:27] [tsuki]: Po polsku? 

[13.1.2021 | 0:19:31] [cheeto pizzerini]: mój przyszły chłop 

[13.1.2021 | 0:19:34] [cheeto pizzerini]: po angielsku 

[13.1.2021 | 0:19:49] [tsuki]: Grh 

[13.1.2021 | 0:20:47] [piołun]: Oho deamis 

[13.1.2021 | 0:21:11] [Deamovsky]: no ja 

[13.1.2021 | 0:22:3] [piołun]: Cze 

[13.1.2021 | 0:22:17] [cheeto pizzerini]: hej 

[13.1.2021 | 0:22:30] [Deamovsky]: Witam Witam 

[13.1.2021 | 0:23:32] [cheeto pizzerini]: hej 

[13.1.2021 | 0:25:1] [Deamovsky]: co to za syf? 

[13.1.2021 | 0:25:33] [krasnal ogrodowy niko]: Ej 

[13.1.2021 | 0:25:37] [krasnal ogrodowy niko]: Nie wiesz co to 

[13.1.2021 | 0:25:43] [krasnal ogrodowy niko]: Więc nie nazywaj tego syfem 

[13.1.2021 | 0:26:12] [krasnal ogrodowy niko]: Jakby ktoś zaczął nazywać star warsy syfem to by było gorzej 

[13.1.2021 | 0:26:30] [Deamovsky]: przeczytałem na stronie steama opis i zobaczyłem zdjęcia więc mogę to nazywać syfem jak mi się nie spodobało 

[13.1.2021 | 0:26:51] [Deamovsky]: miałbym wywalone w kogoś takiego 

[13.1.2021 | 0:27:13] [18seba03]: Me too 

[13.1.2021 | 0:27:30] [18seba03]: Tym bardziej że jest wielu takich ludzi 

[13.1.2021 | 0:27:39] [Deamovsky]: no właśnie 

[13.1.2021 | 0:28:31] [Deamovsky]: no i wracając do tej gry to Crush Crush, Nekopara i wszystkie sakury są lepsze według mnie 

[13.1.2021 | 0:29:3] [cheeto pizzerini]: bo mają w sobie hentai z nieletnimi dziewczynkami? 🥰 

[13.1.2021 | 0:29:9] [Deamovsky]: nie? 

[13.1.2021 | 0:29:9] [cheeto pizzerini]: nekopara przynajmniej ma <3 

[13.1.2021 | 0:29:29] [18seba03]: Nekopara ma jeśli kupisz dodatek 

[13.1.2021 | 0:29:39] [cheeto pizzerini]: wow 🤩 

[13.1.2021 | 0:29:46] [18seba03]: So 

[13.1.2021 | 0:29:57] [cheeto pizzerini]: to faktycznie to moje w porównaniu z nekoparą to syf 

[13.1.2021 | 0:30:20] [Deamovsky]: nie mam co robić tylko kupować dodatki do nekopary XD 

[13.1.2021 | 0:30:32] [18seba03]: +1 

[13.1.2021 | 0:30:45] [18seba03]: Mnie tam nie jarają takie gry 

[13.1.2021 | 0:30:49] [cheeto pizzerini]: w o w ✨ ✨ 

[13.1.2021 | 0:30:57] [18seba03]: Rpg'i better 

[13.1.2021 | 0:31:5] [18seba03]: <:SipTea:798193947553562684> 

[13.1.2021 | 0:32:51] [Deamovsky]: ostatnio gram i tak tylko w Star Wars Battlefront z 2004, L4D2 i Age of Civilizations 2 (teraz nazywa się Age of History 2 na steamie) 

[13.1.2021 | 0:32:59] [Deamovsky]: a no i osu oczywiście 

[13.1.2021 | 0:33:25] [cheeto pizzerini]: serio deam nikt nie ma problemu z tymi popapranymi rzeczami w które grasz więc po co sie przypierdalasz do mnie 

[13.1.2021 | 0:33:43] [cheeto pizzerini]: at least i dont like child pornography 😌 

[13.1.2021 | 0:33:46] [cheeto pizzerini]: just saying 

[13.1.2021 | 0:34:18] [Deamovsky]: od kiedy takie SW Battlefront albo L4D2 jest popaprane? XD 

[13.1.2021 | 0:34:29] [cheeto pizzerini]: mówię o tej nekoparze 

[13.1.2021 | 0:34:32] [cheeto pizzerini]: bystrzaku 

[13.1.2021 | 0:35:7] [18seba03]: Wait 

[13.1.2021 | 0:35:32] [18seba03]: Od kiedy Age of civilization 2 ma nową nazwę 

[13.1.2021 | 0:35:39] [piołun]: <:SipTea:798193947553562684> 

[13.1.2021 | 0:36:3] [Deamovsky]: sam się zdziwiłem jak zobaczyłem że na steamie nazywa się teraz Age of History 2 

[13.1.2021 | 0:36:10] [18seba03]: Ahła 

[13.1.2021 | 0:36:14] [18seba03]: Dziwne xD 

[13.1.2021 | 0:36:36] [18seba03]: Ja bym w starego Battlefronta pograł 

[13.1.2021 | 0:36:54] [Deamovsky]: ja kupiłem na steama chyba za 4zł 

[13.1.2021 | 0:36:57] [18seba03]: Narazie gram w tego od EA ale tamtego trza kupić 

[13.1.2021 | 0:37:8] [Deamovsky]: ????? 

[13.1.2021 | 0:37:41] [cheeto pizzerini]: 😌 ? 

[13.1.2021 | 0:37:46] [cheeto pizzerini]: czego nie zrozumiałeś 

[13.1.2021 | 0:38:18] [cheeto pizzerini]: skoro grasz w nekoparę to chyba coś znaczy nie? 

[13.1.2021 | 0:38:59] [18seba03]: Jeżeli gra bez dodatku to nie? 

[13.1.2021 | 0:39:2] [cheeto pizzerini]: i z czym masz problem w tym w co ja gram teraz 🥱 

[13.1.2021 | 0:39:11] [cheeto pizzerini]: ale i tak to wspiera? 

[13.1.2021 | 0:39:16] [cheeto pizzerini]: kupując to i grając 

[13.1.2021 | 0:39:20] [18seba03]: I? Nie może? 

[13.1.2021 | 0:39:21] [cheeto pizzerini]: nie wiem czy jest płatne tho 

[13.1.2021 | 0:39:27] [cheeto pizzerini]: umm nie? 

[13.1.2021 | 0:39:33] [18seba03]: Jego wybór? 

[13.1.2021 | 0:39:40] [cheeto pizzerini]: no jakby ja mu nie bronię 

[13.1.2021 | 0:39:47] [cheeto pizzerini]: to on się przyczepił pierwszy 

[13.1.2021 | 0:39:53] [cheeto pizzerini]: więc odpowiadam tym samym 

[13.1.2021 | 0:40:5] [cheeto pizzerini]: 💁‍♀️ 

[13.1.2021 | 0:40:10] [Deamovsky]: napisałem tylko że dla mnie ta gra to syf więc no 

[13.1.2021 | 0:40:24] [18seba03]: Szkoda mi to komentować, where's my tea 

[13.1.2021 | 0:40:31] [18seba03]: <:SipTea:798193947553562684> 

[13.1.2021 | 0:40:49] [cheeto pizzerini]: a ja odpowiedziałam tym samym 

[13.1.2021 | 0:40:56] [cheeto pizzerini]: tylko ja dałam faktyczny powód 

[13.1.2021 | 0:41:21] [Deamovsky]: X D 

[13.1.2021 | 0:41:30] [cheeto pizzerini]: becz00nia 

[13.1.2021 | 0:41:44] [cheeto pizzerini]: jakby po chuj sie przyczepiałes tho 

[13.1.2021 | 0:41:58] [cheeto pizzerini]: jak ci się nie podoba to że zwracam uwagę 

[13.1.2021 | 0:42:3] [krasnal ogrodowy niko]: W regulaminie jest by nie obrażać zainteresowań innych soo 

[13.1.2021 | 0:42:7] [cheeto pizzerini]: nie badz hipokryta 

[13.1.2021 | 0:42:16] [Deamovsky]: to ty się przyczepiłaś do mnie że napisałem że dla mnie ta gra to syf 

[13.1.2021 | 0:42:25] [cheeto pizzerini]: no bo chyba mam prawo nie? 

[13.1.2021 | 0:42:29] [cheeto pizzerini]: mi się podoba 

[13.1.2021 | 0:42:43] [cheeto pizzerini]: a ty przychodzisz i bez żadnej podstawi ja obrazasz 

[13.1.2021 | 0:42:57] [Deamovsky]: to że tobie się podoba to nie znaczy że każdemu musi się podobać? 

[13.1.2021 | 0:42:58] [cheeto pizzerini]: wiec to chyba bylo do przewidzenia że nie bede zadowola z tego lmao 

[13.1.2021 | 0:43:1] [krasnal ogrodowy niko]: Ładna pogoda nie? 

[13.1.2021 | 0:43:11] [krasnal ogrodowy niko]: Tak ciemno i gwiazdki widać 

[13.1.2021 | 0:43:17] [cheeto pizzerini]: nie? ale też nie podałeś mi żadnych powodów dlaczegp 

[13.1.2021 | 0:43:22] [cheeto pizzerini]: i jak już ci sie nie podoba 

[13.1.2021 | 0:43:23] [piołun]: <:SipTea:798193947553562684> 

[13.1.2021 | 0:43:29] [Deamovsky]: a to nawet własnej opinii na temat jakiejś gry nie można wyrazić XD 

[13.1.2021 | 0:43:40] [krasnal ogrodowy niko]: O samolot przeleciał akurat 

[13.1.2021 | 0:43:41] [cheeto pizzerini]: to wystarczy że powiesz "nie podoba mi sie" a nie "gra to syf" 

[13.1.2021 | 0:43:48] [cheeto pizzerini]: bo to nie fakt a twoja opinia 

[13.1.2021 | 0:44:19] [krasnal ogrodowy niko]: ŁADNA POGODA KURWA MAĆ 

[13.1.2021 | 0:44:24] [cheeto pizzerini]: noc 

[13.1.2021 | 0:44:27] [krasnal ogrodowy niko]: No 

[13.1.2021 | 0:44:29] [cheeto pizzerini]: w nocy nie ma pogody 

[13.1.2021 | 0:44:34] [cheeto pizzerini]: bo jest ciemno 

[13.1.2021 | 0:44:34] [krasnal ogrodowy niko]: Jest 

[13.1.2021 | 0:44:38] [krasnal ogrodowy niko]: Są chmurki 

[13.1.2021 | 0:44:40] [cheeto pizzerini]: um nie 

[13.1.2021 | 0:44:44] [cheeto pizzerini]: jest noc 

[13.1.2021 | 0:44:49] [cheeto pizzerini]: nie ma chmur 

[13.1.2021 | 0:44:50] [krasnal ogrodowy niko]: To czemu robią prognozę pogody na noc HMMMM 

[13.1.2021 | 0:44:51] [18seba03]: Świat gier to nie jest świat w którym musisz mieć powód by czegoś nie lubić 

[13.1.2021 | 0:44:53] [cheeto pizzerini]: jest ciemno 

[13.1.2021 | 0:45:3] [Deamovsky]: +1 

[13.1.2021 | 0:45:7] [cheeto pizzerini]: ok shawty chile 

[13.1.2021 | 0:45:59] [18seba03]: No bo to prawda z życia wzięta, ja np takiego Lola niecierpiałem przez długi czas bez powodu, moje zdanie każdy znak o nim. Podobnie teraz z Deamem było 

[13.1.2021 | 0:46:13] [cheeto pizzerini]: znak? 

[13.1.2021 | 0:46:23] [18seba03]: *zna 

[13.1.2021 | 0:46:26] [cheeto pizzerini]: a 

[13.1.2021 | 0:46:28] [18seba03]: Jebana autokorekta 

[13.1.2021 | 0:46:33] [cheeto pizzerini]: dobra spokojnie 

[13.1.2021 | 0:46:56] [cheeto pizzerini]: jakby spoko moze mu sie nie podobac ale nie musi sie tym dzielic skoro wie że mi sie podoba 

[13.1.2021 | 0:46:59] [FiczetoX]: Dzień dobry 

[13.1.2021 | 0:47:1] [cheeto pizzerini]: to troche niemiłe jest idk 

[13.1.2021 | 0:47:4] [cheeto pizzerini]: dowidzenia 

[13.1.2021 | 0:47:38] [18seba03]: Napisać może, raczej bym powiedział że nie miłoby było gdyby rozszerzał fakt obrażania gry 

[13.1.2021 | 0:47:43] [18seba03]: A napisał to raz i tyle 

[13.1.2021 | 0:47:51] [Deamovsky]: dokładnie tak 

[13.1.2021 | 0:48:4] [cheeto pizzerini]: no jakby dał powód by mi to nie pzreszkadalo 

[13.1.2021 | 0:48:8] [krasnal ogrodowy niko]: yo nie zmienia faktu że wtrącenie raczej niepotrzebne i obraźliwe 

[13.1.2021 | 0:48:17] [18seba03]: Więc pokaże to na swoim przykładzie:
Arcania to gówno i tyle 

[13.1.2021 | 0:48:20] [krasnal ogrodowy niko]: Jest u nas w regulaminie na temat obrażania zainteresowań 

[13.1.2021 | 0:48:23] [18seba03]: I na tym kończę xD 

[13.1.2021 | 0:48:36] [krasnal ogrodowy niko]: Więc nie ma tłumaczenia światem gier 

[13.1.2021 | 0:48:38] [cheeto pizzerini]: a on tylko przylazł i nasrał na grę bez powodu a do tej pory nie miał pojęcia o tym że istnieje 

[13.1.2021 | 0:48:50] [cheeto pizzerini]: i tak dodał tylko bo wiedział że mi się gra podoba 

[13.1.2021 | 0:48:57] [cheeto pizzerini]: bo nikt go o opinię nie prosił 

[13.1.2021 | 0:49:3] [Deamovsky]: Jeśli chodzi o Arcania Gothic to jest to gówno XD 

[13.1.2021 | 0:49:10] [piołun]: Co mieliscie na obiad,m 

[13.1.2021 | 0:49:10] [krasnal ogrodowy niko]: Tak btw tam też mówi się o powodach, dlaczego nie lubisz tej gry 

[13.1.2021 | 0:49:12] [piołun]: ?? 

[13.1.2021 | 0:49:14] [krasnal ogrodowy niko]: O 

[13.1.2021 | 0:49:20] [krasnal ogrodowy niko]: Pisałem już ale napiszę drugi 

[13.1.2021 | 0:49:24] [krasnal ogrodowy niko]: Porową i kurczaczka 

[13.1.2021 | 0:49:32] [cheeto pizzerini]: nie wiem 

[13.1.2021 | 0:49:33] [18seba03]: Te te nie ma Arcania Gothic, jest Arcania bo Arcania to nie Gothic 

[13.1.2021 | 0:49:35] [cheeto pizzerini]: sałatkę? 

[13.1.2021 | 0:49:43] [cheeto pizzerini]: arcana czy arcania 

[13.1.2021 | 0:50:5] [18seba03]: Arcania ale możesz to nazywać jak chcesz 

[13.1.2021 | 0:50:26] [cheeto pizzerini]: ok 

[13.1.2021 | 0:50:32] [Deamovsky]: no w sumie ale jest gra która nazywa się Arcania Gothic 4 XD 

[13.1.2021 | 0:50:38] [krasnal ogrodowy niko]: Kurwa mam katar 

[13.1.2021 | 0:50:41] [18seba03]: Przepraszam 

[13.1.2021 | 0:50:43] [18seba03]: Ale 

[13.1.2021 | 0:50:45] [krasnal ogrodowy niko]: A nie mam chusteczek w pokoju 

[13.1.2021 | 0:50:49] [18seba03]: To już nie ma w nazwie Gothic 4 

[13.1.2021 | 0:51:12] [cheeto pizzerini]: deamovsky wiesz że twoją osobę zawsze utożsamiam z takim "ok." powiedzianym przez kogoś znudzonym głosem 

[13.1.2021 | 0:51:13] [cheeto pizzerini]: wsensie 

[13.1.2021 | 0:51:16] [18seba03]: Odkąd upadł ~~Jebany pierdolony Jajowood~~ JoWood straciło tą nazwę 

[13.1.2021 | 0:51:18] [cheeto pizzerini]: ja to słysze zawsze 

[13.1.2021 | 0:51:27] [cheeto pizzerini]: jak widze twoją nazwę gdzieś 

[13.1.2021 | 0:51:38] [cheeto pizzerini]: tylko takie "ok. 😒 " 

[13.1.2021 | 0:51:42] [cheeto pizzerini]: nie wiem czemu 

[13.1.2021 | 0:51:43] [krasnal ogrodowy niko]: Ale super że zaniedlugo wyjdzie ósemka resident evil 8 

[13.1.2021 | 0:51:57] [Deamovsky]: ok 

[13.1.2021 | 0:52:2] [cheeto pizzerini]: TAK 

[13.1.2021 | 0:52:10] [18seba03]: Odkąd Piranha odzyskała prawa do Gothica ten haniebny błąd został naprawiony 

[13.1.2021 | 0:52:23] [Deamovsky]: to dobrze 

[13.1.2021 | 0:52:41] [FiczetoX]: Mogę dołączyć do rozmowy? 

[13.1.2021 | 0:52:47] [18seba03]: Yup 

[13.1.2021 | 0:53:3] [FiczetoX]: A o czym jest rozmowa? 

[13.1.2021 | 0:53:9] [cheeto pizzerini]: o tobie 

[13.1.2021 | 0:53:11] [cheeto pizzerini]: o wilku mowa 

[13.1.2021 | 0:53:25] [FiczetoX]: Przestań -_- 

[13.1.2021 | 0:53:26] [Deamovsky]: a tak w ogóle to mam wszystkie części Gothica na steamie 

[13.1.2021 | 0:53:34] [18seba03]: O tym że ~~Jajowood~~ znaczy JoWood jest złodziejem i obraził swoim tworem Gothica 

[13.1.2021 | 0:53:36] [cheeto pizzerini]: ok 

[13.1.2021 | 0:53:39] [cheeto pizzerini]: ale co 

[13.1.2021 | 0:53:42] [cheeto pizzerini]: mam zaprzestac 

[13.1.2021 | 0:54:4] [18seba03]: Mam na steamie i na płytach xd 

[13.1.2021 | 0:54:13] [Deamovsky]: Nice XD 

[13.1.2021 | 0:54:17] [18seba03]: A te z płyt są bez steamowe xd 

[13.1.2021 | 0:54:38] [Deamovsky]: od jutra na epic'u za darmo Battlefront 2 od EA będzie 

[13.1.2021 | 0:55:1] [18seba03]: A nom ~~kiedy masz już kupionego ale jesteś Polakiem to i tak weźmiesz~~ 

[13.1.2021 | 0:55:33] [Deamovsky]: dobrze że nie kupiłem na święta bo chciałem kupić ale tego nie zrobiłem 

[13.1.2021 | 0:56:5] [Deamovsky]: GTA V kupiłem za 60zł i rok później było za darmo więc no 

[13.1.2021 | 0:56:42] [18seba03]: Ja kupiłem za 4 dychy na enebie 4 lata temu 

[13.1.2021 | 0:56:49] [18seba03]: *3 

[13.1.2021 | 0:57:30] [Deamovsky]: Jeszcze trochę gier star wars mi brakuje bym miał wszystkie na steamie 

[13.1.2021 | 0:57:57][Deamovsky]: to wszystkie które mam teraz [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/798702344665169960/Screenshot_13.png] 

[13.1.2021 | 0:58:2] [18seba03]: Ja mam kilka na płytach gdy jeszcze Steam nie był konieczny. Kiedyś kupię sobie wszystkie w paczce jak będzie na promocji 

[13.1.2021 | 0:58:33] [18seba03]: Te piękne star warsy 

[13.1.2021 | 0:59:8] [Deamovsky]: A no i mam jeszcze Lego Star Wars The Force Awakens ze wszystkimi dodatkami 

[13.1.2021 | 0:59:28] [18seba03]: Tego jeszcze nie grałem 

[13.1.2021 | 0:59:40] [18seba03]: Ale i tak twierdzę że LEGO Star Wars 3 the best 

[13.1.2021 | 1:0:3] [18seba03]: Pamiętam jak tydzień po mojej komuni to wyszło i kupiłem w Auchan to za 120 zł xD 

[13.1.2021 | 1:0:5] [Deamovsky]: dokładnie tak 

[13.1.2021 | 1:0:20] [Deamovsky]: może jeszcze The complete saga może być 

[13.1.2021 | 1:0:32] [18seba03]: Jest fajna ale ma ten stary system rozdzielania 

[13.1.2021 | 1:0:45] [Deamovsky]: ja czekam aż wyjdzie The Skywalker Saga 

[13.1.2021 | 1:1:1] [18seba03]: W sumie, Star wars 2 i Complete Saga są prawie takie same xd 

[13.1.2021 | 1:1:8] [Deamovsky]: no tak XD 

[13.1.2021 | 1:1:10] [18seba03]: Complete Saga ma chyba trochę więcej 

[13.1.2021 | 1:1:36] [18seba03]: Ale pruwda, też czekam na The Skywalker Saga 

[13.1.2021 | 1:1:53] [18seba03]: Będziesz grał z dubbingiem czy z głosami jak w Lego Star Wars 3? xD 

[13.1.2021 | 1:2:7] [Deamovsky]: w sumie nie wiem XD 

[13.1.2021 | 1:2:30] [Deamovsky]: The Force Awakens grałem z Dubbingiem 

[13.1.2021 | 1:2:58] [18seba03]: Tam była możliwość wyboru? 

[13.1.2021 | 1:3:6] [Deamovsky]: chyba nie 

[13.1.2021 | 1:3:15] [18seba03]: Bo tego co wyjdzie będę grał na głosach z trójki xD 

[13.1.2021 | 1:3:33] [18seba03]: Wiecznie będę miał w pamięci armie klonów pijącą kawę przez hełm 

[13.1.2021 | 1:4:18] [18seba03]: https://c.tenor.com/OcZL5FLBE5gAAAAM/mondays-lego.gif 

[13.1.2021 | 1:4:24] [18seba03]: To też było piękne xD 

[13.1.2021 | 1:4:36] [Deamovsky]: Grałeś w The Walking Dead od Telltale? 

[13.1.2021 | 1:5:10] [18seba03]: Nie, nie miałem okazji. Ale mam kolegę który grał i mi polecał 

[13.1.2021 | 1:5:37] [Deamovsky]: Bardzo fajna i wciągająca gierka 

[13.1.2021 | 1:5:49] [Deamovsky]: przeszedłem ją łącznie z 20 razy już XD 

[13.1.2021 | 1:6:8] [18seba03]: O no widzisz, dobrą grę można przejść wiele razy 

[13.1.2021 | 1:6:39] [18seba03]: Większość moich znajomych by się na mnie teraz wydarło bo jak można niby przechodzić tą same grę więcej niż jeden raz xd 

[13.1.2021 | 1:6:49] [Deamovsky]: The Walking Dead z dodatkiem 400 days mam na steamie a Season Two, Michonne i A New Frontier na stronie telltale 

[13.1.2021 | 1:7:5] [Deamovsky]: większość gier przeszedłem po kilka razy XD 

[13.1.2021 | 1:7:35] [18seba03]: No właśnie ja też, dla mnie to akurat jest nie zrozumiałe jak można porzucić grę po przejściu jej 1 raz 

[13.1.2021 | 1:7:44] [18seba03]: Toż tyle jeszcze zawsze rzeczy można odkryć 

[13.1.2021 | 1:7:52] [Deamovsky]: Dying Light też sporo razy przeszedłem 

[13.1.2021 | 1:8:35] [18seba03]: Dying Lighta przeszedłem z kolegi kąta 7 razy a potem kupiłem go 

[13.1.2021 | 1:9:13] [Deamovsky]: ja kupiłem jak było chyba 2-3 lata temu na promocji na steamie za 36zł 

[13.1.2021 | 1:9:37] [18seba03]: Kupiłem w Auchan gdy był jako gra tygodnia za 50 zł ze wszystkimi dodatkami 

[13.1.2021 | 1:10:0] [Deamovsky]: Dying Light: The Following Enchanced Edition 

[13.1.2021 | 1:10:9] [Deamovsky]: jakoś tak się ta edycja nazywa 

[13.1.2021 | 1:10:20] [18seba03]: Idk xd 

[13.1.2021 | 1:10:34] [18seba03]: I tak główna radocha z płyty z soundtrackami z gry 

[13.1.2021 | 1:10:50] [18seba03]: Bo nie można powiedzieć że dying Light ma zły soundtrack 

[13.1.2021 | 1:11:44] [Deamovsky]: ma spoko soundtrack 

[13.1.2021 | 1:13:7] [18seba03]: Muszę ograć w sumie L4D2 z tą nową aktualizacją bo jeszcze nie grałem 

[13.1.2021 | 1:13:41] [Deamovsky]: nową aktualizacją? 

[13.1.2021 | 1:14:1] [18seba03]: Była kiedyś tam większą aktualizacja dodająca nową mapę z fabułą itp 

[13.1.2021 | 1:14:25] [Deamovsky]: a to nie wiem 

[13.1.2021 | 1:16:25] [Deamovsky]: ja żeby zagrać to musiałem kupić na obecne konto steam bo do poprzedniego konta z L4D2 zapomniałem passów XD 

[13.1.2021 | 1:16:53] [Deamovsky]: ale w sumie to nawet lepiej bo nie muszę kont przełączać tylko mam na jednym większość gier 

[13.1.2021 | 1:17:35] [18seba03]: Num, ja na jednym koncie mam gry nie licząc HLL bo jak się okazało Steam obronił się przed zakupem ruskich kluczy xd 

[13.1.2021 | 1:18:13] [Deamovsky]: XD 

[13.1.2021 | 1:19:0] [18seba03]: Sad my life było w tamtym momencie xD 

[13.1.2021 | 1:19:20] [18seba03]: I taki what the fuck w głowie było xD 

[13.1.2021 | 1:19:36] [Deamovsky]: ja w L4D2 gram najwięcej w Let's Build a Rocket czy jakoś tak się to nazywało 

[13.1.2021 | 1:19:55] [18seba03]: Szczerze to nigdy nie grałem w tamte tryby xd 

[13.1.2021 | 16:50:32] [krasnal ogrodowy niko]: Smutno mi :+ 

[13.1.2021 | 17:18:32] [cheeto pizzerini]: mi też 

[13.1.2021 | 17:24:54] [krasnal ogrodowy niko]: Co tam u was 

[13.1.2021 | 17:25:0] [krasnal ogrodowy niko]: Ja dzisiaj zrobiłem deser nawet 

[13.1.2021 | 17:26:20] [cheeto pizzerini]: ja se czytam 

[13.1.2021 | 17:26:24] [cheeto pizzerini]: czilera 

[13.1.2021 | 17:26:33] [krasnal ogrodowy niko]: Co czytasz? 

[13.1.2021 | 17:27:14] [cheeto pizzerini]: palace of bardo 

[13.1.2021 | 17:27:27] [cheeto pizzerini]: ✌️ 

[13.1.2021 | 17:27:43] [cheeto pizzerini]: angst i gejowe 

[13.1.2021 | 18:4:41] [krasnal ogrodowy niko]: :O 

[13.1.2021 | 18:4:43] [krasnal ogrodowy niko]: Gejowej 

[13.1.2021 | 18:4:46] [krasnal ogrodowy niko]: MMMMMMMM 

[13.1.2021 | 18:5:32] [krasnal ogrodowy niko]: Ej czemu tu tak cicho 

[13.1.2021 | 18:7:4] [krasnal ogrodowy niko]: <@&795268997955584042> 

[13.1.2021 | 18:9:18] [krasnal ogrodowy niko]: Chodźcie 

[13.1.2021 | 18:9:27] [krasnal ogrodowy niko]: Może gracie w coś ciekawego czy cos 

[13.1.2021 | 18:9:32] [krasnal ogrodowy niko]: Albo jakiś film fajny 

[13.1.2021 | 18:9:37] [krasnal ogrodowy niko]: No cokolwiek :'( 

[13.1.2021 | 18:9:47] [18seba03]: tak 

[13.1.2021 | 18:10:37] [krasnal ogrodowy niko]: W co? 

[13.1.2021 | 18:12:50] [Deamovsky]: Witam Witam 

[13.1.2021 | 18:15:29] [krasnal ogrodowy niko]: Hejka 

[13.1.2021 | 18:15:35] [krasnal ogrodowy niko]: Co tam? 

[13.1.2021 | 18:15:48] [Deamovsky]: dobrze a u ciebie? 

[13.1.2021 | 18:16:21] [cheeto pizzerini]: nie. 

[13.1.2021 | 18:17:20] [krasnal ogrodowy niko]: Oj, czemu? Co się stało? 

[13.1.2021 | 18:17:34] [cheeto pizzerini]: anic 

[13.1.2021 | 18:17:39] [cheeto pizzerini]: tak se pisze głupoty 

[13.1.2021 | 18:17:42] [cheeto pizzerini]: ale 

[13.1.2021 | 18:17:46] [krasnal ogrodowy niko]: Mhm, ok 

[13.1.2021 | 18:17:48] [cheeto pizzerini]: ide do lekarza jutro 

[13.1.2021 | 18:17:54] [krasnal ogrodowy niko]: Oj czemu? 

[13.1.2021 | 18:17:57] [krasnal ogrodowy niko]: Jeśli mogę spytać oczywiście 

[13.1.2021 | 18:17:58] [cheeto pizzerini]: tego od kości 

[13.1.2021 | 18:18:4] [krasnal ogrodowy niko]: Ortopeda? 

[13.1.2021 | 18:18:8] [cheeto pizzerini]: tak 

[13.1.2021 | 18:18:14] [krasnal ogrodowy niko]: ~~spwcjalisfa od lekarzy check~~ 

[13.1.2021 | 18:18:15] [cheeto pizzerini]: bo mam dziwne kolana 

[13.1.2021 | 18:18:18] [cheeto pizzerini]: słabe 

[13.1.2021 | 18:18:19] [cheeto pizzerini]: takie 

