[10.1.2021 | 12:45:37][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/797793263544565790/Screenshot_20210110_124515_com.zhiliaoapp.musically.jpg] 
[19.1.2021 | 22:9:11] [cheeto pizzerini]: masz wyjasnienie 

[19.1.2021 | 22:9:17] [cheeto pizzerini]: czym jest podejscie 

[19.1.2021 | 22:9:23] [cheeto pizzerini]: bo chyba nie rozumiesz 

[19.1.2021 | 22:9:43] [cheeto pizzerini]: ignorancja to jest podejscie 

[19.1.2021 | 22:10:38] [_Zack_]: ignorancja «nieznajomość czegoś lub brak wiedzy z jakiejś dziedziny» 

[19.1.2021 | 22:10:40] [DoctorToxic]: Ale wy macie problemy 

[19.1.2021 | 22:10:45] [_Zack_]: Bum cyk nie masz racji 

[19.1.2021 | 22:10:47] [_Zack_]: Ja też nie 

[19.1.2021 | 22:11:0] [DoctorToxic]: Kiedy Dojdziecie do tego że człowiek jest sam z siebie oryginalny 

[19.1.2021 | 22:11:12] [_Zack_]: Za 109 lat 

[19.1.2021 | 22:11:22] [emm]: ;-; 

[19.1.2021 | 22:11:23] [DoctorToxic]: Oh my soul 

[19.1.2021 | 22:11:27] [DoctorToxic]: Are you stupid 

[19.1.2021 | 22:11:33] [cheeto pizzerini]: Ignorancja to niewiedza wynikająca z ignorowania (braku chęci, lenistwa) danej rzeczy. Po prostu osoba myśląca po swojemu i nie chcąca się dowiedzieć prawdy. To jest ignorant. 

[19.1.2021 | 22:11:33] [_Zack_]: No 

[19.1.2021 | 22:11:40] [cheeto pizzerini]: https://sjp.pl/ignorancja#:~:text=Ignorancja%20to%20niewiedza%20wynikaj%C4%85ca%20z,To%20jest%20ignorant. 

[19.1.2021 | 22:11:46] [cheeto pizzerini]: masz link zeby nie bylo 

[19.1.2021 | 22:11:53] [_Zack_]: A no To nie pasuje 

[19.1.2021 | 22:12:2] [_Zack_]: Bo ten wątek się zaczął bo chciałem się dowiedzieć 

[19.1.2021 | 22:12:4] [_Zack_]: Więc 

[19.1.2021 | 22:12:7] [DoctorToxic]: Japiełdołe 

[19.1.2021 | 22:12:8] [_Zack_]: Nie wyszło 

[19.1.2021 | 22:12:13] [cheeto pizzerini]: nie nie chciałeś 

[19.1.2021 | 22:12:17] [_Zack_]: Jak nie 

[19.1.2021 | 22:12:20] [_Zack_]: Zapytałem sie 

[19.1.2021 | 22:12:27] [cheeto pizzerini]: mówiłeś cytuję "jakiś niezdecydowany" 

[19.1.2021 | 22:12:32] [cheeto pizzerini]: a to jest przesmiewcze 

[19.1.2021 | 22:12:42] [_Zack_]: No mówiąc potocznie to tak jest 

[19.1.2021 | 22:12:47] [emm]: . I to 

[19.1.2021 | 22:12:55] [cheeto pizzerini]: oh wow 

[19.1.2021 | 22:13:2] [DoctorToxic]: Sam jesteś niezdecydowany 

[19.1.2021 | 22:13:5] [_Zack_]: A to był żarcik 

[19.1.2021 | 22:13:9] [cheeto pizzerini]: XD 

[19.1.2021 | 22:13:12] [emm]: Słaby ten żarcik 

[19.1.2021 | 22:13:14] [DoctorToxic]: Jeżeli nie wie kim jest to no nie wie lmao i tyle lol 

[19.1.2021 | 22:13:17] [_Zack_]: Mi się podobał 

[19.1.2021 | 22:13:25] [DoctorToxic]: Żartem jesteś ty 

[19.1.2021 | 22:13:30] [cheeto pizzerini]: dosc 

[19.1.2021 | 22:13:30] [emm]: Diablo staph 

[19.1.2021 | 22:13:30] [DoctorToxic]: Która stworzyła twoja rodzina 

[19.1.2021 | 22:13:35] [_Zack_]: A osoba która nie potrafi wybrać jest? BRAWO! 

[19.1.2021 | 22:13:35] [cheeto pizzerini]: diablo stop 

[19.1.2021 | 22:13:41] [DoctorToxic]: Ok 

[19.1.2021 | 22:13:43] [DoctorToxic]: XD 

[19.1.2021 | 22:13:46] [cheeto pizzerini]: jest kim? 

[19.1.2021 | 22:13:51] [cheeto pizzerini]: . 

[19.1.2021 | 22:14:0] [_Zack_]: Ej ej 

[19.1.2021 | 22:14:4] [_Zack_]: Obrazasz mnie 

[19.1.2021 | 22:14:7] [_Zack_]: Kłamiesz regulamin 

[19.1.2021 | 22:14:8] [_Zack_]: Warn 

[19.1.2021 | 22:14:26][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801197908295680090/unknown.png] 

[19.1.2021 | 22:14:27] [_Zack_]: Chyba ze tutaj lewica jest ponad regulaminem 

[19.1.2021 | 22:14:27] [Kishunia]: Halo Niko! Równouprawnienie! Skoro <@565167434340892682> dostał Warna, to <@692385463729651712> też powinien za JAWNE OBRAŻANIE 

[19.1.2021 | 22:14:30] [DoctorToxic]: Kto kogo obraża? 

[19.1.2021 | 22:14:35] [DoctorToxic]: Halo 

[19.1.2021 | 22:14:39] [DoctorToxic]: To on sie burzy 

[19.1.2021 | 22:14:40] [_Zack_]: Ale ja już dostałem 

[19.1.2021 | 22:14:41] [_Zack_]: A Ty nie 

[19.1.2021 | 22:14:41] [cheeto pizzerini]: wyslalam ss 

[19.1.2021 | 22:14:53][Kishunia]: <@692385463729651712> [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801198019164897320/Screenshot_20210119-221445.png] 

[19.1.2021 | 22:14:57] [_Zack_]: No i co ale już zdążył mnie urazic 

[19.1.2021 | 22:15:2] [_Zack_]: Zabolalo 

[19.1.2021 | 22:15:3] [DoctorToxic]: Dobra mogę dostać warna 

[19.1.2021 | 22:15:4] [_Zack_]: ;( 

[19.1.2021 | 22:15:9] [DoctorToxic]: Ale to i tak gówno da 

[19.1.2021 | 22:15:10] [DoctorToxic]: Lmao 

[19.1.2021 | 22:15:14] [Kishunia]: Tia 

[19.1.2021 | 22:15:20] [Kishunia]: Te warny chuja dają 

[19.1.2021 | 22:15:21] [DoctorToxic]: Nie powstrzyma mnie to 

[19.1.2021 | 22:15:27] [cheeto pizzerini]: powiedzielismy zeby przestal i przestal 

[19.1.2021 | 22:15:27] [DoctorToxic]: Nawet gdyby mi moda zabrali 

[19.1.2021 | 22:15:31] [Kishunia]: Ale niech myślą że faktycznie mają wpływ na innych 

[19.1.2021 | 22:15:38] [DoctorToxic]: ❤ 

[19.1.2021 | 22:15:41] [Kishunia]: Może CRP bardziej się zainteresuje adminofaszyzmem 

[19.1.2021 | 22:15:56] [cheeto pizzerini]: <@!355928318224236545> 

[19.1.2021 | 22:16:2] [cheeto pizzerini]: twoje ulubione pojęcie 

[19.1.2021 | 22:16:5] [cheeto pizzerini]: adminofaszyzm 

[19.1.2021 | 22:16:7] [DoctorToxic]: XD 

[19.1.2021 | 22:16:8] [DoctorToxic]: Oms 

[19.1.2021 | 22:16:8] [cheeto pizzerini]: XD 

[19.1.2021 | 22:16:36] [_Zack_]: Dobrze jako żelubie pochlaniac wiedzę 

[19.1.2021 | 22:17:1] [emm]: Mhm 

[19.1.2021 | 22:17:10] [_Zack_]: To niech mój niebinarny  kolego wyjaśni czym jest niebinarnosc 

[19.1.2021 | 22:17:25] [cheeto pizzerini]: kto tu jest niebinarny 

[19.1.2021 | 22:17:29] [emm]: XD 

[19.1.2021 | 22:17:30] [DoctorToxic]: Lmao 

[19.1.2021 | 22:17:32] [DoctorToxic]: XD 

[19.1.2021 | 22:17:33] [cheeto pizzerini]: XD 

[19.1.2021 | 22:17:59] [_Zack_]: Ty 

[19.1.2021 | 22:18:1][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801198811178467374/unknown.png] 

[19.1.2021 | 22:18:9] [cheeto pizzerini]: um?? ? ? ?? ? 

[19.1.2021 | 22:18:10] [_Zack_]: Aha 

[19.1.2021 | 22:18:16] [cheeto pizzerini]: coś ci sie pojebało 

[19.1.2021 | 22:18:17][emm]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801198876425060392/Screenshot_2021-01-19-22-18-00-989_com.android.chrome.jpg] 

[19.1.2021 | 22:18:18] [cheeto pizzerini]: chyba 

[19.1.2021 | 22:18:20] [emm]: Masz 

[19.1.2021 | 22:18:20] [_Zack_]: No to tak wyglądało z rozmowy z Tobą 

[19.1.2021 | 22:18:22] [DoctorToxic]: Tak się dzieje gdy się nie czyta lol 

[19.1.2021 | 22:18:28] [emm]: Wystarczy wpisać w Wikipedię lol 

[19.1.2021 | 22:18:34] [_Zack_]: Osoby niebinarne mogą identyfikować się jako osoby o dwóch lub więcej tożsamości 

[19.1.2021 | 22:18:38] [cheeto pizzerini]: to chyba nie czytasz ze zrozumieniem 

[19.1.2021 | 22:18:45] [DoctorToxic]: XD 

[19.1.2021 | 22:18:50] [emm]: XD 

[19.1.2021 | 22:19:1] [cheeto pizzerini]: ym nie 

[19.1.2021 | 22:19:8] [cheeto pizzerini]: własnie dostales definicję 

[19.1.2021 | 22:19:10][_Zack_]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801199098241351680/Screenshot_20210119-221748_Discord.jpg] 

[19.1.2021 | 22:19:10] [cheeto pizzerini]: od Karola 

[19.1.2021 | 22:19:15] [DoctorToxic]: *dancing in stupidity* 

[19.1.2021 | 22:19:37] [cheeto pizzerini]: niezdecydowany 

[19.1.2021 | 22:19:37][_Zack_]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801199148824657940/Screenshot_20210119-221748_Discord.jpg] 

[19.1.2021 | 22:19:37] [cheeto pizzerini]: =odkasuj 

[19.1.2021 | 22:19:37] [_Zack_]: O masz tam 

[19.1.2021 | 22:19:50] [_Zack_]: Z tego neizdecydowany 

[19.1.2021 | 22:19:50] [cheeto pizzerini]: to byla odpowiedz do tego że osoby demigender sa niezdecydowane 

[19.1.2021 | 22:19:56] [cheeto pizzerini]: a potem powiedziałam to: 

[19.1.2021 | 22:20:13] [_Zack_]: Ale demigender to są niby niezdexydiwani ale jednak nie 

[19.1.2021 | 22:20:20][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801199393511309312/unknown.png] 

[19.1.2021 | 22:20:28] [cheeto pizzerini]: czesciowo 

[19.1.2021 | 22:20:35] [_Zack_]: No właśnie 

[19.1.2021 | 22:20:38] [cheeto pizzerini]: nie jakieś "jednak nie' 

[19.1.2021 | 22:20:38] [_Zack_]: Śmiech na salu 

[19.1.2021 | 22:20:54] [cheeto pizzerini]: wiec nigdy nie powiedzialam ze jestem ani demi ani nonbinary 

[19.1.2021 | 22:20:59] [_Zack_]: Usuń to ktoś 

[19.1.2021 | 22:21:5] [cheeto pizzerini]: wiec z dupy to wyciagnales 

[19.1.2021 | 22:21:6] [cheeto pizzerini]: a po co 

[19.1.2021 | 22:21:20] [_Zack_]: No tak się na mnie rzuciles 

[19.1.2021 | 22:21:23] [_Zack_]: As 

[19.1.2021 | 22:21:29] [_Zack_]: Potem jeszcze z tymi końcówkami 

[19.1.2021 | 22:21:39] [_Zack_]: Że jakoś się wprowadziłem w bald 

[19.1.2021 | 22:21:44] [cheeto pizzerini]: z koncokami to ty je wciagnales nie ja 

[19.1.2021 | 22:22:1] [_Zack_]: Jezu ja się nie bawię w kto zaczął 

[19.1.2021 | 22:22:12] [_Zack_]: Tylko mówię o tym co mowilas 

[19.1.2021 | 22:22:18] [cheeto pizzerini]: to nie mów że ja cie wprowadziłam w błąd 

[19.1.2021 | 22:22:26] [_Zack_]: Odpowiedziałaś mi na temat z końcówkami 

[19.1.2021 | 22:22:26] [cheeto pizzerini]: skoro ty sam się wprowadziłeś w bląd 

[19.1.2021 | 22:22:27] [cheeto pizzerini]: XD 

[19.1.2021 | 22:22:41] [_Zack_]: Wprowadziłaś mnie swoimi odpowiedziami 

[19.1.2021 | 22:23:2] [_Zack_]: A teraz czekam na odpowiedź 

[19.1.2021 | 22:23:7] [_Zack_]: Na jakże nurtujące 

[19.1.2021 | 22:23:10] [_Zack_]: Mnie pyta nie 

[19.1.2021 | 22:23:15] [cheeto pizzerini]: mhm 

[19.1.2021 | 22:23:18] [cheeto pizzerini]: jakie 

[19.1.2021 | 22:23:21] [cheeto pizzerini]: pytanie 

[19.1.2021 | 22:23:26] [_Zack_]: No już się pytałem 

[19.1.2021 | 22:23:36] [cheeto pizzerini]: ? 

[19.1.2021 | 22:23:39] [_Zack_]: Kim jest w takim razie ckzowek niebinarny 

[19.1.2021 | 22:23:46] [_Zack_]: Osoby niebinarne mogą identyfikować się jako osoby o dwóch lub więcej tożsamości 

[19.1.2021 | 22:23:49] [cheeto pizzerini]: . 

[19.1.2021 | 22:23:52] [_Zack_]: Bo definicja mówi tak 

[19.1.2021 | 22:24:3][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801200328648163388/Screenshot_2021-01-19-22-18-00-989_com.png] 

[19.1.2021 | 22:24:7] [cheeto pizzerini]: nawet ci wysle jeszcze 

[19.1.2021 | 22:24:10] [_Zack_]: Chuja to mówi 

[19.1.2021 | 22:24:13] [cheeto pizzerini]: bo czyba niezauwazyles 

[19.1.2021 | 22:24:19] [_Zack_]: Zauważyłem 

[19.1.2021 | 22:24:20] [cheeto pizzerini]: no to nie mój problem 

[19.1.2021 | 22:24:25] [Kishunia]: To się nazywa rozdwojenie Janlźni 

[19.1.2021 | 22:24:28] [_Zack_]: No czyli miałem rację 

[19.1.2021 | 22:24:35] [_Zack_]: XD 

[19.1.2021 | 22:24:36] [Kishunia]: Czyli choroba na podłożu psychicznym 

[19.1.2021 | 22:24:43] [emm]: ? 

[19.1.2021 | 22:24:49] [_Zack_]: Dzięki za oświecenie 

[19.1.2021 | 22:24:53] [cheeto pizzerini]: rozdwojenie jazni polega na czyms innym akurat 

[19.1.2021 | 22:24:55] [Kishunia]: Nie ma za co 

[19.1.2021 | 22:25:25] [🅼🅸🅺]: O czym wy gadacie 

[19.1.2021 | 22:25:25] [_Zack_]: Top 10 powodów czemu lewica nigdy nie wygra wyborów 

[19.1.2021 | 22:25:32] [Kishunia]: O wszystkim 

[19.1.2021 | 22:25:41] [🅼🅸🅺]: Ale w tej chwili 

[19.1.2021 | 22:25:43] [cheeto pizzerini]: jebać lewaki 

[19.1.2021 | 22:25:51] [cheeto pizzerini]: lewaków? 

[19.1.2021 | 22:25:53] [cheeto pizzerini]: lewiców 

[19.1.2021 | 22:25:57] [_Zack_]: Jesteśmy faszystami i obrażam biedne uciśnione mniejszości 

[19.1.2021 | 22:26:24] [_Zack_]: Ale jestem zły łaaa 

[19.1.2021 | 22:26:26] [Kishunia]: Tylko skrajny konserwatyzm <@565167434340892682> 

[19.1.2021 | 22:26:31] [Kishunia]: Change my mind 

[19.1.2021 | 22:26:46] [cheeto pizzerini]: szczerze juz nikogo to nie obchodzi 

[19.1.2021 | 22:26:50] [_Zack_]: Wojna za 3...2....1... 

[19.1.2021 | 22:26:51] [cheeto pizzerini]: tylko ja cos piszę XD 

[19.1.2021 | 22:26:59] [cheeto pizzerini]: boom 

[19.1.2021 | 22:27:5] [cheeto pizzerini]: eksplozje 

[19.1.2021 | 22:27:5] [_Zack_]: Łe 

[19.1.2021 | 22:27:7] [cheeto pizzerini]: krewww 

[19.1.2021 | 22:27:10] [cheeto pizzerini]: flakiii 

[19.1.2021 | 22:27:10] [_Zack_]: Karol odpuścił 

[19.1.2021 | 22:27:13] [cheeto pizzerini]: aaaaaaaaaaaaaaaaaaaaaaaaa 

[19.1.2021 | 22:27:16] [emm]: Ja se czytam 

[19.1.2021 | 22:27:20] [_Zack_]: Myslalem że będzie 

[19.1.2021 | 22:27:26] [_Zack_]: Coś na rzeczy 

[19.1.2021 | 22:27:26] [Kishunia]: Po prostu skończyły im się dalsze argumenty <@565167434340892682> 

[19.1.2021 | 22:27:29] [Kishunia]: To nie ich wina 

[19.1.2021 | 22:27:31] [_Zack_]: Zapewnw 

[19.1.2021 | 22:27:36] [emm]: XDDD 

[19.1.2021 | 22:27:44] [cheeto pizzerini]: no zdecydowanie tak XD 

[19.1.2021 | 22:27:50] [_Zack_]: . 

[19.1.2021 | 22:27:56] [cheeto pizzerini]: tak dokładnie było 

[19.1.2021 | 22:27:57] [Kishunia]: Tak 

[19.1.2021 | 22:28:5] [emm]: Jebać lewaki biedaki hoptfu 

[19.1.2021 | 22:28:9] [cheeto pizzerini]: jebać 

[19.1.2021 | 22:28:14] [krasnal ogrodowy niko]: Istnieją ataki astmy które są ważniejsze niż kłócenie się z ludźmi, którzy nie dopuszczają do siebie dosłownie niczego 

[19.1.2021 | 22:28:16] [cheeto pizzerini]: jebane pedały gupie 

[19.1.2021 | 22:28:18] [🅼🅸🅺]: ;-; 

[19.1.2021 | 22:28:18] [_Zack_]: Więc nawet potrafią się przyznać do błędu 

[19.1.2021 | 22:28:20] [cheeto pizzerini]: niko nie 

[19.1.2021 | 22:28:29] [cheeto pizzerini]: błędu gdzie 

[19.1.2021 | 22:28:33] [_Zack_]: Mam raka 

[19.1.2021 | 22:28:37] [cheeto pizzerini]: ja też\ 

[19.1.2021 | 22:28:43] [cheeto pizzerini]: raka prostaty 

[19.1.2021 | 22:28:47] [cheeto pizzerini]: i piersi 

[19.1.2021 | 22:28:47] [🅼🅸🅺]: A ja wykres 

[19.1.2021 | 22:28:53] [Kishunia]: <@565167434340892682> LGBT mówi "jebać Lewicę" XDDDDDD 

[19.1.2021 | 22:28:58] [_Zack_]: Ooobojniak 

[19.1.2021 | 22:29:8] [cheeto pizzerini]: ale obojniak nie mialby nic 

[19.1.2021 | 22:29:11] [cheeto pizzerini]: a ja mam wszystko 

[19.1.2021 | 22:29:16] [_Zack_]: Jacyś tacy niezdecydowani 

[19.1.2021 | 22:29:20] [emm]: Czegoś nie zrozumiałaś ale k niech ci będzie 

[19.1.2021 | 22:29:26] [cheeto pizzerini]: boohoo 

[19.1.2021 | 22:29:34] [cheeto pizzerini]: ach te złe lewaki 

[19.1.2021 | 22:29:41] [cheeto pizzerini]: mówią jedno robią drugie 

[19.1.2021 | 22:29:55] [_Zack_]: Podsumowanie działań lewicy 

[19.1.2021 | 22:30:2] [cheeto pizzerini]: 😭 🥺 😖 😥 😫 

[19.1.2021 | 22:30:7] [cheeto pizzerini]: ^lewaki 

[19.1.2021 | 22:30:11] [cheeto pizzerini]: tak wygladają 

[19.1.2021 | 22:30:14] [cheeto pizzerini]: własnie 

[19.1.2021 | 22:33:4] [_Zack_]: Urocze 

[19.1.2021 | 22:33:16] [cheeto pizzerini]: bardzo 

[19.1.2021 | 22:33:19] [cheeto pizzerini]: takie beksy 

[19.1.2021 | 22:33:20] [cheeto pizzerini]: małe 

[19.1.2021 | 22:33:23] [_Zack_]: No 

[19.1.2021 | 22:33:24] [cheeto pizzerini]: co wyją tylko 

[19.1.2021 | 22:33:27] [cheeto pizzerini]: i nic nie robią 

[19.1.2021 | 22:33:32] [cheeto pizzerini]: bobasy śmierdzące 

[19.1.2021 | 22:33:35] [cheeto pizzerini]: głupie 

[19.1.2021 | 22:33:37] [cheeto pizzerini]: nieuki 

[19.1.2021 | 22:33:41] [_Zack_]: Podsumowanie działań Lewicy cz 2 

[19.1.2021 | 22:33:42] [emm]: Tak 

[19.1.2021 | 22:33:48] [emm]: No dokładnie cn 

[19.1.2021 | 22:33:49] [cheeto pizzerini]: pewnie jedzą kurwa piasek 

[19.1.2021 | 22:33:54] [cheeto pizzerini]: i nie umieją pływać 

[19.1.2021 | 22:33:58] [cheeto pizzerini]: jebana lewica 

[19.1.2021 | 22:34:2] [_Zack_]: Nie ni jedzą sałatę 

[19.1.2021 | 22:34:4] [cheeto pizzerini]: noszą te zjebane maski 

[19.1.2021 | 22:34:6] [_Zack_]: Bo trzeba być wege 

[19.1.2021 | 22:34:13] [cheeto pizzerini]: a no tak 

[19.1.2021 | 22:34:18] [cheeto pizzerini]: kurwa nie do wytrzymania 

[19.1.2021 | 22:34:24] [_Zack_]: Nom 

[19.1.2021 | 22:35:1] [cheeto pizzerini]: jakbym mogla to bym tych lewaków wszystkich do piekła wysłała 

[19.1.2021 | 22:35:4] [cheeto pizzerini]: pocztą 

[19.1.2021 | 22:35:6] [cheeto pizzerini]: kurwa 

[19.1.2021 | 22:35:12] [emm]: No mnie nerwica bierze jak pani w żabce powiedziała mi ,,ubierz maskę" co za lewaczka 

[19.1.2021 | 22:35:18] [emm]: Nikt mi rozkazywać nie bdz 

[19.1.2021 | 22:35:19] [cheeto pizzerini]: jebana 

[19.1.2021 | 22:35:27] [_Zack_]: Ej ale teraz obrażasz czyjeś przekonania polityczne 

[19.1.2021 | 22:35:28] [cheeto pizzerini]: nie dziwie sie że pracuje w zabce 

[19.1.2021 | 22:35:29] [_Zack_]: Warn 

[19.1.2021 | 22:35:35] [cheeto pizzerini]: jak to 

[19.1.2021 | 22:35:42] [cheeto pizzerini]: ja nikogo nie obrazam 

[19.1.2021 | 22:35:45] [_Zack_]: Jak to 

[19.1.2021 | 22:35:55] [cheeto pizzerini]: tu nie ma lewaków robaków 

[19.1.2021 | 22:35:59] [_Zack_]: Czyli ja też nikogo nie obraziłem 

[19.1.2021 | 22:36:1] [cheeto pizzerini]: przecież żadnych 

[19.1.2021 | 22:36:5] [emm]: Ludzi z poglądami lewicowymi można cn 

[19.1.2021 | 22:36:9] [cheeto pizzerini]: tak 

[19.1.2021 | 22:36:11] [_Zack_]: To proszę mi Warna cofnąć 

[19.1.2021 | 22:36:15] [cheeto pizzerini]: nie da sie 

[19.1.2021 | 22:36:18] [cheeto pizzerini]: nie umiemy 

[19.1.2021 | 22:36:22] [emm]: Niestety 

[19.1.2021 | 22:36:25] [_Zack_]: 🙃 

[19.1.2021 | 22:36:26] [cheeto pizzerini]: stało sie 

[19.1.2021 | 22:36:31] [cheeto pizzerini]: to sie nieodstanie 

[19.1.2021 | 22:36:36] [cheeto pizzerini]: 💔 

[19.1.2021 | 22:36:37] [_Zack_]: No cóż 

[19.1.2021 | 22:36:38] [_Zack_]: Życie 

[19.1.2021 | 22:37:28] [_Zack_]: Ale Karol i diablo jest 

[19.1.2021 | 22:37:36] [_Zack_]: Ich mogłaś obrazić 

[19.1.2021 | 22:37:38] [_Zack_]: Jak mogłaś 

[19.1.2021 | 22:37:42] [_Zack_]: Jesteś okrutna 

[19.1.2021 | 22:37:46] [_Zack_]: Chlip chlip 

[19.1.2021 | 22:38:23] [cheeto pizzerini]: nie są 

[19.1.2021 | 22:38:32] [_Zack_]: Co za zwyrole w tej bolzdze 

[19.1.2021 | 22:38:35] [cheeto pizzerini]: kto takich kłamstw ci naopowiadał 

[20.1.2021 | 9:39:16] [🅼🅸🅺]: Nom 

[20.1.2021 | 9:43:13] [krasnal ogrodowy niko]: Ta kishunia jest porąbana 

[20.1.2021 | 9:43:44] [🅼🅸🅺]: Co znowu odwaliła 

[20.1.2021 | 9:43:56] [krasnal ogrodowy niko]: Nic 

[20.1.2021 | 9:44:4] [krasnal ogrodowy niko]: Ale tą sytuację podsumowuje 

[20.1.2021 | 9:44:15] [🅼🅸🅺]: Aa 

[20.1.2021 | 11:30:35] [18seba03]: a mówi by nie obrażać ludzi 

[20.1.2021 | 11:30:40] [18seba03]: <:SipTea:798193947553562684> 

[20.1.2021 | 15:44:39] [Deamovsky]: No ja akurat tak nie uważam ale okej xD 

[20.1.2021 | 15:54:10] [cheeto pizzerini]: widac 

[20.1.2021 | 15:55:19] [cheeto pizzerini]: zakaz jest obrazania innych członków serwera a skoro ich tu już nie ma to nie łamiemy żadnej reguły tho 

