[7.1.2021 | 17:49:44] [COVER]: 6946 
[15.1.2021 | 23:11:34] [Sverige AKA Damian.]: FAUL!!! 

[15.1.2021 | 23:11:54] [Sverige AKA Damian.]: Halo to jest faul 

[15.1.2021 | 23:12:4] [💜-Agatka007-💜]: XDDD 

[15.1.2021 | 23:12:10] [Sverige AKA Damian.]: xD 

[15.1.2021 | 23:12:24] [Sverige AKA Damian.]: Ej agatka idz i se sprawdz <#756547693945290762> 

[15.1.2021 | 23:13:10] [Sverige AKA Damian.]: Uuuuu 

[15.1.2021 | 23:13:13] [Sverige AKA Damian.]: Ładnie 

[15.1.2021 | 23:13:18] [Oliwia123🎁🎀]: te te 

[15.1.2021 | 23:13:21] [Sverige AKA Damian.]: xD 

[15.1.2021 | 23:13:23] [Oliwia123🎁🎀]: nie pozwalaj sobie na za wiele 

[15.1.2021 | 23:13:29] [Sverige AKA Damian.]: Już 

[15.1.2021 | 23:13:30] [Sverige AKA Damian.]: Już 

[15.1.2021 | 23:13:32] [Oliwia123🎁🎀]: dobrze 

[15.1.2021 | 23:13:40] [Sverige AKA Damian.]: :× 

[15.1.2021 | 23:13:46] [Oliwia123🎁🎀]: 😗 

[15.1.2021 | 23:13:52] [💜-Agatka007-💜]: XD 

[15.1.2021 | 23:14:4] [Sverige AKA Damian.]: /pies 

[15.1.2021 | 23:14:39] [💜-Agatka007-💜]: Ale sweet 

[15.1.2021 | 23:15:4] [💜-Agatka007-💜]: Ale spam Xd 

[15.1.2021 | 23:15:8] [Oliwia123🎁🎀]: to nie spam 

[15.1.2021 | 23:15:9] [Oliwia123🎁🎀]: cichooo 

[15.1.2021 | 23:15:12] [Oliwia123🎁🎀]: piesków suzkam 

[15.1.2021 | 23:15:17] [💜-Agatka007-💜]: XD 

[15.1.2021 | 23:15:32] [Sverige AKA Damian.]: xD 

[15.1.2021 | 23:15:40] [Oliwia123🎁🎀]: tak 

[15.1.2021 | 23:15:41] [Oliwia123🎁🎀]: działa 

[15.1.2021 | 23:15:50] [Oliwia123🎁🎀]: <#769993114021658644> 

[15.1.2021 | 23:15:57] [Sverige AKA Damian.]: <@714205832501526528>  sprawdz se to 

[15.1.2021 | 23:16:39] [💜-Agatka007-💜]: XDDDD 

[15.1.2021 | 23:17:19] [Oliwia123🎁🎀]: ale kotek 

[15.1.2021 | 23:17:19] [Oliwia123🎁🎀]: ustawie go 

[15.1.2021 | 23:17:23] [Sverige AKA Damian.]: NIEEEEEE!!!!!!! DLACZEGO 

[15.1.2021 | 23:17:44] [Sverige AKA Damian.]: NIE dlaczego!!!! 

[15.1.2021 | 23:17:45] [Oliwia123🎁🎀]: ładnie mi? 

[15.1.2021 | 23:17:50] [Sverige AKA Damian.]: Tak 

[15.1.2021 | 23:17:55] [Sverige AKA Damian.]: xD 

[15.1.2021 | 23:17:59] [💜-Agatka007-💜]: Nom 

[15.1.2021 | 23:18:1] [💜-Agatka007-💜]: XD 

[15.1.2021 | 23:18:12] [💜-Agatka007-💜]: Nwm XD 

[15.1.2021 | 23:18:34] [💜-Agatka007-💜]: XDDDD 

[15.1.2021 | 23:18:46] [NoOne]: Tak <a:3022_mochi_cat_boba:751799831860871229> 

[15.1.2021 | 23:19:23] [Oliwia123🎁🎀]: o kurde 

[15.1.2021 | 23:19:25] [Oliwia123🎁🎀]: to mnie hackuje? 

[15.1.2021 | 23:19:29] [Sverige AKA Damian.]: Ej idzcie sprawdzić <#769993114021658644> 

[15.1.2021 | 23:20:8] [Oliwia123🎁🎀]: A to jakieś losowe 

[15.1.2021 | 23:20:10] [Oliwia123🎁🎀]: xd 

[15.1.2021 | 23:20:34] [Sverige AKA Damian.]: Nie wiem 

[15.1.2021 | 23:20:44] [! Pajekrej]: A co? 

[15.1.2021 | 23:20:46] [Sverige AKA Damian.]: Sprawdziliscie <#769993114021658644> 

[15.1.2021 | 23:20:48] [! Pajekrej]: /reps <@670960359493992468> 

[15.1.2021 | 23:21:1] [Cichy]: Jeszcze nie zaprogramowałem takiej komendy. 

[15.1.2021 | 23:21:7] [! Pajekrej]: Hmmm 

[15.1.2021 | 23:21:16] [! Pajekrej]: <a:Microphone:779118929037099049> 

[15.1.2021 | 23:21:24] [Oliwia123🎁🎀]: 🐝 

[15.1.2021 | 23:21:29] [Oliwia123🎁🎀]: pszczola 

[15.1.2021 | 23:21:39] [Asasin22]: .collect-income 

[15.1.2021 | 23:21:46] [Asasin22]: .dep all 

[15.1.2021 | 23:21:52] [Asasin22]: .bal 

[15.1.2021 | 23:21:59] [Asasin22]: .work 

[15.1.2021 | 23:22:1] [Asasin22]: .crime 

[15.1.2021 | 23:22:3] [Asasin22]: .slut 

[15.1.2021 | 23:22:7] [Asasin22]: .dep all 

[15.1.2021 | 23:23:2] [Oliwia123🎁🎀]: super ten bot <@!749016976793272360> 

[15.1.2021 | 23:25:38] [Oliwia123🎁🎀]: a gdzie zdjecie 

[15.1.2021 | 23:25:41] [Oliwia123🎁🎀]: zjadlo 

[15.1.2021 | 23:26:12] [Oliwia123🎁🎀]: /dodaj 

[15.1.2021 | 23:26:16] [Oliwia123🎁🎀]: :C 

[15.1.2021 | 23:26:30] [Sverige AKA Damian.]: Nieeeeww 

[15.1.2021 | 23:26:32] [Sverige AKA Damian.]: Nieeww 

[15.1.2021 | 23:26:34] [Sverige AKA Damian.]: Nie 

[15.1.2021 | 23:26:34] [Oliwia123🎁🎀]: co? 

[15.1.2021 | 23:26:34] [Sverige AKA Damian.]: Nie 

[15.1.2021 | 23:26:38] [Sverige AKA Damian.]: Nieeeee 

[15.1.2021 | 23:26:49] [Cichy]: Nie flooduj. 

[15.1.2021 | 23:26:55] [Sverige AKA Damian.]: Wiwm 

[15.1.2021 | 23:26:57] [Sverige AKA Damian.]: Wiem 

[15.1.2021 | 23:27:0] [Oliwia123🎁🎀]: xd 

[15.1.2021 | 23:27:3] [Oliwia123🎁🎀]: cichy wszystko widzi 

[15.1.2021 | 23:27:4] [Sverige AKA Damian.]: Ale eeeee 

[15.1.2021 | 23:27:6] [Oliwia123🎁🎀]: no wlasnie uwazaj 

[15.1.2021 | 23:27:14] [Sverige AKA Damian.]: ... 

[15.1.2021 | 23:27:17] [Oliwia123🎁🎀]: ... 

[15.1.2021 | 23:27:18] [Oliwia123🎁🎀]: ? 

[15.1.2021 | 23:27:19] [Oliwia123🎁🎀]: ? 

[15.1.2021 | 23:27:24] [Sverige AKA Damian.]: :× 

[15.1.2021 | 23:27:35] [Sverige AKA Damian.]: Nieeeeeeeeeeeeee 

[15.1.2021 | 23:27:38] [Sverige AKA Damian.]: Why 

[15.1.2021 | 23:27:58] [Sverige AKA Damian.]: Wärfår 

[15.1.2021 | 23:28:18] [Oliwia123🎁🎀]: xd 

[15.1.2021 | 23:28:26] [Oliwia123🎁🎀]: poszczescilo ci sie 

[15.1.2021 | 23:28:28] [Sverige AKA Damian.]: Ser däaczeho nie dziala 

[15.1.2021 | 23:28:45] [Sverige AKA Damian.]: Dlaczego nie działa warn 

[15.1.2021 | 23:28:51] [Sverige AKA Damian.]: Cichy 

[15.1.2021 | 23:28:55] [Cichy]: Sprawdzam. 

[15.1.2021 | 23:29:5] [Sverige AKA Damian.]: Ja rozumiem że zawiniłem ale dlaczego nie działa 

[15.1.2021 | 23:29:39] [Sverige AKA Damian.]: Aha 

[15.1.2021 | 23:30:17] [Sverige AKA Damian.]: /punch <@793624440650596352> 

[15.1.2021 | 23:30:41] [NoOne]: Na dziewczynę rękę podnieść? 

[15.1.2021 | 23:30:46] [Sverige AKA Damian.]: Nie 

[15.1.2021 | 23:30:51] [NoOne]: Straciłeś mój szacunek 

[15.1.2021 | 23:30:54] [Sverige AKA Damian.]: Sprawdzałem czy działa 

[15.1.2021 | 23:31:4] [Sverige AKA Damian.]: ... 

[15.1.2021 | 23:31:4] [NoOne]: Nawet jeśli 

[15.1.2021 | 23:31:12] [Sverige AKA Damian.]: 44 serwery? 

[15.1.2021 | 23:31:15] [Sverige AKA Damian.]: Dużo 

[15.1.2021 | 23:31:42] [Sverige AKA Damian.]: Napewno jest na moim 

[15.1.2021 | 23:31:50] [Sverige AKA Damian.]: A na czyim jeszcze 

[15.1.2021 | 23:33:25] [Sverige AKA Damian.]: Słave 

[15.1.2021 | 23:33:42] [FiczetoX]: /define Test 

[15.1.2021 | 23:34:3] [FiczetoX]: <@632672411141013530>, co się stało z define? 

[15.1.2021 | 23:34:15] [Cichy]: Niektóre polecenia poprawiam. 

[15.1.2021 | 23:34:23] [Sverige AKA Damian.]: Oj 

[15.1.2021 | 23:34:31] [Cichy]: W tym /Define. 

[15.1.2021 | 23:34:40] [Cichy]: Miała problem z czytaniem kodu. 

[15.1.2021 | 23:34:41] [Sverige AKA Damian.]: A co to robi 

[15.1.2021 | 23:34:54] [Sverige AKA Damian.]: To /Define 

[15.1.2021 | 23:35:13] [Cichy]: \<a:Check:788816525104381952> 

[15.1.2021 | 23:35:15] [Cichy]: <a:Check:788816525104381952> 

[15.1.2021 | 23:35:22] [Sverige AKA Damian.]: Eee 

[15.1.2021 | 23:35:46] [Cichy]: \<:Wiadomosc:790677242907983912> 

[15.1.2021 | 23:35:47] [Cichy]: <:Wiadomosc:790677242907983912> 

[15.1.2021 | 23:35:52] [Sverige AKA Damian.]: Smacznego 

[15.1.2021 | 23:36:6] [FiczetoX]: A da się to jakoś naprawić? 

[15.1.2021 | 23:36:14] [Cichy]: Tak, da się. 

[15.1.2021 | 23:36:17] [Cichy]: Zaraz wam naprawię. 

[15.1.2021 | 23:37:27] [Cichy]: \<a:Uzytkownicze:787792321885241414> 

[15.1.2021 | 23:37:28] [Cichy]: <a:Uzytkownicze:787792321885241414> 

[15.1.2021 | 23:46:8] [Sverige AKA Damian.]: Ufff 

[15.1.2021 | 23:55:42] [💜-Agatka007-💜]: XD 

[15.1.2021 | 23:56:34] [Invejosa]: To nie prawda 

[15.1.2021 | 23:56:51] [Invejosa]: Cichy, napraw bota 

[15.1.2021 | 23:56:59] [Invejosa]: Zły wynik pokazuje 

[16.1.2021 | 0:2:56] [💜-Agatka007-💜]: XDDDDDD 

[16.1.2021 | 0:3:0] [💜-Agatka007-💜]: Niee XD 

[16.1.2021 | 0:4:18] [NoOne]: Nie flooduj i nie używaj tyle capslocka 

[16.1.2021 | 0:4:38] [💜-Agatka007-💜]: Sorrka 

[16.1.2021 | 0:7:7] [FiczetoX]: <@632672411141013530>, nie chcę pośpieszać, ale co z tym define? 

[16.1.2021 | 0:7:28] [Cichy]: Trochę za późno się zgłosiłeś. 

[16.1.2021 | 0:7:34] [Cichy]: Jutro dokończę. 

[16.1.2021 | 0:7:37] [FiczetoX]: Ok 

[16.1.2021 | 0:13:28] [Invejosa]: A jutro będzie: "za 2 lata" 🥲 

[16.1.2021 | 0:15:42] [Cichy]: Nie mam tyle czasu, ile Wy macie. Powinnaś cierpliwie czekać. 

[16.1.2021 | 15:39:54] [sirvel_wolf]: .bal 

[16.1.2021 | 15:40:11] [sirvel_wolf]: .with 200 

[16.1.2021 | 15:40:27] [sirvel_wolf]: .roulette 200 red 

[16.1.2021 | 15:40:40] [sirvel_wolf]: .dep all 

[16.1.2021 | 15:40:45] [Cichy]: Kilka poleceń jeszcze zostanie włączonę. 

[16.1.2021 | 15:40:51] [sirvel_wolf]: Ok 

[16.1.2021 | 15:41:0] [Cichy]: Chciałem najpierw, byście sie wzbogacili trochę. 

[16.1.2021 | 15:41:26] [sirvel_wolf]: Luz 

[16.1.2021 | 16:18:31] [Adan]: .bal 

[16.1.2021 | 16:18:33] [Adan]: o 

[16.1.2021 | 16:18:35] [Adan]: jeszcze mam 

[16.1.2021 | 16:18:37] [Adan]: pog 

[16.1.2021 | 16:18:46] [Adan]: .shop 2 

[16.1.2021 | 16:18:57] [Adan]: .with 4000 

[16.1.2021 | 16:19:6] [Adan]: .buy mvip 

[16.1.2021 | 16:19:11] [Adan]: .use mvip 

[16.1.2021 | 16:19:23] [Adan]: .shop 1 

[16.1.2021 | 16:19:31] [Adan]: .with 3500 

[16.1.2021 | 16:19:35] [Adan]: .buy vip 

[16.1.2021 | 16:19:37] [Adan]: .buy svip 

[16.1.2021 | 16:19:40] [Adan]: .use vip 

[16.1.2021 | 16:19:44] [Adan]: .use svip 

[16.1.2021 | 16:19:46] [Adan]: .bal 

[16.1.2021 | 16:19:47] [Adan]: .dep all 

[16.1.2021 | 16:32:55] [sirvel_wolf]: .with 2500 

[16.1.2021 | 16:33:4] [sirvel_wolf]: .buy vip 

[16.1.2021 | 16:33:14] [sirvel_wolf]: .buy svip 

[16.1.2021 | 16:33:26] [sirvel_wolf]: .shop 

[16.1.2021 | 16:33:39] [sirvel_wolf]: .with 1000 

[16.1.2021 | 16:33:46] [sirvel_wolf]: .buy svip 

[16.1.2021 | 16:33:55] [sirvel_wolf]: .use svip 

[16.1.2021 | 16:34:3] [sirvel_wolf]: .use vip 

[16.1.2021 | 16:34:15] [Oliwia123🎁🎀]: .collect-income 

[16.1.2021 | 16:34:19] [Oliwia123🎁🎀]: .money 

[16.1.2021 | 16:34:24] [Oliwia123🎁🎀]: .buy svip 

[16.1.2021 | 16:34:32] [Oliwia123🎁🎀]: .with all 

[16.1.2021 | 16:34:37] [Oliwia123🎁🎀]: .buy svip 

[16.1.2021 | 16:34:43] [Oliwia123🎁🎀]: .use svip 

[16.1.2021 | 16:34:47] [Oliwia123🎁🎀]: .money 

[16.1.2021 | 16:34:50] [Oliwia123🎁🎀]: .collect-income 

[16.1.2021 | 16:34:52] [Oliwia123🎁🎀]: .dep all 

[16.1.2021 | 16:34:56] [Oliwia123🎁🎀]: 😄 

[16.1.2021 | 16:38:16] [sirvel_wolf]: .collect-income 

[16.1.2021 | 16:38:22] [sirvel_wolf]: .dep all 

[16.1.2021 | 16:53:22] [Cichy]: .add-money <@!793624440650596352> 500 

[16.1.2021 | 16:53:30] [Cichy]: `Powód:`**Działanie na rozwój serwera.** 

[16.1.2021 | 16:53:53] [Oliwia123🎁🎀]: ❤️ 

[16.1.2021 | 16:54:1] [Oliwia123🎁🎀]: 💵 

[16.1.2021 | 21:10:18] [Invejosa]: <@749016976793272360> 

[16.1.2021 | 21:10:29] [Invejosa]: <@749016976793272360> 

[16.1.2021 | 21:15:38] [Invejosa]: 10 248 

[16.1.2021 | 21:15:52] [Invejosa]: 10248 

[16.1.2021 | 21:15:56] [Invejosa]: 10238 

[16.1.2021 | 21:44:10] [Cichy]: Restartowałem bota, sprawdź teraz. 

[16.1.2021 | 21:44:23] [Oliwia123🎁🎀]: dziala 

[16.1.2021 | 21:44:25] [Oliwia123🎁🎀]: super 

[16.1.2021 | 21:44:34] [Oliwia123🎁🎀]: o jakies nowe komendy widze chyba 

[16.1.2021 | 21:44:58] [NoOne]: <a:CH_PikaWave:730367301563711569> 

[16.1.2021 | 21:45:24] [Oliwia123🎁🎀]: to sie powtorzylo 

[16.1.2021 | 22:9:30] [Oliwia123]: .collect-income 

[16.1.2021 | 22:25:6] [Invejosa]: .collect-income 

[16.1.2021 | 22:25:9] [Invejosa]: .money 

[16.1.2021 | 22:25:14] [Invejosa]: .dep all 

[16.1.2021 | 22:27:18] [Asasin22]: .collect-income 

[16.1.2021 | 22:27:24] [Asasin22]: .work 

[16.1.2021 | 22:27:28] [Asasin22]: .crime 

[16.1.2021 | 22:27:31] [Asasin22]: .slut 

[16.1.2021 | 22:27:36] [Asasin22]: .dep all 

[16.1.2021 | 22:28:6] [Asasin22]: .bal 

[16.1.2021 | 23:43:13] [NoOne]: Nie słyszę bota :/ 

[16.1.2021 | 23:44:47] [NoOne]: Ogólnie gratulacje 

[16.1.2021 | 23:44:57] [NoOne]: Dla mojej głupoty 

[16.1.2021 | 23:45:8] [NoOne]: Pomyliłem wykonawców 

[16.1.2021 | 23:45:40] [NoOne]: /leavw 

[16.1.2021 | 23:48:25] [Invejosa]: Może spróbuj pooo 

[16.1.2021 | 23:48:27] [Invejosa]: Tym url 

[16.1.2021 | 23:48:39] [Invejosa]: Nie wiem, może Cichy coś sprawdza z tym play 

[16.1.2021 | 23:48:55] [NoOne]: Może zadziała link 

[16.1.2021 | 23:49:0] [Invejosa]: Powinien 

[16.1.2021 | 23:49:33] [NoOne]: No yak 

[16.1.2021 | 23:49:35] [NoOne]: Tak 

[16.1.2021 | 23:49:48] [Invejosa]: Może zly autor lub tytuł utworu 

[16.1.2021 | 23:50:31] [NoOne]: Nie sądzę, aczkolwiek pomyliłem się już, więc wszytko możliwe 

[16.1.2021 | 23:50:32] [Invejosa]: To jest:

U mnie maj 

[16.1.2021 | 23:50:36] [NoOne]: Wiem 

[16.1.2021 | 23:50:39] [NoOne]: Słyszę 

[16.1.2021 | 23:50:46] [NoOne]: I to mnie zastanawia 

[16.1.2021 | 23:51:45] [Invejosa]: Może Cichy coś robi 

[16.1.2021 | 23:52:8] [NoOne]: Może 

[16.1.2021 | 23:53:43] [NoOne]: No cóż, zostało mi słuchać na innym serwerze 

[16.1.2021 | 23:54:45] [Invejosa]: Cichy moze odblokuje linki yt 

[16.1.2021 | 23:54:57] [Invejosa]: Ale wtedy będą spamic swoimi filmami... 

[16.1.2021 | 23:55:21] [NoOne]: Trzeba jeszcze przemyśleć trochę spraw 

[16.1.2021 | 23:55:28] [NoOne]: Wszystko w swoim czasie 

[16.1.2021 | 23:55:36] [Invejosa]: 👍 

[16.1.2021 | 23:56:23] [Invejosa]: 🐼 

[16.1.2021 | 23:56:30] [NoOne]: Zaczekam <:PandaPanky:777715794909724673> 

[16.1.2021 | 23:56:48] [Invejosa]: Na co zaczekasz? 

[16.1.2021 | 23:57:26] [NoOne]: Aż bot będzie działał w 100% 

[17.1.2021 | 0:11:16] [Invejosa]: Aaa 

[17.1.2021 | 0:11:18] [Invejosa]: Oki 

[17.1.2021 | 13:32:58] [Shibe]: .collect-income 

[17.1.2021 | 13:33:1] [Shibe]: .work 

[17.1.2021 | 13:33:3] [Shibe]: .crime 

[17.1.2021 | 13:33:5] [Shibe]: .slut 

[17.1.2021 | 13:33:9] [Shibe]: .dep all 

[17.1.2021 | 13:33:14] [Shibe]: .bal <@721619240721055797> 

[17.1.2021 | 13:33:20] [Shibe]: .rob <@721619240721055797> 

[17.1.2021 | 13:33:23] [Shibe]: .dep all 

[17.1.2021 | 13:33:26] [Shibe]: .bal 

[17.1.2021 | 13:33:31] [Shibe]: .top 

[17.1.2021 | 13:37:2] [Shibe]: .work 

[17.1.2021 | 13:37:5] [Shibe]: .bal 

[17.1.2021 | 13:37:11] [Shibe]: .dep all 

[17.1.2021 | 14:20:7] [Oliwia1234]: d 

[17.1.2021 | 14:21:25] [sirvel_wolf]: .collect-income 

[17.1.2021 | 14:21:32] [sirvel_wolf]: .work 

[17.1.2021 | 14:21:36] [sirvel_wolf]: .slut 

[17.1.2021 | 14:21:40] [sirvel_wolf]: .crime 

[17.1.2021 | 14:21:45] [sirvel_wolf]: .dep all 

[17.1.2021 | 14:21:48] [sirvel_wolf]: .bal 

[17.1.2021 | 14:22:12] [Oliwia123-Partnerstwa]: .collect-income 

[17.1.2021 | 14:59:21] [IiiLla23]: .user 

[17.1.2021 | 14:59:27] [IiiLla23]: O kurde 

[17.1.2021 | 14:59:48] [IiiLla23]: 2 miesiące i około 2 tygodni mnie tutaj nie było 

[17.1.2021 | 15:7:11] [Adan]: .colec-income 

[17.1.2021 | 15:7:17] [Adan]: .colect-income 

[17.1.2021 | 15:7:28] [Adan]: .collect-income 

[17.1.2021 | 15:7:31] [Adan]: .dep all 

[17.1.2021 | 15:7:35] [Adan]: .bal 

[17.1.2021 | 15:7:37] [Adan]: .lb 

[17.1.2021 | 21:31:56] [Invejosa]: Umm... 

[17.1.2021 | 21:33:40] [Lou]: ^w^ 

[17.1.2021 | 22:20:57] [Asasin22]: .collect-income 

[17.1.2021 | 22:21:0] [Asasin22]: .work 

[17.1.2021 | 22:21:2] [Asasin22]: .crime 

[17.1.2021 | 22:21:4] [Asasin22]: .skut 

[17.1.2021 | 22:21:8] [Asasin22]: .slut 

[17.1.2021 | 22:21:12] [Asasin22]: .dep all 

[17.1.2021 | 22:21:19] [Asasin22]: .bal 

[17.1.2021 | 22:21:27] [Asasin22]: jeszcze raz 🙂 

[17.1.2021 | 22:29:18] [Shibe]: .collect-income 

[17.1.2021 | 22:29:23] [Shibe]: .work 

[17.1.2021 | 22:29:25] [Shibe]: .crime 

[17.1.2021 | 22:29:27] [Shibe]: .slut 

[17.1.2021 | 22:29:30] [Shibe]: .dep all 

[17.1.2021 | 22:29:31] [Shibe]: .bal 

[17.1.2021 | 22:30:5] [Invejosa]: .slut 

[17.1.2021 | 22:30:6] [Invejosa]: .crime 

[17.1.2021 | 22:30:7] [Invejosa]: .work 

[17.1.2021 | 22:30:9] [Invejosa]: .collect-income 

[17.1.2021 | 22:30:12] [Invejosa]: /dep all 

[17.1.2021 | 22:30:13] [Invejosa]: .dep all 

[17.1.2021 | 22:51:44] [Asasin22]: .work 

[18.1.2021 | 8:53:41] [Adan]: .collect-income 

[18.1.2021 | 8:53:44] [Adan]: .dep all 

[18.1.2021 | 8:53:45] [Adan]: /bal 

[18.1.2021 | 8:53:46] [Adan]: .bal 

[18.1.2021 | 9:15:35] [Asasin22]: .collect-income 

[18.1.2021 | 9:15:48] [Asasin22]: .work 

[18.1.2021 | 9:15:48] [Asasin22]: .crime 

[18.1.2021 | 9:15:49] [St3fan_K]: .collect-income 

[18.1.2021 | 9:15:49] [Asasin22]: .slut 

[18.1.2021 | 9:15:59] [Asasin22]: .crime 

[18.1.2021 | 9:16:3] [Asasin22]: .dep all 

[18.1.2021 | 9:16:3] [St3fan_K]: .work 

[18.1.2021 | 9:16:9] [ayuzuru🍥⌇]: .shop 

[18.1.2021 | 9:16:15] [St3fan_K]: .crime 

[18.1.2021 | 9:16:20] [St3fan_K]: .slut 

[18.1.2021 | 9:16:26] [St3fan_K]: .dep all 

[18.1.2021 | 9:16:41] [YT    ToJaAress]: .work 

[18.1.2021 | 9:16:43] [YT    ToJaAress]: .slut 

[18.1.2021 | 9:16:46] [YT    ToJaAress]: .crine 

[18.1.2021 | 9:16:50] [YT    ToJaAress]: .crime 

[18.1.2021 | 9:16:53] [YT    ToJaAress]: .dep all 

[18.1.2021 | 9:18:6] [💜-Agatka007-💜]: .work 

[18.1.2021 | 9:18:11] [💜-Agatka007-💜]: .crime 

[18.1.2021 | 9:18:13] [💜-Agatka007-💜]: .slut 

[18.1.2021 | 9:18:19] [💜-Agatka007-💜]: .dep all 

[18.1.2021 | 9:18:27] [💜-Agatka007-💜]: .bal 

[18.1.2021 | 9:19:0] [szym402pl]: .top 

[18.1.2021 | 9:19:6] [szym402pl]: .collect-income 

[18.1.2021 | 9:19:10] [szym402pl]: .dep all 

[18.1.2021 | 9:19:12] [szym402pl]: .work 

[18.1.2021 | 9:19:14] [szym402pl]: .crime 

[18.1.2021 | 9:19:17] [szym402pl]: .slut 

[18.1.2021 | 9:19:21] [szym402pl]: .dep all 

[18.1.2021 | 9:19:25] [szym402pl]: .top 

[18.1.2021 | 9:19:30] [szym402pl]: .top 2 

[18.1.2021 | 9:20:9] [szym402pl]: .bal 475609104103112704 

[18.1.2021 | 9:20:29] [szym402pl]: .bal <@703181803589992468> 

[18.1.2021 | 9:20:49] [szym402pl]: .bal 761304003884416001 

[18.1.2021 | 9:21:14] [szym402pl]: .bal 761304093884416001 

[18.1.2021 | 9:21:30] [szym402pl]: .rob 761304093884416001 

[18.1.2021 | 9:21:34] [szym402pl]: .dep all 

[18.1.2021 | 9:21:37] [szym402pl]: .top 

[18.1.2021 | 9:21:44] [Invejosa]: .crime 

[18.1.2021 | 9:21:45] [Invejosa]: .slut 

[18.1.2021 | 9:21:51] [St3fan_K]: .rob <@!407996310290038784> 

[18.1.2021 | 9:21:51] [Invejosa]: .work 

[18.1.2021 | 9:21:52] [Invejosa]: .collect-income 

[18.1.2021 | 9:34:32] [Shibe]: .rob 761304093884416001 

[18.1.2021 | 9:34:45] [Shibe]: .work 

[18.1.2021 | 9:34:48] [Shibe]: .crime 

[18.1.2021 | 9:34:51] [Shibe]: .dep all 

[18.1.2021 | 9:34:54] [Shibe]: .slut 

[18.1.2021 | 9:35:0] [Shibe]: .with 32 

[18.1.2021 | 9:35:4] [Shibe]: .dep app 

[18.1.2021 | 9:35:7] [Shibe]: .dep all 

[18.1.2021 | 9:35:10] [Shibe]: .bal 

[18.1.2021 | 9:38:34] [Adan]: !play 

[18.1.2021 | 9:39:20] [Adan]: heh 

[18.1.2021 | 9:39:21] [Adan]: nojs 

[18.1.2021 | 9:39:40] [Adan]: Cichy 

[18.1.2021 | 9:39:45] [Adan]: postarałeś sie 

[18.1.2021 | 9:40:29] [Adan]: /dc 

[18.1.2021 | 9:40:34] [Adan]: kur 

[18.1.2021 | 9:40:35] [Adan]: de 

[18.1.2021 | 9:41:5] [Adan]: No one dołączaj 

[18.1.2021 | 9:41:5] [Adan]: dawaj 

[18.1.2021 | 9:41:36] [NoOne]: Ja? 

[18.1.2021 | 9:42:37] [Adan]: ye 

[18.1.2021 | 9:44:25] [Invejosa]: Co słuchasz? 

[18.1.2021 | 9:47:10] [Adan]: radioactive 

[18.1.2021 | 9:47:17] [Adan]: wbijasz? 

[18.1.2021 | 9:47:26] [Adan]: i cichy sie bardzo postarał z muzyką 

[18.1.2021 | 9:47:27] [Invejosa]: Niee, nie chcę 

[18.1.2021 | 9:47:30] [Adan]: Ok 

[18.1.2021 | 9:47:36] [Adan]: (bardzo) 

[18.1.2021 | 9:47:36] [Invejosa]: To miłe słowa :)) 

[18.1.2021 | 9:47:41] [Adan]: Nom 

[18.1.2021 | 9:47:43] [Adan]: bo muzyka 

[18.1.2021 | 9:47:45] [Adan]: git 

[18.1.2021 | 9:47:48] [Adan]: nie ścina 

[18.1.2021 | 9:47:52] [Adan]: wyraźna 

[18.1.2021 | 9:48:45] [Adan]: oooo 

[18.1.2021 | 9:48:47] [Adan]: a to takie 

[18.1.2021 | 9:49:2] [Adan]: dobre 

[18.1.2021 | 9:49:16] [NoOne]: :/ 

[18.1.2021 | 9:49:20] [Invejosa]: Nie zrobiłeś spacji 

[18.1.2021 | 9:49:36] [Invejosa]: 801 

[18.1.2021 | 9:50:25] [Adan]: to to wkońcu na minus 

[18.1.2021 | 9:50:28] [Adan]: czy + 

[18.1.2021 | 9:50:45] [Adan]: re 

[18.1.2021 | 9:50:48] [Adan]: XD 

[18.1.2021 | 9:50:59] [Adan]: matematyka 

[18.1.2021 | 9:51:3] [Adan]: moja słabość 

[18.1.2021 | 9:51:26] [St3fan_K]: 8025 

[18.1.2021 | 9:51:29] [Adan]: sad 

[18.1.2021 | 9:51:35] [Adan]: skam 

[18.1.2021 | 9:51:46] [St3fan_K]: xd 

[18.1.2021 | 9:51:49] [Adan]: xD 

[18.1.2021 | 9:51:51] [St3fan_K]: nie skam 

[18.1.2021 | 9:51:54] [Adan]: wiem 

[18.1.2021 | 9:51:57] [St3fan_K]: tylko kalkulator 

