[25.1.2021 | 13:11:53] [Shibe]: <@689853240002740338>  nie kick <@!749016976793272360> 
[28.1.2021 | 11:33:4] [Shibe]: No bo dostał warny 

[28.1.2021 | 11:33:13] [Borys_Adamczyk]: co? 

[28.1.2021 | 11:33:23] [Borys_Adamczyk]: warny 

[28.1.2021 | 11:34:2] [Borys_Adamczyk]: a jak bęzie ostrzeżnie 3 stopnia to co wtedy 

[28.1.2021 | 11:36:40] [Shibe]: Jeszcze jedno i kick 

[28.1.2021 | 11:36:48] [Shibe]: Albo nic 

[28.1.2021 | 11:36:55] [Shibe]: Jak sie bedzie powtarzało 

[28.1.2021 | 11:54:0] [banio]: ayo mogę pomocnika 

[28.1.2021 | 11:54:17][banio]: undefined [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/804303335896907806/DDLVID.COM-1338324610207477760.mp4] 

[28.1.2021 | 18:40:10][banio]: hej macie zaproszenie
jak ktoś jeszcze chce to pv [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/804405474043625472/unknown.png] 

