[7.1.2021 | 18:7:1] [🖤Maxim Jestem🖤]: MIAU 
[27.1.2021 | 22:28:30] [KiritikaKoizumi]: Nagito, serio? 

[27.1.2021 | 22:28:35] [KiritikaKoizumi]: ;-; 

[27.1.2021 | 22:28:42] [KiritikaKoizumi]: Baka 

[27.1.2021 | 22:28:51] [KiritikaKoizumi]: Nagito, czy on jest Baka? -,- 

[27.1.2021 | 22:29:7] [KiritikaKoizumi]: Nagito, czy on jest artystą? :c 

[27.1.2021 | 22:29:19] [KiritikaKoizumi]: Nagito, odpowiedz normalnie :cccc 

[27.1.2021 | 22:29:28] [KiritikaKoizumi]: No właśnie :DD 

[27.1.2021 | 22:29:51][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/804100888721227794/Screenshot_2021-01-24-18-35-15-042_com.google.android.youtube.jpg] 

[27.1.2021 | 22:30:11] [KiritikaKoizumi]: Nagito, nie kłam, czy on śpi artystycznie? 

[27.1.2021 | 22:30:20] [KiritikaKoizumi]: No wezzzz 

[27.1.2021 | 22:30:21] [KiritikaKoizumi]: ;-; 

[27.1.2021 | 22:30:25] [KiritikaKoizumi]: Dobra ide smieciu 

[27.1.2021 | 22:32:28] [Applepi]: co tu się dzieje 

[27.1.2021 | 22:32:29] [Applepi]: acha co 

[27.1.2021 | 22:32:33] [Applepi]: akurat przyszłam 

[27.1.2021 | 23:36:27] [Glokaczka]: Nwm 

[27.1.2021 | 23:36:33] [Glokaczka]: Co sie dzieje 

[27.1.2021 | 23:37:18] [Larysa]: kto mi poleci jakies anime 

[27.1.2021 | 23:37:20] [Larysa]: :( 

[27.1.2021 | 23:37:28] [Glokaczka]: Jaki gatunek? 

[27.1.2021 | 23:37:54] [Larysa]: horror/mystery/psychologiczne/thriller/dramat 

[27.1.2021 | 23:38:21] [Glokaczka]: Jużeli chodzi o dramat to beastars 

[27.1.2021 | 23:38:39] [Glokaczka]: Ale tak to polecam ci danganronpa 

[27.1.2021 | 23:38:44] [Glokaczka]: Another 

[27.1.2021 | 23:38:57] [Larysa]: danganronpa i another juz ogladalam 

[27.1.2021 | 23:39:7] [Larysa]: a beastars srednio mi sie podoba 

[27.1.2021 | 23:39:26] [Glokaczka]: Lego nindżago 

[27.1.2021 | 23:39:31] [Larysa]: XD 

[27.1.2021 | 23:39:44] [Larysa]: lego ninjago jest super <3 

[27.1.2021 | 23:39:49] [Glokaczka]: Takk 

[27.1.2021 | 23:39:58] [Glokaczka]: Mam nawet gdzies komiksy 

[27.1.2021 | 23:40:1] [Larysa]: mistrzowie spinjitsu 

[27.1.2021 | 23:40:15] [Glokaczka]: Zejn najlepszy 

[27.1.2021 | 23:40:28] [Glokaczka]: Ja nie płaczy pszy filmach 

[27.1.2021 | 23:40:30] [Glokaczka]: Ale 

[27.1.2021 | 23:40:44] [Glokaczka]: Jak zejnowi konstruktor umarl 

[27.1.2021 | 23:40:53] [Glokaczka]: To ja tak ryczalem 

[27.1.2021 | 23:40:58] [Larysa]: ;c 

[27.1.2021 | 23:41:9] [Glokaczka]: Chyba ide onejrzec 

[27.1.2021 | 23:41:17] [Larysa]: oki 

[27.1.2021 | 23:41:39] [Glokaczka]: A tak wychodząc poza twoje gatunki które szukasz 

[27.1.2021 | 23:41:49] [Glokaczka]: Polecam blod type c 

[27.1.2021 | 23:41:56] [Larysa]: a co to 

[27.1.2021 | 23:42:8] [Glokaczka]: Mega dużo krwi 

[27.1.2021 | 23:42:14] [Larysa]: blood c ? 

[27.1.2021 | 23:42:16] [Glokaczka]: Tylko tyle moge powiedziec 

[27.1.2021 | 23:42:26] [Glokaczka]: Ah jes 

[27.1.2021 | 23:42:33] [Larysa]: ogladalam juzzz 

[27.1.2021 | 23:42:58] [Glokaczka]: Krajina lodu zimowa pszygoda olafa 

[27.1.2021 | 23:43:9] [Glokaczka]: Prawdziwy horror 

[27.1.2021 | 23:44:20] [Glokaczka]: A oglądałaś może "COŚ TAM Z KIBLEM hanako kun" 

[27.1.2021 | 23:44:25] [Larysa]: tak 

[27.1.2021 | 23:44:43] [Larysa]: chyba wszystkie dobre anime juz ogladalam :( 

[27.1.2021 | 23:45:6] [Glokaczka]: A moze byc jakas manga manhwa lub ksiomszka 

[27.1.2021 | 23:45:14] [Larysa]: niee 

[27.1.2021 | 23:45:21] [Larysa]: wole anime 

[27.1.2021 | 23:45:34] [Glokaczka]: To mudl sie zeby killing stalking anime wyszlo 

[27.1.2021 | 23:45:45] [Larysa]: okk 

[27.1.2021 | 23:45:50] [Glokaczka]: Czekaj 

[27.1.2021 | 23:45:54] [Glokaczka]: Dorime 

[27.1.2021 | 23:45:58] [Glokaczka]: Inecrino 

[27.1.2021 | 23:46:1] [Glokaczka]: Amenare 

[27.1.2021 | 23:46:4] [Glokaczka]: DORIME 

[27.1.2021 | 23:46:8] [Glokaczka]: AMENO 

[27.1.2021 | 23:46:10] [Glokaczka]: AMENO 

[27.1.2021 | 23:46:11] [Larysa]: XD 

[27.1.2021 | 23:46:16] [Glokaczka]: LANCIRE 

[27.1.2021 | 23:46:20] [Glokaczka]: LANCIREEEEEE 

[27.1.2021 | 23:47:28] [Glokaczka]: I BUKI  MIO DAAAA PUT IT TUGIEDER AND WAT DIDŻ JU GET 

[27.1.2021 | 23:48:0] [Glokaczka]: WAT DIDŻ JU GET??? 

[27.1.2021 | 23:48:5] [Larysa]: ?? 

[27.1.2021 | 23:48:19] [Glokaczka]: Czekaj napisze po ludzku 

[27.1.2021 | 23:49:16] [Glokaczka]: I-buki mio-DAAAA put it togieder (nwm jak sie pisze) and wat did you get?? 

[27.1.2021 | 23:49:49] [Larysa]: nie rozumiem :c 

[27.1.2021 | 23:50:4] [Glokaczka]: A grałas w danganronpa 3 

[27.1.2021 | 23:50:12] [Larysa]: nie 

[27.1.2021 | 23:50:13] [Glokaczka]: 2* 

[27.1.2021 | 23:50:21] [Larysa]: tylko ogladalam 

[27.1.2021 | 23:50:24] [Larysa]: :( 

[27.1.2021 | 23:50:27] [Glokaczka]: Gituwa 

[27.1.2021 | 23:50:58] [Glokaczka]: Chodzi oto ze postac no mojim profilowym sie tak witała z protagiem 

[27.1.2021 | 23:51:5] [Larysa]: aa 

[27.1.2021 | 23:51:19] [Glokaczka]: I potem darła sie IBUKI MIODAAAA 

[27.1.2021 | 23:51:31] [Glokaczka]: za to ją tak kocham 

[27.1.2021 | 23:51:39] [Glokaczka]: Wgl ibuki jest kox 

[27.1.2021 | 23:52:4] [Glokaczka]: Ja spac musze bo skul niedlugo papa 

[27.1.2021 | 23:52:9] [Larysa]: pa 

[28.1.2021 | 11:14:1] [Jeff The Killer [ℕ]]: Siemaaaaaaa 

[28.1.2021 | 11:44:35] [Applepi]: no chdj 

[28.1.2021 | 13:13:24] [Anika1258]: chej 

[28.1.2021 | 16:22:56] [KiritikaKoizumi]: Dżem dobry 

[28.1.2021 | 16:23:6] [KiritikaKoizumi]: Bo truskawkowy 

[28.1.2021 | 16:23:46] [KiritikaKoizumi]: Nagito, NIE KŁAM, czy Ereh jest słodki? 

[28.1.2021 | 16:23:54] [KiritikaKoizumi]: KJajakakakakqkkaiJJajajkKJNajJ 

[28.1.2021 | 16:24:8] [KiritikaKoizumi]: Nagito, MASZ NIE KŁAMAĆ, czy Mikasa jest słodka? 

[28.1.2021 | 16:25:13] [KiritikaKoizumi]: Nagito, czy Bert to debil? -,- 

[28.1.2021 | 16:33:10] [Applepi]: ereh fu 

[28.1.2021 | 16:33:16] [Applepi]: mikasa ha tfu 

[28.1.2021 | 16:36:18] [KiritikaKoizumi]: Nagito, nie kłam. czy pieck ma wyjebane na wszystko? 

[28.1.2021 | 16:36:30] [KiritikaKoizumi]: Nagito, czy pieck ma fajną dupę? 

