[9.1.2021 | 22:50:26] [FiczetoX]: / 
[19.1.2021 | 22:5:50] [emm]: Bro, nie przejmuj się jakimiś typami z internetu i tak widać że robią to specjalnie 

[19.1.2021 | 22:6:0] [emm]: Wiem że to płytkie mówienie ale no 

[19.1.2021 | 22:6:19] [krasnal ogrodowy niko]: Ale po co to wszystko 

[19.1.2021 | 22:6:21] [emm]: Jak się źle czujesz to odłóż telefon idź coś poczytaj 

[19.1.2021 | 22:6:51] [emm]: Hm? 

[19.1.2021 | 22:7:16] [emm]: Bro, nie wygadują takich rzeczy, nie chce cię stracić 

[19.1.2021 | 22:7:39] [emm]: Sam bym się załamał psychicznie gdybyś sobie coś zrobił 

[19.1.2021 | 22:8:52] [DoctorToxic]: 👁️ 👄 👁️ 

[19.1.2021 | 22:9:39] [emm]: To ty jesteś adminem co 

[19.1.2021 | 22:9:45] [emm]: Moderacja 

[19.1.2021 | 22:9:54] [emm]: LoL 

[19.1.2021 | 22:10:0] [emm]: Czm ja tego nie wiedziałem 

[19.1.2021 | 22:10:3] [cheeto pizzerini]: dobra już zamkneli mordy 

[19.1.2021 | 22:10:14] [cheeto pizzerini]: a przynajmniej powoli zamykają 

[19.1.2021 | 22:10:20] [emm]: Tak 

[19.1.2021 | 22:11:12] [DoctorToxic]: XDDD 

[19.1.2021 | 22:11:29] [krasnal ogrodowy niko]: Ciekawe co jest po śmierci nie? 

[19.1.2021 | 22:11:56] [emm]: Bro przestań 

[19.1.2021 | 22:12:17] [DoctorToxic]: Upośledzeni jacyś 

[19.1.2021 | 22:12:31] [DoctorToxic]: Help me from this madness 

[19.1.2021 | 22:14:17] [emm]: Nie obrażaj go, wiem że on wkurwia, ale nie znizajmy się do jego poziomu 

[19.1.2021 | 22:16:19] [DoctorToxic]: Ok 

[19.1.2021 | 22:16:30] [DoctorToxic]: Hard yaoi na laptopie czy telefonie xD 

[19.1.2021 | 22:16:34] [DoctorToxic]: Bo mam wolny laptop xD 

[19.1.2021 | 22:16:42] [emm]: Telefon co jak mama zobaczy 

[19.1.2021 | 22:16:50] [DoctorToxic]: No cóż bywa xD 

[19.1.2021 | 22:17:4] [DoctorToxic]: Incognito wzywam cię xD 

[19.1.2021 | 22:18:51] [krasnal ogrodowy niko]: Proszę was przestańcie z nimi dyskutować 

[19.1.2021 | 22:19:10] [krasnal ogrodowy niko]: Zniszczą mi serwer 

[19.1.2021 | 22:19:37] [krasnal ogrodowy niko]: Znowu to samo ja nie mogę mieć wrwera na którym nie przyjdą jacyś pojebany ludzie 

[19.1.2021 | 22:19:57] [DoctorToxic]: Ey ja już nie dyskutuje 

[19.1.2021 | 22:20:5] [DoctorToxic]: Tylko myślę o tym czy obejrzeć te yaoi czy nie 

[19.1.2021 | 22:21:36] [emm]: Im bardziej się wpierdala ja tym większa szansa na danie im bana xDD bo nie możemy ich wywalić ot tak cn 

[19.1.2021 | 22:21:43] [emm]: Yaoi 

[19.1.2021 | 22:21:59] [DoctorToxic]: Ok 

[19.1.2021 | 22:22:9] [emm]: Tak 

[19.1.2021 | 22:22:13] [DoctorToxic]: Ale jebne gdy mi matka do pokoju wejdzie 

[19.1.2021 | 22:22:16] [DoctorToxic]: XD 

[19.1.2021 | 22:23:3] [emm]: Ale yaoi to poprostu anime o gejach czy tam są sceny cimCiRImcI? 

[19.1.2021 | 22:23:19] [DoctorToxic]: To i to xD 

[19.1.2021 | 22:23:20] [emm]: Najwyżej powiesz że jesteś w wieku gdzie takie rzeczy się ogląda 

[19.1.2021 | 22:23:24] [DoctorToxic]: Tylko bez ukazania pytonow 

[19.1.2021 | 22:23:31] [DoctorToxic]: Ale są sceny 

[19.1.2021 | 22:23:33] [emm]: A to wiem akurat 

[19.1.2021 | 22:23:45] [DoctorToxic]: O nie 51 minut jeden odcinek xD 

[19.1.2021 | 22:24:17] [emm]: Powodzenia 

[19.1.2021 | 22:24:49] [DoctorToxic]: Dzięki xD 

[19.1.2021 | 22:29:15] [🅼🅸🅺]: Ja bym yoshunie i tego zacka wyjebał 

[19.1.2021 | 22:29:17] [🅼🅸🅺]: I tyle 

[19.1.2021 | 22:29:31] [🅼🅸🅺]: Za robienie gównoburzy 

[19.1.2021 | 22:30:24] [cheeto pizzerini]: ja tez 

[19.1.2021 | 22:30:30] [cheeto pizzerini]: na zbity pysk bym wyjebala 

[19.1.2021 | 22:30:38] [🅼🅸🅺]: Pff 

[19.1.2021 | 22:30:39] [cheeto pizzerini]: ale bedzie ból dupy znowu 

[19.1.2021 | 22:30:55] [🅼🅸🅺]: Yoshunia ma 18 lat podobno, a kurwa zachowuje się na 14 

[19.1.2021 | 22:30:59] [krasnal ogrodowy niko]: To powklejajcie im warny proste 

[19.1.2021 | 22:31:7] [emm]: Co xDDdDD 

[19.1.2021 | 22:31:14] [emm]: Niemożliw 

[19.1.2021 | 22:31:22] [krasnal ogrodowy niko]: Dwa jeszcze dla zacka i kishuni 

[19.1.2021 | 22:31:24] [🅼🅸🅺]: No zoba 

[19.1.2021 | 22:31:25] [krasnal ogrodowy niko]: Ja znikam pa 

[19.1.2021 | 22:31:29] [cheeto pizzerini]: jak dla mnie takie 13 

[19.1.2021 | 22:31:32] [cheeto pizzerini]: bardziej 

[19.1.2021 | 22:31:34] [krasnal ogrodowy niko]: Wklwjcie warny 

[19.1.2021 | 22:31:41] [cheeto pizzerini]: nieeeee 

[19.1.2021 | 22:31:45] [cheeto pizzerini]: beda problemy 

[19.1.2021 | 22:31:56] [cheeto pizzerini]: i tu jest inny yp co bedzie tez sie pruł po tym 

[19.1.2021 | 22:32:8] [🅼🅸🅺]: Nie będzie 

[19.1.2021 | 22:32:10] [cheeto pizzerini]: captain spooter 

[19.1.2021 | 22:32:12] [cheeto pizzerini]: bedzie 

[19.1.2021 | 22:32:15] [cheeto pizzerini]: na stówe 

[19.1.2021 | 22:32:18] [cheeto pizzerini]: ja to wiem 

[19.1.2021 | 22:32:18] [🅼🅸🅺]: Powiesz tak 

[19.1.2021 | 22:32:19] [emm]: Trójca święta normalnie 

[19.1.2021 | 22:32:28] [🅼🅸🅺]: Jaki capitan 

[19.1.2021 | 22:32:29] [krasnal ogrodowy niko]: Albo ich wywalcie 

[19.1.2021 | 22:33:13] [🅼🅸🅺]: A napisać co w powodzie? 

[19.1.2021 | 22:34:31] [cheeto pizzerini]: oni wróca 

[19.1.2021 | 22:34:35] [cheeto pizzerini]: na sto procent 

[19.1.2021 | 22:34:58] [krasnal ogrodowy niko]: Łamanie regulaminu, a dokładniej punktu 6 

[19.1.2021 | 22:35:5] [krasnal ogrodowy niko]: Brak szacunku do innych użytkowników 

[19.1.2021 | 22:35:14] [krasnal ogrodowy niko]: Pomimo ostrzeżeń nadal kontynuuje dramę 

[19.1.2021 | 22:35:23] [krasnal ogrodowy niko]: <@586179218212257794> Karol kurwa skończ. 

[19.1.2021 | 22:35:28] [krasnal ogrodowy niko]: Proszę cię. 

[19.1.2021 | 22:37:14] [emm]: Bro idź spać 

[19.1.2021 | 22:37:32] [emm]: A i to zadanie z angielskiego ogarnij 

[19.1.2021 | 22:37:47] [🅼🅸🅺]: No to dam im banicje 

[19.1.2021 | 22:38:56] [🅼🅸🅺]: Strzeliłem w Jacka 

[19.1.2021 | 22:38:59] [cheeto pizzerini]: zack is goneee 

[19.1.2021 | 22:39:1] [cheeto pizzerini]: hell yeahhh 

[19.1.2021 | 22:39:2] [emm]: xDDdDDDD 

[19.1.2021 | 22:39:5] [cheeto pizzerini]: teraz kishunia 

[19.1.2021 | 22:39:7] [cheeto pizzerini]: chyba 

[19.1.2021 | 22:39:18] [🅼🅸🅺]: *Szykuje pikawke* 

[19.1.2021 | 22:39:22] [cheeto pizzerini]: hA 

[19.1.2021 | 22:39:30] [cheeto pizzerini]: nie pisz nic w powodzie najlepiej 

[19.1.2021 | 22:39:49] [cheeto pizzerini]: kishunie szybko zanim zdąży sie przypierdolic 

[19.1.2021 | 22:39:53] [cheeto pizzerini]: o to ze ma bana 

[19.1.2021 | 22:39:56] [cheeto pizzerini]: zack 

[19.1.2021 | 22:40:36] [🅼🅸🅺]: To dać jej też banicje? 

[19.1.2021 | 22:40:41] [cheeto pizzerini]: tak 

[19.1.2021 | 22:40:48] [cheeto pizzerini]: nie pisz nic w powodzie 

[19.1.2021 | 22:40:51] [cheeto pizzerini]: najlepiej 

[19.1.2021 | 22:41:9] [🅼🅸🅺]: Cóż 

[19.1.2021 | 22:41:18] [🅼🅸🅺]: Teraz atmosfera będzie lepsza 

[19.1.2021 | 22:41:23] [cheeto pizzerini]: yoohoo 

[19.1.2021 | 22:41:31] [emm]: Jeszcze jest ten trzeci 

[19.1.2021 | 22:41:41] [🅼🅸🅺]: Ale on jest cicho 

[19.1.2021 | 22:41:43] [cheeto pizzerini]: ||mi cos mówi że wrócą albo że captain cos bedzie jeszcse mowil|| 

[19.1.2021 | 22:41:53] [emm]: Tak 

[19.1.2021 | 22:42:11] [emm]: Ale przynajmniej nie ma dwóch toksycznych osób 

[19.1.2021 | 22:42:23] [emm]: I Nikodem będzie w spokoju ducha 

[19.1.2021 | 22:42:31] [🅼🅸🅺]: Nie będzie miał nic do gadania. Albo się z tym pogodzi, że jego koledzy to debile, albo też dostanie bana za robienie demokracji 

[19.1.2021 | 22:44:6] [🅼🅸🅺]: Wgl co z kaczką? 

[19.1.2021 | 22:44:12] [🅼🅸🅺]: Jakby co chwilę widzę tylko 

[19.1.2021 | 22:44:16] [emm]: Ona wyszła cn? 

[19.1.2021 | 22:44:20] [🅼🅸🅺]: Wychodzi, wchodzi na serw 

[19.1.2021 | 22:44:24] [emm]: Czy coś się stało? 

[19.1.2021 | 22:44:29] [krasnal ogrodowy niko]: Wyszła po tym jak wczoraj coś tam gadali o Chińczykach 

[19.1.2021 | 22:44:32] [krasnal ogrodowy niko]: Że są skośnie 

[19.1.2021 | 22:44:37] [krasnal ogrodowy niko]: Ja wtedy też się wkurwiłem 

[19.1.2021 | 22:44:59] [emm]: To może niech wejdzie znów, bo ich już nie ma 

[19.1.2021 | 22:45:6] [krasnal ogrodowy niko]: To jakieś niereformowalne  ksenofoby i rasiści 

[19.1.2021 | 22:45:25] [🅼🅸🅺]: Cóż powiedzieć 

[19.1.2021 | 22:45:28] [🅼🅸🅺]: Zjeby 

[19.1.2021 | 22:45:46] [🅼🅸🅺]: Inaczej tego nie nazwiesz 

[19.1.2021 | 22:45:58] [emm]: Well poglądy podglądami, każdy może mieć jakie chce, ale niech nie obraża kogoś kto ma inne 

[19.1.2021 | 22:46:24] [🅼🅸🅺]: Pamiętam, że ta kishunia pisała nawet że niby na dc ona jest aby "niszczyć" innym dobry humor 

[19.1.2021 | 22:46:32] [emm]: XD 

[19.1.2021 | 22:46:37] [emm]: I ona ma niby 18 lat? 

[19.1.2021 | 22:46:41] [emm]: Bunt nastoletni 

[19.1.2021 | 22:46:47] [🅼🅸🅺]: Wiem 

[19.1.2021 | 22:46:51] [cheeto pizzerini]: ona ma max 14 

[19.1.2021 | 22:46:57] [cheeto pizzerini]: u cant change my mind 

[19.1.2021 | 22:47:3] [🅼🅸🅺]: Jakiś gołodupiec z niej i tyle :P 

[19.1.2021 | 22:47:3] [cheeto pizzerini]: może 16 

[19.1.2021 | 22:47:10] [cheeto pizzerini]: ale to jest dziecinna bardzo 

[19.1.2021 | 22:47:24] [emm]: Zack też 

[19.1.2021 | 22:47:46] [🅼🅸🅺]: Kto w wieku 18 lat wyzywa randomowe osoby, a potem się tłumaczy tym że ma taki charakter? 

[19.1.2021 | 22:47:53] [emm]: Bad girls 

[19.1.2021 | 22:47:56] [emm]: Bad boys 

[19.1.2021 | 22:47:59] [emm]: Bad persons 

[19.1.2021 | 22:48:4] [🅼🅸🅺]: Bad grandpas 

[19.1.2021 | 22:48:9] [emm]: Albo persones nw 

[19.1.2021 | 22:48:16] [emm]: Persons 

[19.1.2021 | 22:48:16] [cheeto pizzerini]: bad everyone 

[19.1.2021 | 22:48:23] [cheeto pizzerini]: ban humans 

[19.1.2021 | 22:48:25] [cheeto pizzerini]: club 

[19.1.2021 | 22:48:45] [🅼🅸🅺]: Ban grannys 

[19.1.2021 | 22:48:56] [🅼🅸🅺]: Cholipa xD 

[19.1.2021 | 22:49:56] [emm]: <@697153934246150185>  lepiej się czujesz, po tym jak ci dwaj zniknęli sobie? 

[19.1.2021 | 22:50:52] [krasnal ogrodowy niko]: Trochę 

[19.1.2021 | 22:50:59] [emm]: To dopsz 

[19.1.2021 | 22:50:59] [krasnal ogrodowy niko]: Boli mnie brzuch od tego wszystkiego 

[19.1.2021 | 22:51:6] [emm]: Oh 

[19.1.2021 | 22:51:8] [krasnal ogrodowy niko]: I duszno mi było dlatego poszedłem 

[19.1.2021 | 22:51:13] [🅼🅸🅺]: Załatwiłem ich swoją spluwą 

[19.1.2021 | 22:51:32] [emm]: Małceł ochronił serwer 

[19.1.2021 | 22:53:29] [cheeto pizzerini]: małceł przywrócił pokój w dolinie 

[19.1.2021 | 22:54:16] [emm]: Cóż za sytuacja 

[19.1.2021 | 22:57:11] [DoctorToxic]: A gdyby tak kanał na anime? Wiem ze to banalne ale nie chce zbytnio spamić zdjęciami z anime na zdjęcia 

[19.1.2021 | 22:57:29] [emm]: Wsm spoko 

[19.1.2021 | 22:57:32] [emm]: Chyba 

[19.1.2021 | 22:57:45] [DoctorToxic]: Tak 

[19.1.2021 | 22:57:59] [DoctorToxic]: Ale chyba Niko musi wyrazić zgodę 

[19.1.2021 | 22:58:1] [DoctorToxic]: Chyba 

[19.1.2021 | 22:58:39] [emm]: Mimo że jestem współwłaścicielem to racja, lepiej żeby Nikodem wyraził zgodę xD 

[19.1.2021 | 22:58:54] [krasnal ogrodowy niko]: Może być 

[19.1.2021 | 22:59:9] [emm]: O super 

[19.1.2021 | 23:2:27] [DoctorToxic]: :D 

[19.1.2021 | 23:15:47] [cheeto pizzerini]: ogolnie to 

[19.1.2021 | 23:16:1] [cheeto pizzerini]: jeśli kashutka będzie pisać do kogokolwiek z nas 

[19.1.2021 | 23:16:7] [cheeto pizzerini]: to jej po prostu odpiszcie: 

[19.1.2021 | 23:16:41] [cheeto pizzerini]: "A nie wiem, pisałaś na serwerze że będzie ci to obojętne jak damy ci bana więc pewien admin to zrobił." 

[19.1.2021 | 23:16:50] [cheeto pizzerini]: i nie mówcie kto to pewnien admin 

[19.1.2021 | 23:17:6] [emm]: Szczerze i tak mam wrażenie że ona serio będzie miała to gdzieś 

[19.1.2021 | 23:17:13] [cheeto pizzerini]: oby 

[19.1.2021 | 23:17:17] [emm]: Jedynie ten ich kolega może się próć. 

[19.1.2021 | 23:17:21] [cheeto pizzerini]: możliwe 

[19.1.2021 | 23:18:25] [emm]: Ale przynajmniej teraz wie że jej CHaRakTEr nie jest dobry i że robiła coś złego 

[19.1.2021 | 23:18:36] [krasnal ogrodowy niko]: Nie wydaje mi się 

[19.1.2021 | 23:19:7] [emm]: Well, jeśli to młoda osóbka (a na bank nie ma 18 lat) to może się zastanawiać, czemu została wywalona 

[19.1.2021 | 23:19:20] [cheeto pizzerini]: pewnie siedzi w swojej bańce: "taka już jestem. haha toksyczna lol ale jestem zajebista" 

[19.1.2021 | 23:19:53] [emm]: Oby sobie kiedyś zdała sprawę, że jej zachowanie nie jest dobre 

[19.1.2021 | 23:19:59] [cheeto pizzerini]: oby 

[19.1.2021 | 23:21:38] [krasnal ogrodowy niko]: Moje sumienie się odzywa 

[19.1.2021 | 23:21:41] [krasnal ogrodowy niko]: Byłem dzisiaj w Lidlu 

[19.1.2021 | 23:21:45] [krasnal ogrodowy niko]: Bo tydzień azjatycki nie 

[19.1.2021 | 23:21:55] [krasnal ogrodowy niko]: To znalazłem pocky 

[19.1.2021 | 23:22:0] [krasnal ogrodowy niko]: I się pytam brata 

[19.1.2021 | 23:22:5] [krasnal ogrodowy niko]: Ile mogę 

[19.1.2021 | 23:22:8] [krasnal ogrodowy niko]: A on na to wszystkie 

[19.1.2021 | 23:22:10] [krasnal ogrodowy niko]: Ja se myślę 

[19.1.2021 | 23:22:49] [krasnal ogrodowy niko]: Zgrywa się pewnie, wezmę tylko po jednym z każdego rodzaju czyli: jedna z truskawkowych, jedna z zielonej herbaty, jedną paczką bananowych 

[19.1.2021 | 23:22:54] [emm]: Jak kupieś pocky to cho pogramy sobie w pocky game 

[19.1.2021 | 23:22:58] [krasnal ogrodowy niko]: A potem on w domu patrzy na mnie i mówi 

[19.1.2021 | 23:23:7] [krasnal ogrodowy niko]: Miałeś sobie wziąć wszystkie 

[19.1.2021 | 23:23:23] [krasnal ogrodowy niko]: To Ty NiE żArToWaŁeŚ? 

[19.1.2021 | 23:23:33] [krasnal ogrodowy niko]: nIe 

[19.1.2021 | 23:23:40] [krasnal ogrodowy niko]: O kUrWa 

[19.1.2021 | 23:23:41] [emm]: No właśnie mogłeś sobie wziąć wszystkie, taka okazja rzadko się zdarza 

[19.1.2021 | 23:23:57] [krasnal ogrodowy niko]: CICHO SIEDŹ 

[19.1.2021 | 23:24:17] [emm]: Ała nie krzycz 

[19.1.2021 | 23:24:29] [emm]: Agresja 

[19.1.2021 | 23:24:42] [emm]: Zgłoszę to na policję 

[19.1.2021 | 23:24:52] [emm]: Że krzycz na swojego chłopaka 

[19.1.2021 | 23:28:12] [emm]: Ej ale pocky 5zł kosztują 

[19.1.2021 | 23:28:17] [emm]: To drogo my wyszło mega 

[19.1.2021 | 23:28:34] [krasnal ogrodowy niko]: Nie jesteś moim chłopakiem ;_; 

[19.1.2021 | 23:28:43] [krasnal ogrodowy niko]: || ,chłopie oni o tym nie wiedzą || 

[19.1.2021 | 23:28:50] [krasnal ogrodowy niko]: Wiem 

[19.1.2021 | 23:28:55] [emm]: No to już wiedzą i chuj 

[19.1.2021 | 23:29:8] [krasnal ogrodowy niko]: Ale on nie wiem skąd tyle pieniędzy bierze 

[19.1.2021 | 23:29:26] [emm]: Pewnie gra w pokera 

[19.1.2021 | 23:29:29] [emm]: Hazardzista 

[19.1.2021 | 23:29:30] [krasnal ogrodowy niko]: Nieee 

[19.1.2021 | 23:29:31] [emm]: Może 

[19.1.2021 | 23:29:35] [krasnal ogrodowy niko]: Maks nie jest taki naprawdę 

[19.1.2021 | 23:29:49] [emm]: Może ma 500+ 

[19.1.2021 | 23:29:52] [emm]: Za krowę 

[19.1.2021 | 23:30:1] [krasnal ogrodowy niko]: Nie ma krowy 

[19.1.2021 | 23:30:8] [emm]: Może kupił 

[19.1.2021 | 23:30:17] [krasnal ogrodowy niko]: Najwyżej po prostu do pracy poszedł 

[19.1.2021 | 23:30:25] [emm]: XDDDdDDDDd 

[19.1.2021 | 23:30:47] [emm]: Ej to skoro on ma tyle hajsu, a ja to jego dobry kolega, to niech się podzieli 

[19.1.2021 | 23:30:59] [krasnal ogrodowy niko]: Czy ja wiem czy dobry kolega 

[19.1.2021 | 23:31:11] [emm]: On mnie nie lubi? 

[19.1.2021 | 23:31:17] [krasnal ogrodowy niko]: W sensie 

[19.1.2021 | 23:31:30] [emm]: No ja chcę żeby hajsem sypnął 

[19.1.2021 | 23:31:53] [emm]: No czemu 

[19.1.2021 | 23:31:56] [emm]: Nie rozumiem 

[19.1.2021 | 23:32:39] [krasnal ogrodowy niko]: Nie wiem ostatnio jest raczej ofensywnie nastawiony na wszystkich, którzy ze mną są 

[19.1.2021 | 23:32:46] [krasnal ogrodowy niko]: Ale chyba zna cię na tyle żeby cię lubić 

[19.1.2021 | 23:32:52] [krasnal ogrodowy niko]: Nie wiem to skomplikowany czlowien 

[19.1.2021 | 23:32:56] [emm]: To się podzieli 

[19.1.2021 | 23:33:14] [emm]: Idę spać 

[19.1.2021 | 23:33:16] [emm]: Bywaj 

[19.1.2021 | 23:36:1] [krasnal ogrodowy niko]: Pqpa 

[19.1.2021 | 23:48:17] [DoctorToxic]: Nie znam się 

[19.1.2021 | 23:48:25] [DoctorToxic]: Ale skąd wy ich wzięliście 

[19.1.2021 | 23:49:2] [DoctorToxic]: Aż przypomina mi się ja 

[19.1.2021 | 23:51:59] [DoctorToxic]: Gorzej niż ze mną 

[19.1.2021 | 23:52:12] [DoctorToxic]: Chociaż nie byłem chyba aż tak wielkim problemem 

[22.1.2021 | 17:17:19] [just Niko.]: @everyone 

[22.1.2021 | 17:17:28] [just Niko.]: Musimy określić, kogo szukamy do serwera 

[22.1.2021 | 17:17:55] [just Niko.]: Zwęzić sobie współpracę do tych, którzy będą zainteresowani pisaniem RP na serwerze postapo 

[22.1.2021 | 17:18:22] [just Niko.]: I określić to w reklamie, czego oni oczekują 

[22.1.2021 | 17:23:2] [just Niko.]: Mieliście budzić aktywność jak mnie nie będzie 

[22.1.2021 | 17:28:21] [just Niko.]: Ja mam świadomość, że jestem nudny jak flaki z olejem i wiem, że    szkoła więc nie macie czasy 

[22.1.2021 | 17:28:58] [just Niko.]: Ale też, jeśli ja cały czas będę tylko nudzić aktywność to przestaną mnie szukać 

[22.1.2021 | 17:29:33] [cheeto pizzerini]: Do 16 miałam lekcje a teraz jestem u znajomej 

[22.1.2021 | 17:29:59] [cheeto pizzerini]: 15:45 

[22.1.2021 | 17:30:0] [cheeto pizzerini]: Dokladniej 

[22.1.2021 | 17:30:9] [just Niko.]: Rozumiem 

[22.1.2021 | 17:30:33] [just Niko.]: Ale też jak macie jakiś czas wolny, albo się nudzicie, to napiszcie na chacie 

[22.1.2021 | 17:30:37] [just Niko.]: Albo jakieś współpracę 

[22.1.2021 | 17:42:8] [tsuki]: Hum? Ale przecież cały czas piszesz i cały czas jest aktywność 😳 

[22.1.2021 | 17:48:25] [just Niko.]: No jedna osoba odpowiada, a reszta ma mnie w dupie 

[22.1.2021 | 17:48:30] [just Niko.]: Na rozmowach 

[24.1.2021 | 13:53:19] [cheeto pizzerini]: Kogo np. Chcesz wywalic stad 

[24.1.2021 | 13:53:32] [just Niko.]: Pomyśle jeszcze 

[24.1.2021 | 13:53:33] [cheeto pizzerini]: Bo pewnie mnie i chcialabym wiedziec hihi 

[24.1.2021 | 13:53:39] [cheeto pizzerini]: Mhm ok 

[27.1.2021 | 12:23:58] [just Niko.™]: <@691924849458806794> co z naszym serwerem mc? 

[27.1.2021 | 12:24:28] [just Niko.™]: Ktoś by musiał napisać ogłoszenie o tym konkursie na najbardziej aktywnego 

[27.1.2021 | 12:26:40] [🅼🅸🅺]: A jak to opisać 

[27.1.2021 | 12:26:44] [🅼🅸🅺]: ? 

[27.1.2021 | 12:44:51] [just Niko.™]: Że co tydzień będzie wybierana osoba najaktywniejszą, będzie dostawać rolę na tydzień do następnego rozstrzygnięcia konkursu 

[27.1.2021 | 12:55:39] [tsuki]: Na tydzień jedynie rolę? To wątpię, by się komuś chciało 

[27.1.2021 | 13:27:13] [just Niko.™]: No to co w takim razie? 

[27.1.2021 | 13:27:57] [tsuki]: No że za aktywność, ale rola zostaje 

[27.1.2021 | 13:28:35] [just Niko.™]: To co by było jakby wszyscy mieli rolę? 

[27.1.2021 | 13:29:2] [tsuki]: Co tydzień/dwa/ trzy czy ileś można nową tworzyć xd 

[27.1.2021 | 13:29:13] [tsuki]: Kolekcję będzie się zbierać haha 

[27.1.2021 | 15:58:56] [just Niko.™]: @everyone  może zrobimy coś dzisiaj na głosowym? 

[28.1.2021 | 18:52:6] [just Niko.™]: Ktoś idzie dzisiaj na głosowy? 

